PL_Code,Criticality,Target_Service_Level,Lead_Time_Months,Safety_Stock,ROP,Recommended_Min,Recommended_Max,Recommended_Reorder_Level
56119033,S1,0.9,12.0,5435.95,15650.23,15650,25865,15650
56987122/56110029,S1,0.9,12.0,8779.92,11057.48,11057,13335,11057
50550081,S2,0.98,12.0,11977.97,16113.33,16113,20249,16113
56509960,S1,0.9,12.0,17437.14,39069.08,39069,60701,39069
56501018,S1,0.99,6.0,58424.33,72606.45,72606,100971,72606
56509959,S1,0.99,8.419,124332.12,170818.49,170818,237077,170818
56468039,S1,0.99,12.0,2864.42,4420.46,4420,5977,4420
56468052,S1,0.99,12.0,2263.63,3764.45,3764,5265,3764
56468040,S1,0.99,12.0,1706.05,2993.49,2993,4281,2993
50540324,S2,0.98,12.0,11621.39,18819.29,18819,26017,18819
56501006,S1,0.99,12.0,21896.15,60146.47,60146,98397,60146
50232356/50232319,S2,0.98,9.325,4745.04,6120.1,6120,7890,6120
56468027,S1,0.97,12.0,1102.87,2579.92,2580,4057,2580
56462050,S1,0.97,12.0,890.39,2162.26,2162,3434,2162
56119537,S1,0.97,6.486,80051.52,112407.96,112408,172274,112408
56468064,S1,0.9,12.0,224.68,819.14,819,1414,819
50541523,S2,0.95,6.09,1252.5,1745.03,1745,2715,1745
56451027,S3,0.9,12.0,1206.25,3296.87,3297,5387,3297
56450217,S3,0.9,8.5,1331.06,2137.39,2137,3276,2137
52156576/56500452,S2,0.95,4.25,40.22,56.29,56,102,56
56160100,S2,0.9,5.0,17.66,21.06,21,29,21
56450229,S3,0.9,2.024,1046.7,1313.53,1314,2895,1314
50360693/50370110,S4,0.9,12.0,1265.14,2013.24,2013,2761,2013
50210014,S3,0.9,1.121,398.49,414.91,415,591,415
50370080,S3,0.9,2.567,291.89,427.16,427,1060,427
47200054/47200250,S3,0.9,8.615,32.62,70.48,70,123,70
56505959,S4,0.9,2.0,0.0,46.0,46,322,46
72081181/72207413,S3,0.9,1.672,4129.07,5087.23,5087,11965,5087
56507641,S3,0.9,2.399,186934.97,241341.11,241341,513533,241341
50901126,S2,0.9,4.0,0.0,38.0,38,152,38
54252222,S4,0.9,2.0,0.0,53.5,54,374,54
54253561,S3,0.9,1.0,7.1,8.58,9,26,9
45174404/45174416,S3,0.9,3.189,1514.7,1874.26,1874,3227,1874
56511516,S2,0.9,1.0,0.0,7.38,7,96,7
56502606,S2,0.9,2.775,2243.68,3181.03,3181,7234,3181
67900203,S3,0.9,3.0,0.0,2.62,3,13,3
56509376,S2,0.9,3.583,3692.43,8158.74,8159,23116,8159
50353603,S3,0.9,2.0,117.24,173.72,174,513,174
56502576,S2,0.9,1.0,913.14,1278.09,1278,5658,1278
56502540,S2,0.9,2.62,1160.32,2532.51,2533,8816,2533
56509388,S2,0.9,3.192,1155.61,2569.42,2569,7884,2569
52156618/56509935,S2,0.9,4.0,5.73,8.43,8,17,8
56500350,S4,0.9,2.917,16.64,23.62,24,52,24
50231959,S3,0.9,1.0,96.04,103.68,104,195,104
50231832/50231881,S3,0.9,1.0,712.0,802.33,802,1886,802
56163034,S3,0.9,1.0,7.56,8.6,9,21,9
40981381,S3,0.9,3.0,0.0,6474.75,6475,32374,6475
50132453,S3,0.9,3.0,0.0,1.88,2,9,2
67900185,S4,0.9,12.0,22.11,66.03,66,110,66
56509686,S4,0.9,2.0,0.0,1.9,2,13,2
56301704,S4,0.9,2.0,624.34,649.26,649,799,649
56986210,S4,0.9,2.0,0.0,22.5,22,158,22
56160112,S4,0.9,2.0,0.0,1.05,1,7,1
91150401,S4,0.9,1.0,68.03,74.71,75,155,75
56060002,S4,0.9,2.0,0.0,36.0,36,252,36
50132600,S4,0.9,2.0,0.0,2.5,2,18,2
41095066,S4,0.9,2.0,259278.64,302905.54,302906,564667,302906
40070359,S4,0.9,2.0,0.0,500.0,500,3500,500
56985526,S4,0.9,2.0,0.0,150.0,150,1050,150
