PL_Code,Description,Inventory_Action,Normalized_Inventory_Value,Movement_Status,Source_Universe,Inventory_Value,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
301001320132,ELECTRONIC PUSH BUTTON TELEPHONE WITH CALLER ID AND SPEAKER,Dispose,31500.0,Dead Stock,Operational,31500.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
396800140020,BATTERY 12V 42AH .,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
40070359,Wire coil 3/0 75 mm,Monitor,0.0,,Strategic,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
409005470025,FIBER RACEWAY,Dispose,20000.0,Dead Stock,Operational,20000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
40981381,Wire coil PVC 16/0.2 mm,Monitor,0.0,,Strategic,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
41095066,PVC Insulation TAPE (Mtrs),Retain,4902.55,Active,Operational,4902.55,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430800071030,CASE INNER METAL 20T,Monitor,200000.0,Unknown,Operational,200000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430800071042,CASE INNER METAL 5T JOINT,Monitor,179200.0,Unknown,Operational,179200.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
45174404/45174416,Hydro meter complete set,Monitor,74690.72,,Strategic,74690.72,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
47200054/47200250,Transformer 230/110V  - 1 KVA,Monitor,13095.64,,Strategic,13095.64,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
500101070025,"5.25 Full Range, Wooden Wall Mount Compact Cost effective Speaker; JBL Model #CS-IWS05W",Retain,72000.0,Active,Operational,72000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
500101140210,TV 55 INCH High Resolution Large Video Display units suitable for 24X7 working along with ....,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
500103311305,Sch B-25 cable tray (300mm width x50mm depth x1.6mm thick sizeperforated Hot dipped Galva....,Retain,1435000.0,Active,Operational,1435000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
500103311482,Sch B-46 cable tray (150mm width x 60mm depth x 1.6mm thick size) perforated Hot dipped Ga....,Retain,382500.0,Active,Operational,382500.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
500500340048,VIDEO HANDHELD CAMCORDER,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
500501490650,"SCH B-20 Standard Rack 19 size, 9URACK (LEGRAND) size height wall mounting type front glas....",Retain,203526.4,Active,Operational,203526.4,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
500502510050,POWER BANK,Retain,13995.0,Active,Operational,13995.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
500600111902,"DLP U PVC trunking of size 80 mmx50mm base, 1x 65 mm top flexible cover",Retain,343000.0,Active,Operational,343000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
500600571445,6 PIN EMERGENCY SOCKET,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
500601240060,TRANSMITTER INSET,Retain,15000.0,Active,Operational,15000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000013450,CONTROL EQUIPMENT HQ,Dispose,17995.0,Dead Stock,Operational,17995.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000014155,True color Indoor Video Display (IVD) with its mechanical structure of Pixel Resolution (W....,Retain,4600000.0,Active,Operational,4600000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000103553,WEBFIL MUX 64 KBPS G703 DATA CARD,Monitor,65342.0,Unknown,Operational,65342.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000264214,GI PIPE 50MM DIAMETER,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000264226,GI PIPE 100 MM DIAMETER,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000267963,GI PIPE 40 MM DIAMETER,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000424023,UTP CAT6 CABLE FOR IMPROVEMENT WORK TO NGO OFFICE COMPLEX,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501000425167,STP (Shielded Twisted Pair) CAT6 cable (4 pair) compliant with EIA/TIA568-B.2- 1 standard,Retain,183048.44,Active,Operational,183048.44,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501024510020,WEBFIL 2W/4W E&M INTERFACE CARD (4 CIRCUITS PER CARD),Retain,181360.1,Active,Operational,181360.1,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501024520024,WEBFIL NIM CARDS,Retain,381715.84,Active,Operational,381715.84,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
501025160027,WEBFIL POWER SUPPLY UNIT-PSU CARD,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
