Module,Lineage,Target_Layer,Action
railway_data_preparation.py,CORE,ingestion (+extract shared reader),move (behavior-preserving import rewrite)
railway_classification.py,CORE,forecasting/strategic,move (behavior-preserving import rewrite)
railway_forecasting.py,CORE,forecasting,move (behavior-preserving import rewrite)
railway_inventory_optimization.py,CORE,inventory (shared engine),move (behavior-preserving import rewrite)
railway_data_quality.py,CORE,validation,move (behavior-preserving import rewrite)
railway_inventory_rationalization.py,CORE,inventory,move (behavior-preserving import rewrite)
railway_operational_analysis.py,CORE,inventory,move (behavior-preserving import rewrite)
railway_executive_summary.py,CORE,reporting,move (behavior-preserving import rewrite)
railway_powerbi_export.py,CORE,reporting,move (behavior-preserving import rewrite)
railway_enterprise.py,CORE,governance,move (behavior-preserving import rewrite)
railway_anylogistix_export.py,CORE,reporting,move (behavior-preserving import rewrite)
railway_management_reports.py,CORE,reporting (SPLIT 1548 LOC),move (behavior-preserving import rewrite)
railway_lineage.py,CORE,reporting,move (behavior-preserving import rewrite)
railway_dashboard_validation.py,CORE,validation,move (behavior-preserving import rewrite)
railway_srrs_validation.py,CORE,prioritization/validation,move (behavior-preserving import rewrite)
railway_explainability.py,CORE,reporting,move (behavior-preserving import rewrite)
railway_audit_trail.py,CORE,governance,move (behavior-preserving import rewrite)
schema_validation.py,CORE,validation,move (behavior-preserving import rewrite)
railway_regression.py,CORE,validation/diagnostic,move (behavior-preserving import rewrite)
railway_business_unit_runner.py,CORE,governance/orchestration,move (behavior-preserving import rewrite)
railway_context.py,CORE,governance,move (behavior-preserving import rewrite)
railway_domain_config.py,CORE,governance,move (behavior-preserving import rewrite)
railway_business_unit_config.py,CORE,governance,move (behavior-preserving import rewrite)
railway_strategic_allocation.py,CORE,governance,move (behavior-preserving import rewrite)
railway_demand_reconstruction.py,MAS_EXT,demand (+move _sheet_rows to shared/io),move (behavior-preserving import rewrite)
railway_demand_classification.py,MAS_EXT,demand,move (behavior-preserving import rewrite)
railway_forecast_generation.py,MAS_EXT,forecasting,move (behavior-preserving import rewrite)
railway_lead_time_derivation.py,MAS_EXT,inventory,move (behavior-preserving import rewrite)
railway_pl_master.py,MAS_EXT,governance,move (behavior-preserving import rewrite)
railway_safety_stock.py,MAS_EXT,inventory,move (behavior-preserving import rewrite)
railway_rop.py,MAS_EXT,inventory,move (behavior-preserving import rewrite)
railway_srrs_mas.py,MAS_EXT,prioritization,move (behavior-preserving import rewrite)
railway_config.py,INFRA,shared,move (behavior-preserving import rewrite)
