Path,Category,Present,Size_MB,Action
notebooks/FORECAST_BI.csv,notebook_walmart_dump,exists,360.4,QUARANTINE (reversible)
notebooks/Forecast.csv,notebook_walmart_dump,exists,340.2,QUARANTINE (reversible)
notebooks/SparePartsInventory!.csv,notebook_walmart_dump,exists,296.9,QUARANTINE (reversible)
notebooks/final_combined_SKUs.csv,notebook_walmart_dump,exists,183.9,QUARANTINE (reversible)
notebooks/final_forecast_output.csv,notebook_walmart_dump,exists,150.4,QUARANTINE (reversible)
notebooks/SparePartsInventory.csv,notebook_walmart_dump,exists,131.1,QUARANTINE (reversible)
raw_data/sales_train_evaluation.csv,m5_competition_data,exists,116.1,QUARANTINE (reversible)
raw_data/sales_train_validation.csv,m5_competition_data,exists,114.4,QUARANTINE (reversible)
raw_data/sell_prices.csv,m5_competition_data,exists,194.0,QUARANTINE (reversible)
raw_data/sample_submission.csv,m5_competition_data,exists,5.0,QUARANTINE (reversible)
raw_data/calendar.csv,m5_competition_data,exists,0.1,QUARANTINE (reversible)
data,walmart_data_dir,exists,71.9,QUARANTINE (reversible)
notebooks/.ipynb_checkpoints,ipynb_checkpoint,exists,474.9,QUARANTINE (reversible)
Anylogistix/01_Anylogistix Network Optimisation Result/.ipynb_checkpoints,ipynb_checkpoint,exists,0.8,QUARANTINE (reversible)
Anylogistix/03_Anylogistix Simulation Experiment Results/.ipynb_checkpoints,ipynb_checkpoint,exists,1.9,QUARANTINE (reversible)
Power-BI Dashboards/.ipynb_checkpoints,ipynb_checkpoint,exists,2.5,QUARANTINE (reversible)
