PL_Code,Description,Active_Months,Months_With_Demand,Months_Without_Demand,Mean_Monthly_Demand,Demand_Variance,Std_Deviation,CV,CV2,ADI,Intermittency_Pct,Demand_Class
0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",39,0,39,0.0,0.0,0.0,,,,100.0,Dead
0150N901,STEEL WIRE MS ORDINARY GALVENISED 4.0MMX8SWG TO IS 280 (SOFT) WITH COATING AS PER 4826/1979.SUITABLE....,45,0,45,0.0,0.0,0.0,,,,100.0,Dead
332104850037,Capillary Sampling Connector,12,0,12,0.0,0.0,0.0,,,,100.0,Dead
400600041170,2.5 sqmm 3 Core Power cable Copper,42,1,41,3.5714,535.7143,23.1455,6.4807,0.0,42.0,97.62,Intermittent
401107494209,2C x 70 Sqmm XLPE Insulated PVC Sheathed Aluminium Cable,6,1,5,753.1667,3403560.1667,1844.874,2.4495,0.0,6.0,83.33,Intermittent
402500150037,PVC Copper Cable 25 Sqmm Used for the DDTC 24 ALSTOM Make AFTC @ ABC Connection.,52,11,41,25.0,4460.7843,66.7891,2.6716,0.6923,4.7273,78.85,Lumpy
405000010983,GI WIRE 8 SWG (4mm dia),32,13,19,191.25,166651.1613,408.2293,2.1345,1.1994,2.4615,59.38,Lumpy
409002561998,Cable PVC Wire Coil 3/20 Copper,54,41,13,6.463,380.3288,19.502,3.0175,6.5445,1.3171,24.07,Erratic
40981381,WIRE PVC COPPER 16/.2MM GREY,54,3,51,0.2222,0.9686,0.9842,4.4287,0.125,18.0,94.44,Intermittent
421100070120,150W LED Luminaire For Flood Light,35,4,31,1.1429,19.6555,4.4334,3.8793,0.785,8.75,88.57,Lumpy
423500060515,Laptop Intel core i7 15.6 Inch Display,34,1,33,0.0294,0.0294,0.1715,5.831,0.0,34.0,97.06,Intermittent
429079389199,"BRANDWAY 4 POLE GAZEBO TENT WITH POLE HEIGHT, 7 FEET",45,6,39,0.8889,12.0556,3.4721,3.9061,1.1225,7.5,86.67,Lumpy
430200021416,Digital Multimeter make Rishi 18S,54,7,47,0.2407,0.5259,0.7252,3.0122,0.284,7.7143,87.04,Intermittent
430200021910,Digital Multimeter make Rishabh Model 14S,50,2,48,0.08,0.1976,0.4445,5.5558,0.25,25.0,96.0,Intermittent
430200028538,True RMS Multimeter,34,17,17,3.5294,38.3779,6.195,1.7552,0.9951,2.0,50.0,Lumpy
430600150050,Battery Analyzer,6,1,5,0.3333,0.6667,0.8165,2.4495,0.0,6.0,83.33,Intermittent
430800141263,FLUKE Single-point laser Class II Handheld Digital Infrared Thermometer,52,9,43,1.1538,8.721,2.9531,2.5594,0.285,5.7778,82.69,Intermittent
431002240078,Ultrasonic thickness Gauge with LCD Digital display along with all accessories,15,1,14,0.0667,0.0667,0.2582,3.873,0.0,15.0,93.33,Intermittent
431500022334,Split AC 2 Ton Capacity with Indoor and Outdoor unit.,27,5,22,0.7037,4.3704,2.0905,2.9708,0.759,5.4,81.48,Lumpy
432900164003,"Laptop i5 Processor, 14 inch Display with Battery and Adapter",33,3,30,0.0909,0.0852,0.2919,3.2113,0.0,11.0,90.91,Intermittent
45174416,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FROM 1.100 TO....,54,45,9,10.037,52.376,7.2371,0.721,0.2586,1.2,16.67,Smooth
460151414110,Copper Lugs (Double Hole),43,2,41,0.5814,7.392,2.7188,4.6764,0.04,21.5,95.35,Intermittent
461500560400,GI Flat of Size 550X25X3mm to connect all cable armours to earth,3,1,2,6.6667,133.3333,11.547,1.7321,0.0,3.0,66.67,Intermittent
462100771569,Copper tape of Size 25mm x 3mm,34,7,27,50.7647,23467.0945,153.1897,3.0176,1.0255,4.8571,79.41,Lumpy
464214132778,Splice Plate,15,2,13,0.4,1.1143,1.0556,2.639,0.0,7.5,86.67,Intermittent
469033852322,Enameled Number Plates,3,1,2,7.3333,161.3333,12.7017,1.7321,0.0,3.0,66.67,Intermittent
469041991352,GI Flat of Size 1050X25X3mm to connect all cable armours to earth,3,1,2,13.3333,533.3333,23.094,1.7321,0.0,3.0,66.67,Intermittent
