File,Destination,Result
ANYLOGISTIX_READINESS_REPORT.md,docs/audits/,MOVED
ARCHITECTURE.md,docs/modernization/,MOVED
ARCHITECTURE_HARDENING_REPORT.md,docs/hardening/,MOVED
CONSUMPTION_RECONCILIATION_REPORT.md,docs/audits/,MOVED
DATA_SOURCE_AUDIT.md,docs/audits/,MOVED
DATAFLOW.md,docs/modernization/,MOVED
DIVISION_ONBOARDING_GUIDE.md,docs/onboarding/,MOVED
FINAL_AUDIT_EXECUTIVE_REPORT.md,docs/audits/,MOVED
FINAL_AUDIT_HARDENING_REPORT.md,docs/hardening/,MOVED
FINAL_AUDIT_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
FINAL_AUDIT_VALIDATION_REPORT.md,docs/audits/,MOVED
FIVE_YEAR_MAINTAINABILITY_REPORT.md,docs/modernization/,MOVED
License.md,docs/audits/,MOVED
MAINTENANCE_GUIDE.md,docs/onboarding/,MOVED
MANAGEMENT_SUMMARY_REBUILD_PLAN.md,docs/reporting/,MOVED
MULTI_DIVISION_READINESS_REPORT.md,docs/onboarding/,MOVED
OPERATIONS_GUIDE.md,docs/onboarding/,MOVED
PHASE_A_INGESTION_HARDENING_REPORT.md,docs/hardening/,MOVED
PHASE_B_CONFIGURATION_HARDENING_REPORT.md,docs/hardening/,MOVED
PHASE_C_TPJ_READINESS_REPORT.md,docs/hardening/,MOVED
PLATFORM_MODERNIZATION_REPORT.md,docs/modernization/,MOVED
POWERBI_COMPATIBILITY_REPORT.md,docs/reporting/,MOVED
RAILWAY_ARCHITECTURE_REVIEW.md,docs/modernization/,MOVED
RAILWAY_DASHBOARD_AUDIT.md,docs/reporting/,MOVED
RAILWAY_DATA_QUALITY_REPORT.md,docs/audits/,MOVED
RAILWAY_IMPLEMENTATION_PLAN.md,docs/audits/,MOVED
RAILWAY_PLATFORM_README.md,(root),KEEP (readme)
RAILWAY_PRODUCTION_READINESS_REPORT.md,docs/release/,MOVED
railway_schema_report.md,docs/audits/,MOVED
railways_discovery_report.md,docs/audits/,MOVED
READINESS_REASSESSMENT_REPORT.md,docs/release/,MOVED
README.md,(root),KEEP (readme)
README_RAILWAYS.md,docs/audits/,MOVED
remote_migration_plan.md,docs/release/,MOVED
REPOSITORY_MODERNIZATION_REPORT.md,docs/modernization/,MOVED
SOURCE_UNIVERSE_AUDIT_REPORT.md,docs/audits/,MOVED
STEP11_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP11_VALIDATION_REPORT.md,docs/audits/,MOVED
STEP12_5_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP12_5_VALIDATION_REPORT.md,docs/audits/,MOVED
STEP12_5A_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP12_REPORT_VALIDATION.md,docs/audits/,MOVED
STEP13_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP13_SERVICE_RISK_OPTIMIZATION_REPORT.md,docs/audits/,MOVED
STEP14_AUDIT_AND_CALIBRATION_REPORT.md,docs/audits/,MOVED
STEP15_CALIBRATION_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP16_GAP_DECOMPOSITION_AUDIT.md,docs/audits/,MOVED
STEP17_PRODUCTION_HARDENING_REPORT.md,docs/hardening/,MOVED
STEP18_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP18_REPOSITORY_ASSESSMENT.md,docs/modernization/,MOVED
STEP18_VALIDATION_REPORT.md,docs/audits/,MOVED
STEP18A_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP18A_VALIDATION_REPORT.md,docs/audits/,MOVED
STEP19_IMPACT_ANALYSIS.md,docs/audits/,MOVED
STEP19_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP19_VALIDATION_REPORT.md,docs/audits/,MOVED
STEP1_TO_STEP28_LINEAGE.md,docs/modernization/,MOVED
STEP20_DATA_GOVERNANCE_REPORT.md,docs/audits/,MOVED
STEP20_ENTERPRISE_KPI_FRAMEWORK.md,docs/audits/,MOVED
STEP20_PLANNING_READINESS_REPORT.md,docs/audits/,MOVED
STEP20_RECOMMENDED_ROADMAP.md,docs/audits/,MOVED
STEP21A_DISCOVERY_REPORT.md,docs/audits/,MOVED
STEP21A_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP21A_VALIDATION_REPORT.md,docs/audits/,MOVED
STEP22_DEMAND_ANALYTICS_REPORT.md,docs/audits/,MOVED
STEP22_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP22_VALIDATION_REPORT.md,docs/audits/,MOVED
STEP23_5_DISCOVERY_REPORT.md,docs/audits/,MOVED
STEP23_6A_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP23_6A_LEAD_TIME_DISCOVERY_REPORT.md,docs/audits/,MOVED
STEP23_6A_VALIDATION_REPORT.md,docs/audits/,MOVED
STEP23_6B_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP23_6B_READINESS_REPORT.md,docs/audits/,MOVED
STEP23_6B_VALIDATION_REPORT.md,docs/audits/,MOVED
STEP23_7_IMPACT_ANALYSIS.md,docs/audits/,MOVED
STEP23_7_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP23_7_VALIDATION_REPORT.md,docs/audits/,MOVED
STEP23_8_CRITICALITY_DISCOVERY_REPORT.md,docs/audits/,MOVED
STEP23_8_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP23_8_VALIDATION_REPORT.md,docs/audits/,MOVED
STEP23_FORECASTABILITY_REPORT.md,docs/audits/,MOVED
STEP23_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP23_VALIDATION_REPORT.md,docs/audits/,MOVED
STEP24_IMPACT_ANALYSIS.md,docs/audits/,MOVED
STEP24_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP24_VALIDATION_REPORT.md,docs/audits/,MOVED
STEP25_5_VALIDATION_REPORT.md,docs/audits/,MOVED
STEP25_5_VALUE_DISCOVERY_REPORT.md,docs/audits/,MOVED
STEP25_IMPACT_ANALYSIS.md,docs/audits/,MOVED
STEP25_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP25_VALIDATION_REPORT.md,docs/audits/,MOVED
STEP26_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP26_SRRS_ANALYSIS_REPORT.md,docs/audits/,MOVED
STEP26_VALIDATION_REPORT.md,docs/audits/,MOVED
STEP27_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP27_OPERATIONALIZATION_REPORT.md,docs/audits/,MOVED
STEP27_VALIDATION_REPORT.md,docs/audits/,MOVED
STEP28_BUSINESS_CASE_REPORT.md,docs/audits/,MOVED
STEP28_EXECUTIVE_REPORT.md,docs/audits/,MOVED
STEP28_IMPLEMENTATION_REPORT.md,docs/audits/,MOVED
STEP29_EXECUTIVE_REPORTING_REPORT.md,docs/reporting/,MOVED
STEP29_MANAGEMENT_SUMMARY_REPORT.md,docs/reporting/,MOVED
STEP29_NOTEBOOK7_AUDIT_REPORT.md,docs/reporting/,MOVED
STEP30_EXECUTIVE_DASHBOARD_REPORT.md,docs/reporting/,MOVED
STEP30_MANAGEMENT_REPORTING_REPORT.md,docs/reporting/,MOVED
STEP30_NOTEBOOK_REBUILD_REPORT.md,docs/reporting/,MOVED
STEP31_ENTERPRISE_REPORTING_REPORT.md,docs/reporting/,MOVED
STEP31_KPI_MIGRATION_REPORT.md,docs/reporting/,MOVED
STEP31_REPORTING_CUTOVER_REPORT.md,docs/reporting/,MOVED
STEP31_REPORTING_GOVERNANCE_REPORT.md,docs/reporting/,MOVED
STEP32_DEPENDENCY_PURIFICATION_REPORT.md,docs/release/,MOVED
STEP32_GITHUB_RELEASE_REPORT.md,docs/release/,MOVED
STEP32_NOTEBOOK_RATIONALIZATION_REPORT.md,docs/release/,MOVED
STEP32_RAILWAY_ONLY_BLUEPRINT_REPORT.md,docs/release/,MOVED
STEP32_REPOSITORY_PURIFICATION_REPORT.md,docs/release/,MOVED
STEP32_TPJ_READINESS_REPORT.md,docs/release/,MOVED
STOCK_RECONCILIATION_REPORT.md,docs/audits/,MOVED
TECHNICAL_DEBT_REMEDIATION_REPORT.md,docs/audits/,MOVED
TECHNICAL_DEBT_REPORT.md,docs/audits/,MOVED
TESTING_GUIDE.md,docs/onboarding/,MOVED
