PL_Code,PL_Code_Normalized,Description,Business_Unit,Demand_Present,Inventory_Present,Strategic_Present,Criticality_Present,Forecast_Present,Lead_Time_Present,Demand_Records,Inventory_Records,Strategic_Records,Forecast_Method,Forecastability_Class,Lead_Time_Days,Lead_Time_Source,Criticality,ABC_Class,XYZ_Class,Master_Status
0150N90,15090,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",MAS,1,0,0,0,0,1,0,0,0,No Forecast,,470.0,PO_Date,,,N/A,Forecast_Ready
0150N901,150901,STEEL WIRE MS ORDINARY GALVENISED 4.0MMX8SWG TO IS 280 (SOFT) WITH COATING AS PER 4826/1979.SUITABLE....,MAS,1,0,0,0,0,1,0,0,0,No Forecast,,259.0,PO_Date,,,N/A,Forecast_Ready
301001320132,301001320132,ELECTRONIC PUSH BUTTON TELEPHONE WITH CALLER ID AND SPEAKER,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
332104850037,332104850037,Capillary Sampling Connector,MAS,1,0,0,0,0,0,0,0,0,No Forecast,,,,,,N/A,Demand_Only
396800140020,396800140020,BATTERY 12V 42AH .,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
400600041170,400600041170,2.5 sqmm 3 Core Power cable Copper,MAS,1,0,0,0,1,0,1,0,0,SBA,Very Low,,,,,Z,Demand_Only
40070359,40070359,Wire coil 3/0 75 mm,MAS,0,0,0,1,0,0,0,0,0,,,,,S4,C,,Criticality_Only
401107494209,401107494209,2C x 70 Sqmm XLPE Insulated PVC Sheathed Aluminium Cable,MAS,1,0,0,0,1,1,1,0,0,SBA,Very Low,79.0,PO_Date,,,Z,Forecast_Ready
402500150037,402500150037,PVC Copper Cable 25 Sqmm Used for the DDTC 24 ALSTOM Make AFTC @ ABC Connection.,MAS,1,0,0,0,1,1,11,0,0,TSB,Very Low,228.0,PO_Date,,,Z,Forecast_Ready
405000010983,405000010983,GI WIRE 8 SWG (4mm dia),MAS,1,0,0,0,1,1,13,0,0,TSB,Low,187.0,PO_Date,,,Z,Forecast_Ready
409002561998,409002561998,Cable PVC Wire Coil 3/20 Copper,MAS,1,0,0,0,1,1,41,0,0,Croston,Medium,190.0,PO_Date,,,Z,Forecast_Ready
409005470025,409005470025,FIBER RACEWAY,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
40981381,40981381,WIRE PVC COPPER 16/.2MM GREY,MAS,1,0,0,1,1,0,3,0,0,SBA,Very Low,,,S3,C,Z,Partial
41095066,41095066,"PRESSURE SENSITIVE ADHESIVE (PVC) TAPE FOR ELECTRICAL PURPOSED FLAME RETARDANT, THICKNESS ....",MAS,0,1,1,1,0,0,0,1,1,,,,,S4,C,,Partial
421100070120,421100070120,150W LED Luminaire For Flood Light,MAS,1,0,0,0,1,1,4,0,0,TSB,Very Low,33.0,PO_Date,,,Z,Forecast_Ready
423500060515,423500060515,Laptop Intel core i7 15.6 Inch Display,MAS,1,0,0,0,1,0,1,0,0,SBA,Very Low,,,,,Z,Demand_Only
429079389199,429079389199,"BRANDWAY 4 POLE GAZEBO TENT WITH POLE HEIGHT, 7 FEET",MAS,1,0,0,0,1,1,6,0,0,TSB,Very Low,62.0,PO_Date,,,Z,Forecast_Ready
430200021416,430200021416,Digital Multimeter make Rishi 18S,MAS,1,0,0,0,1,1,7,0,0,SBA,Very Low,97.0,PO_Date,,,Z,Forecast_Ready
430200021910,430200021910,Digital Multimeter make Rishabh Model 14S,MAS,1,0,0,0,1,1,2,0,0,SBA,Very Low,668.0,PO_Date,,,Z,Forecast_Ready
430200028538,430200028538,True RMS Multimeter,MAS,1,0,0,0,1,1,17,0,0,TSB,Low,183.0,PO_Date,,,Z,Forecast_Ready
430600150050,430600150050,Battery Analyzer,MAS,1,0,0,0,1,0,1,0,0,SBA,Very Low,,,,,Z,Demand_Only
430800071030,430800071030,CASE INNER METAL 20T,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
430800071042,430800071042,CASE INNER METAL 5T JOINT,MAS,0,1,0,0,0,0,0,1,0,,,,,,,,Inventory_Only
430800141263,430800141263,FLUKE Single-point laser Class II Handheld Digital Infrared Thermometer,MAS,1,0,0,0,1,1,9,0,0,SBA,Very Low,63.0,PO_Date,,,Z,Forecast_Ready
431002240078,431002240078,Ultrasonic thickness Gauge with LCD Digital display along with all accessories,MAS,1,0,0,0,1,1,1,0,0,SBA,Very Low,646.0,PO_Date,,,Z,Forecast_Ready
431500022334,431500022334,Split AC 2 Ton Capacity with Indoor and Outdoor unit.,MAS,1,0,0,0,1,1,5,0,0,TSB,Very Low,0.0,Requisition_Date,,,Z,Forecast_Ready
432900164003,432900164003,"Laptop i5 Processor, 14 inch Display with Battery and Adapter",MAS,1,0,0,0,1,0,3,0,0,SBA,Very Low,,,,,Z,Demand_Only
45174404/45174416,4517440445174416,Hydro meter complete set,MAS,0,0,1,1,0,0,0,0,1,,,,,S3,C,,Partial
45174416,45174416,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FROM 1.100 TO....,MAS,1,0,0,0,1,1,45,0,0,SES/Holt,Medium,144.0,Requisition_Date,,,Y,Forecast_Ready
460151414110,460151414110,Copper Lugs (Double Hole),MAS,1,0,0,0,1,0,2,0,0,SBA,Very Low,,,,,Z,Demand_Only
461500560400,461500560400,GI Flat of Size 550X25X3mm to connect all cable armours to earth,MAS,1,0,0,0,1,1,1,0,0,SBA,Very Low,127.0,PO_Date,,,Z,Forecast_Ready
462100771569,462100771569,Copper tape of Size 25mm x 3mm,MAS,1,0,0,0,1,1,7,0,0,TSB,Very Low,170.0,PO_Date,,,Z,Forecast_Ready
464214132778,464214132778,Splice Plate,MAS,1,0,0,0,1,0,2,0,0,SBA,Very Low,,,,,Z,Demand_Only
469033852322,469033852322,Enameled Number Plates,MAS,1,0,0,0,1,1,1,0,0,SBA,Very Low,127.0,PO_Date,,,Z,Forecast_Ready
469041991352,469041991352,GI Flat of Size 1050X25X3mm to connect all cable armours to earth,MAS,1,0,0,0,1,1,1,0,0,SBA,Very Low,127.0,PO_Date,,,Z,Forecast_Ready
469062580055,469062580055,RELEASED CATENARY WIRE 65 sqmm,MAS,1,0,0,0,1,1,4,0,0,SBA,Very Low,44.0,Requisition_Date,,,Z,Forecast_Ready
469863050743,469863050743,RODOMETER,MAS,1,0,0,0,1,1,7,0,0,TSB,Low,183.0,PO_Date,,,Z,Forecast_Ready
470200493776,470200493776,V Belt for LC GATE Motor,MAS,1,0,0,0,1,0,3,0,0,SBA,Very Low,,,,,Z,Demand_Only
470501710375,470501710375,UPS 1 KVA,MAS,1,0,0,0,0,0,0,0,0,No Forecast,,,,,,N/A,Demand_Only
47200054/47200250,4720005447200250,Transformer 230/110V  - 1 KVA,MAS,0,0,1,1,0,0,0,0,1,,,,,S3,C,,Partial
