Level,KPI,Value,Source
L1,Forecast Coverage %,88.7% (961/1083),forecast_results.csv
L1,Lead-Time Coverage %,97.8% (612/626 planned),lead_time_master.csv/rop
L1,Current Stock Value (Rs),"913,635,687",srss_results.csv (stock x rate)
L1,Reorder Gap Value (Rs),"3,367,367,459",srss_results.csv
L1,Total SRRS,"8,217,896.6",srss_results.csv
L1,Top-10 Risk Concentration %,84.5%,srss_results.csv
L1,Tier: Tier1_Dual_Priority,"6 PLs, gap Rs 2,116,822,425, 57.6% SRRS",procurement_portfolio.csv
L1,Tier: Tier2_HighRisk_HighValue,"80 PLs, gap Rs 751,479,733, 30.0% SRRS",procurement_portfolio.csv
L1,Tier: Tier3_HighRisk_Only,"70 PLs, gap Rs 35,701,105, 12.0% SRRS",procurement_portfolio.csv
L1,Tier: Tier4_HighValue_Only,"70 PLs, gap Rs 385,427,619, 0.1% SRRS",procurement_portfolio.csv
L1,Tier: Tier5_Routine,"400 PLs, gap Rs 77,936,577, 0.3% SRRS",procurement_portfolio.csv
L2,Critical Shortages,465,rop_results.csv Stock_Status
L2,Shortages,45,rop_results.csv
L2,Healthy,43,rop_results.csv
L2,Excess Inventory,60,rop_results.csv
L2,Open Procurement Exposure (Rs),"3,367,367,459",procurement_portfolio.csv
L2,Service Levels,Critical(0.95): 360 | Non-Critical(0.85): 266,rop/safety_stock
L3,Forecast Method Mix,"{'SBA': 654, 'TSB': 276, 'Croston': 26, 'SES/Holt': 5}",forecast_results.csv
L3,Demand Class Mix,"{'Intermittent': 654, 'Lumpy': 276, 'Dead': 122, 'Erratic': 26, 'Smooth': 5}",demand_classification.csv
L3,Criticality Distribution,"{'Critical': 360, 'Non-Critical': 266}",rop_results.csv
L3,LT Source Mix,"{'PO_Date': 518, 'Requisition_Date': 184}",lead_time_master.csv
L3,Test Coverage,541 tests green (537 regression outputs + 3 formula + reproducible baseline),railway/tests
L3,Platform Readiness,scorecard mean current 43.9 -> target 76.7; A/B hardening done,platform_scorecard.csv
