PL_Code,Demand_Pattern,XYZ_Class,Forecast_Method,Forecastability_Class
400600041170,Intermittent,Z,SBA,Very Low
401107494209,Intermittent,Z,SBA,Very Low
402500150037,Lumpy,Z,TSB,Very Low
405000010983,Lumpy,Z,TSB,Low
409002561998,Erratic,Z,Croston,Medium
40981381,Intermittent,Z,SBA,Very Low
421100070120,Lumpy,Z,TSB,Very Low
423500060515,Intermittent,Z,SBA,Very Low
429079389199,Lumpy,Z,TSB,Very Low
430200021416,Intermittent,Z,SBA,Very Low
430200021910,Intermittent,Z,SBA,Very Low
430200028538,Lumpy,Z,TSB,Low
430600150050,Intermittent,Z,SBA,Very Low
430800141263,Intermittent,Z,SBA,Very Low
431002240078,Intermittent,Z,SBA,Very Low
431500022334,Lumpy,Z,TSB,Very Low
432900164003,Intermittent,Z,SBA,Very Low
45174416,Smooth,Y,SES/Holt,Medium
460151414110,Intermittent,Z,SBA,Very Low
461500560400,Intermittent,Z,SBA,Very Low
462100771569,Lumpy,Z,TSB,Very Low
464214132778,Intermittent,Z,SBA,Very Low
469033852322,Intermittent,Z,SBA,Very Low
469041991352,Intermittent,Z,SBA,Very Low
469062580055,Intermittent,Z,SBA,Very Low
469863050743,Lumpy,Z,TSB,Low
470200493776,Intermittent,Z,SBA,Very Low
47200250,Intermittent,Z,SBA,Very Low
500500680030,Intermittent,Z,SBA,Very Low
501000243442,Intermittent,Z,SBA,Very Low
501000263740,Lumpy,Z,TSB,Very Low
501000423936,Intermittent,Z,SBA,Very Low
501300041401,Intermittent,Z,SBA,Very Low
50232319,Intermittent,Z,SBA,Low
502355361120,Lumpy,Z,TSB,Very Low
502355561004,Lumpy,Z,TSB,Very Low
502355770020,Lumpy,Z,TSB,Low
503523410740,Lumpy,Z,TSB,Very Low
503523410891,Lumpy,Z,TSB,Very Low
50540324,Erratic,Z,Croston,Medium
50541523,Lumpy,Z,TSB,Very Low
50550081,Lumpy,Z,TSB,Medium
508500010799,Intermittent,Z,SBA,Very Low
508500690051,Intermittent,Z,SBA,Very Low
508501090018,Intermittent,Z,SBA,Very Low
508502470029,Intermittent,Z,SBA,Very Low
508503310060,Intermittent,Z,SBA,Very Low
508503570895,Intermittent,Z,SBA,Very Low
509000396559,Lumpy,Z,TSB,Low
509000405457,Intermittent,Z,SBA,Very Low
509004730016,Intermittent,Z,SBA,Very Low
509051280160,Intermittent,Z,SBA,Very Low
520504660025,Lumpy,Z,TSB,Very Low
521100810024,Intermittent,Z,SBA,Very Low
521102480039,Intermittent,Z,SBA,Very Low
521102480040,Intermittent,Z,SBA,Very Low
521104340026,Lumpy,Z,TSB,Very Low
521501630045,Intermittent,Z,SBA,Very Low
522002010024,Lumpy,Z,TSB,Very Low
522002180021,Intermittent,Z,SBA,Very Low
