PL_Code,Lead_Time_Days,Lead_Time_Source,Observations,Median_LT,P90_LT,Std_LT,Confidence
0150N90,470.0,PO_Date,1,470.0,470.0,0.0,Low
0150N901,259.0,PO_Date,2,259.0,326.2,118.79,Low
401107494209,79.0,PO_Date,1,79.0,79.0,0.0,Low
402500150037,228.0,PO_Date,1,228.0,228.0,0.0,Low
405000010983,187.0,PO_Date,8,187.0,299.7,111.29,Medium
409002561998,190.0,PO_Date,3,190.0,359.6,178.61,Low
421100070120,33.0,PO_Date,1,33.0,33.0,0.0,Low
429079389199,62.0,PO_Date,2,62.0,73.2,19.8,Low
430200021416,97.0,PO_Date,5,97.0,97.0,0.0,Medium
430200021910,668.0,PO_Date,2,668.0,668.0,0.0,Low
430200028538,183.0,PO_Date,9,183.0,479.0,185.15,Medium
430800141263,63.0,PO_Date,2,63.0,71.8,15.56,Low
431002240078,646.0,PO_Date,1,646.0,646.0,0.0,Low
431500022334,0.0,Requisition_Date,1,0.0,0.0,0.0,Low
45174416,144.0,Requisition_Date,7,144.0,229.4,103.59,Medium
461500560400,127.0,PO_Date,1,127.0,127.0,0.0,Low
462100771569,170.0,PO_Date,5,170.0,321.4,114.97,Medium
469033852322,127.0,PO_Date,1,127.0,127.0,0.0,Low
469041991352,127.0,PO_Date,1,127.0,127.0,0.0,Low
469062580055,44.0,Requisition_Date,1,44.0,44.0,0.0,Low
469863050743,183.0,PO_Date,5,183.0,378.6,180.91,Medium
47200250,31.0,Requisition_Date,1,31.0,31.0,0.0,Low
500500680030,40.0,PO_Date,2,40.0,45.6,9.9,Low
501000263740,282.0,PO_Date,3,282.0,406.0,119.92,Low
501000423936,54.0,PO_Date,1,54.0,54.0,0.0,Low
501300041401,103.0,PO_Date,1,103.0,103.0,0.0,Low
501400350020,618.0,Requisition_Date,1,618.0,618.0,0.0,Low
50232319,27.5,Requisition_Date,8,27.5,167.5,73.49,Medium
502355361120,668.0,PO_Date,1,668.0,668.0,0.0,Low
502355561004,101.0,PO_Date,1,101.0,101.0,0.0,Low
502355770020,126.0,PO_Date,9,126.0,361.6,162.13,Medium
503523410740,3.0,Requisition_Date,9,3.0,305.6,142.15,Medium
503523410891,92.0,PO_Date,1,92.0,92.0,0.0,Low
50540324,47.0,PO_Date,10,47.0,276.8,116.39,Medium
50541523,45.5,Requisition_Date,4,45.5,82.6,38.67,Low
50550081,21.0,Requisition_Date,24,21.0,173.6,80.65,High
508500010799,331.0,PO_Date,1,331.0,331.0,0.0,Low
508500690051,69.0,PO_Date,2,69.0,97.8,50.91,Low
508501090018,103.0,PO_Date,1,103.0,103.0,0.0,Low
508503310060,182.0,PO_Date,1,182.0,182.0,0.0,Low
508503570895,101.0,PO_Date,2,101.0,101.0,0.0,Low
509000396559,81.5,PO_Date,6,81.5,235.5,113.44,Medium
509000405457,94.0,PO_Date,3,94.0,135.6,42.39,Low
509004730016,33.0,PO_Date,1,33.0,33.0,0.0,Low
520504660025,72.0,PO_Date,1,72.0,72.0,0.0,Low
521102480039,54.0,PO_Date,1,54.0,54.0,0.0,Low
521102480040,53.0,PO_Date,1,53.0,53.0,0.0,Low
521104340026,83.0,PO_Date,1,83.0,83.0,0.0,Low
521501630045,43.0,PO_Date,2,43.0,43.8,1.41,Low
522004290085,66.0,PO_Date,1,66.0,66.0,0.0,Low
522004290103,66.0,PO_Date,1,66.0,66.0,0.0,Low
522004290115,66.0,PO_Date,1,66.0,66.0,0.0,Low
522004290127,66.0,PO_Date,1,66.0,66.0,0.0,Low
522004290139,66.0,PO_Date,1,66.0,66.0,0.0,Low
522005520025,210.0,PO_Date,1,210.0,210.0,0.0,Low
528100010050,33.0,PO_Date,1,33.0,33.0,0.0,Low
528100010103,91.0,PO_Date,1,91.0,91.0,0.0,Low
528100030023,33.0,PO_Date,1,33.0,33.0,0.0,Low
539800218676,288.0,PO_Date,2,288.0,384.8,171.12,Low
539800218688,288.0,PO_Date,2,288.0,384.8,171.12,Low
539800218690,167.0,PO_Date,1,167.0,167.0,0.0,Low
539800456678,183.0,PO_Date,1,183.0,183.0,0.0,Low
539800456903,604.0,PO_Date,1,604.0,604.0,0.0,Low
539800639499,6.0,Requisition_Date,1,6.0,6.0,0.0,Low
539800699782,73.0,PO_Date,1,73.0,73.0,0.0,Low
539801568695,127.5,PO_Date,2,127.5,171.9,78.49,Low
539801568713,140.0,PO_Date,2,140.0,174.4,60.81,Low
539801568725,140.0,PO_Date,2,140.0,174.4,60.81,Low
539802239713,229.5,PO_Date,2,229.5,360.3,231.22,Low
539802616569,668.0,PO_Date,1,668.0,668.0,0.0,Low
539802804118,238.0,PO_Date,6,238.0,428.5,165.99,Medium
539802804167,104.0,PO_Date,11,104.0,236.0,161.17,Medium
539802831377,127.5,PO_Date,2,127.5,171.9,78.49,Low
539802851959,275.0,PO_Date,1,275.0,275.0,0.0,Low
539802862386,268.0,PO_Date,1,268.0,268.0,0.0,Low
539802900879,641.0,PO_Date,1,641.0,641.0,0.0,Low
539804752183,333.0,PO_Date,5,333.0,479.2,181.84,Medium
539805021573,103.0,PO_Date,1,103.0,103.0,0.0,Low
539805046570,128.0,Requisition_Date,37,128.0,616.8,227.03,High
539805714955,513.0,PO_Date,1,513.0,513.0,0.0,Low
539805721194,99.0,PO_Date,1,99.0,99.0,0.0,Low
539805734220,81.5,PO_Date,4,81.5,86.8,25.6,Low
539805736252,99.0,PO_Date,1,99.0,99.0,0.0,Low
539805736331,59.5,PO_Date,2,59.5,79.1,34.65,Low
539805771483,59.5,PO_Date,2,59.5,79.1,34.65,Low
539805880545,5.0,Requisition_Date,2,5.0,5.0,0.0,Low
539806099363,98.0,PO_Date,7,98.0,178.0,58.78,Medium
539809127060,2.0,Requisition_Date,1,2.0,2.0,0.0,Low
539809943549,105.0,PO_Date,1,105.0,105.0,0.0,Low
539809943550,105.0,PO_Date,1,105.0,105.0,0.0,Low
539810160026,420.0,Requisition_Date,2,420.0,578.4,280.01,Low
539810200024,311.5,Requisition_Date,4,311.5,618.0,354.78,Low
539810200036,2.0,Requisition_Date,26,2.0,240.0,171.74,High
539810200048,618.0,Requisition_Date,3,618.0,618.0,199.19,Low
539810200050,49.0,Requisition_Date,22,49.0,273.1,181.57,High
539810200190,3.0,Requisition_Date,1,3.0,3.0,0.0,Low
539810221015,618.0,Requisition_Date,1,618.0,618.0,0.0,Low
539810410675,90.0,PO_Date,1,90.0,90.0,0.0,Low
539810830056,179.0,PO_Date,7,179.0,188.2,35.39,Medium
539811049986,261.0,PO_Date,2,261.0,346.6,151.32,Low
539811050022,75.0,PO_Date,11,75.0,222.0,104.71,Medium
539811130029,75.0,PO_Date,2,75.0,80.6,9.9,Low
539811150030,98.0,PO_Date,2,98.0,106.0,14.14,Low
539811180021,249.0,PO_Date,1,249.0,249.0,0.0,Low
539811190026,249.0,PO_Date,1,249.0,249.0,0.0,Low
539811200020,249.0,PO_Date,1,249.0,249.0,0.0,Low
539811210025,249.0,PO_Date,1,249.0,249.0,0.0,Low
539811281019,68.0,PO_Date,5,68.0,109.8,35.87,Medium
539811550250,23.0,Requisition_Date,1,23.0,23.0,0.0,Low
539811710022,512.0,PO_Date,1,512.0,512.0,0.0,Low
