Business_Unit,PL_Code,Description,Month,Issues_Qty,Receipts_Qty,Closing_Stock
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2023-04,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2023-05,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2023-06,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2023-07,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2023-08,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2023-09,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2023-10,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2023-11,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2023-12,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2024-01,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2024-02,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2024-03,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2024-04,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2024-05,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2024-06,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2024-07,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2024-08,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2024-09,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2024-10,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2024-11,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2024-12,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2025-01,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2025-02,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2025-03,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2025-04,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2025-05,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2025-06,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2025-07,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2025-08,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2025-09,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2025-10,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2025-11,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2025-12,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2026-01,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2026-02,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2026-03,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2026-04,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2026-05,0.0,0.0,-4500.0
MAS,0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",2026-06,0.0,0.0,-4500.0
MAS,0150N901,STEEL WIRE MS ORDINARY GALVENISED 4.0MMX8SWG TO IS 280 (SOFT) WITH COATING AS PER 4826/1979.SUITABLE....,2022-10,0.0,0.0,0.0
MAS,0150N901,STEEL WIRE MS ORDINARY GALVENISED 4.0MMX8SWG TO IS 280 (SOFT) WITH COATING AS PER 4826/1979.SUITABLE....,2022-11,0.0,0.0,-2460.0
MAS,0150N901,STEEL WIRE MS ORDINARY GALVENISED 4.0MMX8SWG TO IS 280 (SOFT) WITH COATING AS PER 4826/1979.SUITABLE....,2022-12,0.0,0.0,-2460.0
MAS,0150N901,STEEL WIRE MS ORDINARY GALVENISED 4.0MMX8SWG TO IS 280 (SOFT) WITH COATING AS PER 4826/1979.SUITABLE....,2023-01,0.0,0.0,-2460.0
MAS,0150N901,STEEL WIRE MS ORDINARY GALVENISED 4.0MMX8SWG TO IS 280 (SOFT) WITH COATING AS PER 4826/1979.SUITABLE....,2023-02,0.0,0.0,-2460.0
MAS,0150N901,STEEL WIRE MS ORDINARY GALVENISED 4.0MMX8SWG TO IS 280 (SOFT) WITH COATING AS PER 4826/1979.SUITABLE....,2023-03,0.0,0.0,-2460.0
MAS,0150N901,STEEL WIRE MS ORDINARY GALVENISED 4.0MMX8SWG TO IS 280 (SOFT) WITH COATING AS PER 4826/1979.SUITABLE....,2023-04,0.0,0.0,-2460.0
MAS,0150N901,STEEL WIRE MS ORDINARY GALVENISED 4.0MMX8SWG TO IS 280 (SOFT) WITH COATING AS PER 4826/1979.SUITABLE....,2023-05,0.0,0.0,-2460.0
MAS,0150N901,STEEL WIRE MS ORDINARY GALVENISED 4.0MMX8SWG TO IS 280 (SOFT) WITH COATING AS PER 4826/1979.SUITABLE....,2023-06,0.0,0.0,-2460.0
MAS,0150N901,STEEL WIRE MS ORDINARY GALVENISED 4.0MMX8SWG TO IS 280 (SOFT) WITH COATING AS PER 4826/1979.SUITABLE....,2023-07,0.0,0.0,-2460.0
MAS,0150N901,STEEL WIRE MS ORDINARY GALVENISED 4.0MMX8SWG TO IS 280 (SOFT) WITH COATING AS PER 4826/1979.SUITABLE....,2023-08,0.0,0.0,-2460.0
MAS,0150N901,STEEL WIRE MS ORDINARY GALVENISED 4.0MMX8SWG TO IS 280 (SOFT) WITH COATING AS PER 4826/1979.SUITABLE....,2023-09,0.0,0.0,-2460.0
MAS,0150N901,STEEL WIRE MS ORDINARY GALVENISED 4.0MMX8SWG TO IS 280 (SOFT) WITH COATING AS PER 4826/1979.SUITABLE....,2023-10,0.0,0.0,-2460.0
