PL_Code,Description,Months_Observed,Total_Issues,Average_Monthly_Demand,Std_Deviation,CV
0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",39,0.0,0.0,0.0,
0150N901,STEEL WIRE MS ORDINARY GALVENISED 4.0MMX8SWG TO IS 280 (SOFT) WITH COATING AS PER 4826/1979.SUITABLE....,45,0.0,0.0,0.0,
332104850037,Capillary Sampling Connector,12,0.0,0.0,0.0,
400600041170,2.5 sqmm 3 Core Power cable Copper,42,150.0,3.5714,23.1455,6.4807
401107494209,2C x 70 Sqmm XLPE Insulated PVC Sheathed Aluminium Cable,6,4519.0,753.1667,1844.874,2.4495
402500150037,PVC Copper Cable 25 Sqmm Used for the DDTC 24 ALSTOM Make AFTC @ ABC Connection.,52,1300.0,25.0,66.7891,2.6716
405000010983,GI WIRE 8 SWG (4mm dia),32,6120.0,191.25,408.2293,2.1345
409002561998,Cable PVC Wire Coil 3/20 Copper,54,349.0,6.463,19.502,3.0175
40981381,WIRE PVC COPPER 16/.2MM GREY,54,12.0,0.2222,0.9842,4.4287
421100070120,150W LED Luminaire For Flood Light,35,40.0,1.1429,4.4334,3.8793
423500060515,Laptop Intel core i7 15.6 Inch Display,34,1.0,0.0294,0.1715,5.831
429079389199,"BRANDWAY 4 POLE GAZEBO TENT WITH POLE HEIGHT, 7 FEET",45,40.0,0.8889,3.4721,3.9061
430200021416,Digital Multimeter make Rishi 18S,54,13.0,0.2407,0.7252,3.0122
430200021910,Digital Multimeter make Rishabh Model 14S,50,4.0,0.08,0.4445,5.5558
430200028538,True RMS Multimeter,34,120.0,3.5294,6.195,1.7552
430600150050,Battery Analyzer,6,2.0,0.3333,0.8165,2.4495
430800141263,FLUKE Single-point laser Class II Handheld Digital Infrared Thermometer,52,60.0,1.1538,2.9531,2.5594
431002240078,Ultrasonic thickness Gauge with LCD Digital display along with all accessories,15,1.0,0.0667,0.2582,3.873
431500022334,Split AC 2 Ton Capacity with Indoor and Outdoor unit.,27,19.0,0.7037,2.0905,2.9708
