Component,Status,Evidence,Required_For_TPJ
CORE platform (STEP1-19),CONFIG-READY,business_unit_config/runner/context support MAS/SA/TPJ/MDU/PGT/TVC; proven 6-div in STEP18A,Onboard via config (Status flip + data)
railway_business_unit_config,READY,DEPOT_TOKEN_TO_BUSINESS_UNIT + BUSINESS_UNITS = 6 divisions,none
railway_context,READY,per-BU output paths,none
MAS EXTENSION (STEP20-28),HARDCODED-MAS,"depot '027534', SUMMARY filename, 'MAS' literals, raw_data/.../MAS path",CODE: parametrize division/depot/paths
railway_safety_stock.py,HARDCODED,SUMMARY path+filename hardcoded; BU='MAS',parametrize -> division config
railway_rop.py,HARDCODED,depot '027534' filter; SUMMARY filename,parametrize
railway_srrs_mas.py,HARDCODED,SUMMARY filename; Type weights,parametrize
railway_demand_reconstruction.py,HARDCODED,DMTR_DIR=raw_data/.../MAS; global_end month,parametrize division path + snapshot
railway_forecast_generation.py,HARDCODED,HORIZON Jul_2026..Jun_2027,parametrize from snapshot date
Service levels / thresholds / weights,HARDCODED,"0.95/0.85, 0.5x/2x, 10/5/1, 1.32/0.49",-> per-division config (defaults shared)
TPJ onboarding (data),BLOCKED,TPJ has stock_history only; no DMTR/SUMMARY,acquire TPJ DMTR+SUMMARY
