PL_Code,PL_Code_Normalized,Length,Issue_Type,Changed
0150N90,15090,7,LeadingZero+Len6,Yes
0150N901,150901,8,LeadingZero+Len7,Yes
301001320132,301001320132,12,Len12,No
332104850037,332104850037,12,Len12,No
396800140020,396800140020,12,Len12,No
400600041170,400600041170,12,Len12,No
40070359,40070359,8,Len8,No
401107494209,401107494209,12,Len12,No
402500150037,402500150037,12,Len12,No
405000010983,405000010983,12,Len12,No
409002561998,409002561998,12,Len12,No
409005470025,409005470025,12,Len12,No
40981381,40981381,8,Len8,No
41095066,41095066,8,Len8,No
421100070120,421100070120,12,Len12,No
423500060515,423500060515,12,Len12,No
429079389199,429079389199,12,Len12,No
430200021416,430200021416,12,Len12,No
430200021910,430200021910,12,Len12,No
430200028538,430200028538,12,Len12,No
430600150050,430600150050,12,Len12,No
430800071030,430800071030,12,Len12,No
430800071042,430800071042,12,Len12,No
430800141263,430800141263,12,Len12,No
431002240078,431002240078,12,Len12,No
431500022334,431500022334,12,Len12,No
432900164003,432900164003,12,Len12,No
45174404/45174416,4517440445174416,17,Composite+Len16,Yes
45174416,45174416,8,Len8,No
460151414110,460151414110,12,Len12,No
461500560400,461500560400,12,Len12,No
462100771569,462100771569,12,Len12,No
464214132778,464214132778,12,Len12,No
469033852322,469033852322,12,Len12,No
469041991352,469041991352,12,Len12,No
469062580055,469062580055,12,Len12,No
469863050743,469863050743,12,Len12,No
470200493776,470200493776,12,Len12,No
470501710375,470501710375,12,Len12,No
47200054/47200250,4720005447200250,17,Composite+Len16,Yes
47200250,47200250,8,Len8,No
500101070025,500101070025,12,Len12,No
500101140210,500101140210,12,Len12,No
500103311305,500103311305,12,Len12,No
500103311482,500103311482,12,Len12,No
500500340048,500500340048,12,Len12,No
500500680030,500500680030,12,Len12,No
500501490650,500501490650,12,Len12,No
500502510050,500502510050,12,Len12,No
500600111902,500600111902,12,Len12,No
500600571445,500600571445,12,Len12,No
500601240060,500601240060,12,Len12,No
501000013450,501000013450,12,Len12,No
501000014155,501000014155,12,Len12,No
501000103553,501000103553,12,Len12,No
501000243442,501000243442,12,Len12,No
501000263740,501000263740,12,Len12,No
501000264214,501000264214,12,Len12,No
501000264226,501000264226,12,Len12,No
501000267963,501000267963,12,Len12,No
501000423936,501000423936,12,Len12,No
501000424023,501000424023,12,Len12,No
501000425167,501000425167,12,Len12,No
501024510020,501024510020,12,Len12,No
501024520024,501024520024,12,Len12,No
501025160027,501025160027,12,Len12,No
501025180026,501025180026,12,Len12,No
501027170097,501027170097,12,Len12,No
501027170127,501027170127,12,Len12,No
501027710020,501027710020,12,Len12,No
501027730029,501027730029,12,Len12,No
501027960084,501027960084,12,Len12,No
501027960102,501027960102,12,Len12,No
501027960230,501027960230,12,Len12,No
501300041401,501300041401,12,Len12,No
501300041644,501300041644,12,Len12,No
501300043185,501300043185,12,Len12,No
501300520510,501300520510,12,Len12,No
50132453,50132453,8,Len8,No
50132600,50132600,8,Len8,No
501400350020,501400350020,12,Len12,No
501500320073,501500320073,12,Len12,No
501800084620,501800084620,12,Len12,No
501800084632,501800084632,12,Len12,No
501800084863,501800084863,12,Len12,No
501800085636,501800085636,12,Len12,No
501800085650,501800085650,12,Len12,No
501800092290,501800092290,12,Len12,No
501800242845,501800242845,12,Len12,No
501800242869,501800242869,12,Len12,No
501800242936,501800242936,12,Len12,No
501800242997,501800242997,12,Len12,No
501800243000,501800243000,12,Len12,No
501800243291,501800243291,12,Len12,No
501800331830,501800331830,12,Len12,No
501800331842,501800331842,12,Len12,No
501800472632,501800472632,12,Len12,No
501801000043,501801000043,12,Len12,No
501801220031,501801220031,12,Len12,No
501802180077,501802180077,12,Len12,No
501802180089,501802180089,12,Len12,No
501802180107,501802180107,12,Len12,No
501802580020,501802580020,12,Len12,No
501802840028,501802840028,12,Len12,No
501803720020,501803720020,12,Len12,No
501805440141,501805440141,12,Len12,No
501806660197,501806660197,12,Len12,No
501806990069,501806990069,12,Len12,No
501900030062,501900030062,12,Len12,No
50210014,50210014,8,Len8,No
502200010089,502200010089,12,Len12,No
502200280020,502200280020,12,Len12,No
502200620700,502200620700,12,Len12,No
502200630160,502200630160,12,Len12,No
50231832/50231881,5023183250231881,17,Composite+Len16,Yes
50231881,50231881,8,Len8,No
50231959,50231959,8,Len8,No
50232319,50232319,8,Len8,No
502323201614,502323201614,12,Len12,No
50232356/50232319,5023235650232319,17,Composite+Len16,Yes
502355280027,502355280027,12,Len12,No
502355280052,502355280052,12,Len12,No
502355280088,502355280088,12,Len12,No
502355360989,502355360989,12,Len12,No
502355360990,502355360990,12,Len12,No
