PL_Code,In_DMTR,In_Operational,In_Strategic,In_Criticality,Universe_Status
0150N90,1,0,0,0,Demand_Only
0150N901,1,0,0,0,Demand_Only
301001320132,0,1,0,0,Inventory_Only
332104850037,1,0,0,0,Demand_Only
396800140020,0,1,0,0,Inventory_Only
400600041170,1,0,0,0,Demand_Only
40070359,0,0,0,1,Criticality_Only
401107494209,1,0,0,0,Demand_Only
402500150037,1,0,0,0,Demand_Only
405000010983,1,0,0,0,Demand_Only
409002561998,1,0,0,0,Demand_Only
409005470025,0,1,0,0,Inventory_Only
40981381,1,0,0,1,Partial_Match
41095066,0,1,1,1,Partial_Match
421100070120,1,0,0,0,Demand_Only
423500060515,1,0,0,0,Demand_Only
429079389199,1,0,0,0,Demand_Only
430200021416,1,0,0,0,Demand_Only
430200021910,1,0,0,0,Demand_Only
430200028538,1,0,0,0,Demand_Only
430600150050,1,0,0,0,Demand_Only
430800071030,0,1,0,0,Inventory_Only
430800071042,0,1,0,0,Inventory_Only
430800141263,1,0,0,0,Demand_Only
431002240078,1,0,0,0,Demand_Only
431500022334,1,0,0,0,Demand_Only
432900164003,1,0,0,0,Demand_Only
45174404/45174416,0,0,1,1,Partial_Match
45174416,1,0,0,0,Demand_Only
460151414110,1,0,0,0,Demand_Only
461500560400,1,0,0,0,Demand_Only
462100771569,1,0,0,0,Demand_Only
464214132778,1,0,0,0,Demand_Only
469033852322,1,0,0,0,Demand_Only
469041991352,1,0,0,0,Demand_Only
469062580055,1,0,0,0,Demand_Only
469863050743,1,0,0,0,Demand_Only
470200493776,1,0,0,0,Demand_Only
470501710375,1,0,0,0,Demand_Only
47200054/47200250,0,0,1,1,Partial_Match
47200250,1,0,0,0,Demand_Only
500101070025,0,1,0,0,Inventory_Only
500101140210,0,1,0,0,Inventory_Only
500103311305,0,1,0,0,Inventory_Only
500103311482,0,1,0,0,Inventory_Only
500500340048,0,1,0,0,Inventory_Only
500500680030,1,0,0,0,Demand_Only
500501490650,0,1,0,0,Inventory_Only
500502510050,0,1,0,0,Inventory_Only
500600111902,0,1,0,0,Inventory_Only
500600571445,0,1,0,0,Inventory_Only
500601240060,0,1,0,0,Inventory_Only
501000013450,0,1,0,0,Inventory_Only
501000014155,0,1,0,0,Inventory_Only
501000103553,0,1,0,0,Inventory_Only
501000243442,1,0,0,0,Demand_Only
501000263740,1,0,0,0,Demand_Only
501000264214,0,1,0,0,Inventory_Only
501000264226,0,1,0,0,Inventory_Only
501000267963,0,1,0,0,Inventory_Only
501000423936,1,0,0,0,Demand_Only
501000424023,0,1,0,0,Inventory_Only
501000425167,0,1,0,0,Inventory_Only
501024510020,0,1,0,0,Inventory_Only
501024520024,0,1,0,0,Inventory_Only
501025160027,0,1,0,0,Inventory_Only
501025180026,0,1,0,0,Inventory_Only
501027170097,0,1,0,0,Inventory_Only
501027170127,0,1,0,0,Inventory_Only
501027710020,0,1,0,0,Inventory_Only
501027730029,0,1,0,0,Inventory_Only
501027960084,0,1,0,0,Inventory_Only
501027960102,0,1,0,0,Inventory_Only
501027960230,0,1,0,0,Inventory_Only
501300041401,1,0,0,0,Demand_Only
501300041644,0,1,0,0,Inventory_Only
501300043185,0,1,0,0,Inventory_Only
501300520510,0,1,0,0,Inventory_Only
50132453,0,0,0,1,Criticality_Only
50132600,0,1,0,1,Partial_Match
501400350020,1,0,0,0,Demand_Only
501500320073,0,1,0,0,Inventory_Only
501800084620,0,1,0,0,Inventory_Only
501800084632,0,1,0,0,Inventory_Only
501800084863,0,1,0,0,Inventory_Only
501800085636,0,1,0,0,Inventory_Only
501800085650,0,1,0,0,Inventory_Only
501800092290,0,1,0,0,Inventory_Only
501800242845,0,1,0,0,Inventory_Only
501800242869,0,1,0,0,Inventory_Only
501800242936,0,1,0,0,Inventory_Only
