PL_Code,Description,Business_Unit,Criticality,Criticality_Name,ABC_Class,Forecast_Method,Forecastability_Class,Forecast_2026_27,Current_Stock,Strategic_Stock,Operational_Stock,Lead_Time_Months,Pending_Supply,Unit_Cost,Inventory_Value,Supplier_Info,Procurement_History
0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",MAS,,,,No Forecast,,,,,,,,,,Yes,Yes
0150N901,STEEL WIRE MS ORDINARY GALVENISED 4.0MMX8SWG TO IS 280 (SOFT) WITH COATING AS PER 4826/1979.SUITABLE....,MAS,,,,No Forecast,,,,,,,,,,Yes,Yes
332104850037,Capillary Sampling Connector,MAS,,,,No Forecast,,,,,,,,,,,
400600041170,2.5 sqmm 3 Core Power cable Copper,MAS,,,,SBA,Very Low,1710.0,,,,,,,,Yes,Yes
401107494209,2C x 70 Sqmm XLPE Insulated PVC Sheathed Aluminium Cable,MAS,,,,SBA,Very Low,51516.6,,,,,,,,Yes,Yes
402500150037,PVC Copper Cable 25 Sqmm Used for the DDTC 24 ALSTOM Make AFTC @ ABC Connection.,MAS,,,,TSB,Very Low,246.8342,,,,,,,,Yes,Yes
405000010983,GI WIRE 8 SWG (4mm dia),MAS,,,,TSB,Low,2470.7986,,,,,,,,Yes,Yes
409002561998,Cable PVC Wire Coil 3/20 Copper,MAS,,,,Croston,Medium,51.8672,,,,,,,,Yes,Yes
40981381,WIRE PVC COPPER 16/.2MM GREY,MAS,S3,Essential,C,SBA,Very Low,22.1079,0.0,,,,,0.0,,Yes,Yes
421100070120,150W LED Luminaire For Flood Light,MAS,,,,TSB,Very Low,10.8822,,,,,,,,Yes,Yes
423500060515,Laptop Intel core i7 15.6 Inch Display,MAS,,,,SBA,Very Low,1.6286,,,,,,,,Yes,Yes
429079389199,"BRANDWAY 4 POLE GAZEBO TENT WITH POLE HEIGHT, 7 FEET",MAS,,,,TSB,Very Low,3.7036,,,,,,,,Yes,Yes
430200021416,Digital Multimeter make Rishi 18S,MAS,,,,SBA,Very Low,10.679,,,,,,,,Yes,Yes
430200021910,Digital Multimeter make Rishabh Model 14S,MAS,,,,SBA,Very Low,12.4364,,,,,,,,Yes,Yes
430200028538,True RMS Multimeter,MAS,,,,TSB,Low,57.977,,,,,,,,Yes,Yes
430600150050,Battery Analyzer,MAS,,,,SBA,Very Low,22.8,,,,,,,,Yes,Yes
430800141263,FLUKE Single-point laser Class II Handheld Digital Infrared Thermometer,MAS,,,,SBA,Very Low,25.0582,,,,,,,,Yes,Yes
431002240078,Ultrasonic thickness Gauge with LCD Digital display along with all accessories,MAS,,,,SBA,Very Low,11.4,,,,,,,,Yes,Yes
431500022334,Split AC 2 Ton Capacity with Indoor and Outdoor unit.,MAS,,,,TSB,Very Low,13.808,,,,,,,,Yes,Yes
432900164003,"Laptop i5 Processor, 14 inch Display with Battery and Adapter",MAS,,,,SBA,Very Low,4.2222,,,,,,,,Yes,Yes
45174416,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FROM 1.100 TO....,MAS,,,,SES/Holt,Medium,102.9098,,,,,,,,Yes,Yes
460151414110,Copper Lugs (Double Hole),MAS,,,,SBA,Very Low,13.119,,,,,,,,,
461500560400,GI Flat of Size 550X25X3mm to connect all cable armours to earth,MAS,,,,SBA,Very Low,228.0,,,,,,,,Yes,Yes
462100771569,Copper tape of Size 25mm x 3mm,MAS,,,,TSB,Very Low,797.413,,,,,,,,Yes,Yes
464214132778,Splice Plate,MAS,,,,SBA,Very Low,34.2,,,,,,,,,
469033852322,Enameled Number Plates,MAS,,,,SBA,Very Low,250.8,,,,,,,,Yes,Yes
469041991352,GI Flat of Size 1050X25X3mm to connect all cable armours to earth,MAS,,,,SBA,Very Low,456.0,,,,,,,,Yes,Yes
469062580055,RELEASED CATENARY WIRE 65 sqmm,MAS,,,,SBA,Very Low,757.8258,,,,,,,,Yes,Yes
469863050743,RODOMETER,MAS,,,,TSB,Low,17.3745,,,,,,,,Yes,Yes
470200493776,V Belt for LC GATE Motor,MAS,,,,SBA,Very Low,43.89,,,,,,,,,
470501710375,UPS 1 KVA,MAS,,,,No Forecast,,,,,,,,,,Yes,Yes
47200250,TRANSFORMERS 230/110V 1 KVA TO RDSO SPECIFICATION NO.RDSO/SPECN.262/1981 AND TO DRG NO 262/85 CONFOR....,MAS,,,,SBA,Very Low,15.32,,,,,,,,Yes,Yes
500500680030,HALF SPLIT DWC PIPE,MAS,,,,SBA,Very Low,3954.5943,,,,,,,,Yes,Yes
501000243442,CT BOX (FRP TYPE),MAS,,,,SBA,Very Low,35.5043,,,,,,,,Yes,Yes
501000263740,GI Pipe 50mm Dia 3.65mm Thick,MAS,,,,TSB,Very Low,344.1746,,,,,,,,Yes,Yes
501000423936,CAT 6 Cable consisting of each drum/box of 305 Meters,MAS,,,,SBA,Very Low,34.2,,,,,,,,Yes,Yes
501300041401,"OFC patch cord 7 mtrs length (SC-LC,single mode, duplex)",MAS,,,,SBA,Very Low,114.0,,,,,,,,Yes,Yes
501400350020,Scanner EPSON V39,MAS,,,,No Forecast,,,,,,,,,,Yes,Yes
50232319,MAGNETIC TELEPHONE WITH ELECTRO DYNAMIC TRANDUCERS CONFIRMING TO RDSO SPECN.NO.IRS-TC-36/97.(Amendme....,MAS,,,,SBA,Low,59.8518,0.0,,0.0,,,5097.69,0.0,Yes,Yes
502355361120,"Fire Alarm Power supply for Aspiration (AIR Sampling) Type smoke detector Power supply  (24V DC, 5A)....",MAS,,,,TSB,Very Low,24.3357,,,,,,,,Yes,Yes
502355561004,Digital Handheld Water Quality Meter / Analyzer Measuring TDS Meter,MAS,,,,TSB,Very Low,11.6418,,,,,,,,Yes,Yes
502355770020,Supply and installation of Signal post telephone with facility of paging and talk-back including voi....,MAS,,,,TSB,Low,76.453,,,,,,,,Yes,Yes
502356050030,CABLE TERMINATION BOX (C.I),MAS,,,,No Forecast,,,,,,,,,,,
503523410740,DIGITAL VOICE ANNOUNCIATION UNIT FOR LC GATE,MAS,,,,TSB,Very Low,16.7082,,,,,,,,Yes,Yes
503523410891,Friction Clutch Assembly for EOLB LC GATE PTJ MAKE,MAS,,,,TSB,Very Low,7.3647,,,,,,,,Yes,Yes
50540324,LOW MAINTENANCE LEAD ACID  STATIONARY SECONDARY CELLS  2V/80AH CAPACITY AT  10 HRS RATE OF DISCHARGE....,MAS,S2,Vital,A,Croston,Medium,2466.12,4304.0,655.0,,,336.0,3449.6,,Yes,Yes
50541523,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V /120 AH   TO SPECIFICATION.IRS:S-88/2004 or ....,MAS,S2,Vital,B2,TSB,Very Low,212.2548,354.0,228.0,,,321.0,4497.92,,Yes,Yes
50550081,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V/ 200AH CAPACITY  AT 10 HRS. RATE OF DISCHARG....,MAS,S2,Vital,A,TSB,Medium,976.5185,1532.0,945.0,,,221.0,6368.0,,Yes,Yes
508500010799,"PVC warning tape colour orange, width 250 mm (10) by printing with black letters (Southern Railway S....",MAS,,,,SBA,Very Low,5.6274,,,,,,,,Yes,Yes
508500690051,CABLE/PIPE FAULT AND MARKER LOCATOR,MAS,,,,SBA,Very Low,10.3636,,,,,,,,Yes,Yes
508501090018,LAN Tester,MAS,,,,SBA,Very Low,11.4,,,,,,,,Yes,Yes
508502470029,CABLE / PIPE ROUTE LOCATOR,MAS,,,,SBA,Very Low,11.4,,,,,,,,Yes,Yes
508503310060,Metravi Hand Held Digital Multimeter,MAS,,,,SBA,Very Low,34.2,,,,,,,,Yes,Yes
508503570895,Earth Leakage Detector (12  channel) as per RDSO specification no. RDSO/SPN/256/2002 or latest,MAS,,,,SBA,Very Low,3.0138,,,,,,,,Yes,Yes
509000396559,48 Fibre OFC (Armoured) as per RDSO Spec no. RDSO/SPN/TC/110/2020 (Inspection by RDSO),MAS,,,,TSB,Low,60026.5174,,,,,,,,Yes,Yes
509000405457,Joint closure conforming to TEC Spec. and splicing of Optic Fibre Cable 48 Fibres,MAS,,,,SBA,Very Low,25.2749,,,,,,,,Yes,Yes
509004730016,SHARP MULTIFUNCTION XEROX MACHINE MFM,MAS,,,,SBA,Very Low,11.4,,,,,,,,Yes,Yes
509051280160,Intelligence Addressable Aspiration Type Smoke Detector,MAS,,,,SBA,Very Low,11.4,,,,,,,,,
520504660025,SMALL SIZED VALVE REGULATED LEAD ACID (VRLA) BATTERY (SMF) 12V-84AH CAPACITY CONFIRMING TO JISC: 870....,MAS,,,,TSB,Very Low,4.1318,,,,,,,,Yes,Yes
521100810024,E1 Converter (V.21 to E1-Converter) with necessary connected equipment,MAS,,,,SBA,Very Low,28.5748,,,,,,,,,
521102480039,232 - 485 Converter,MAS,,,,SBA,Very Low,364.8,,,,,,,,Yes,Yes
521102480040,USB TO 485 converter,MAS,,,,SBA,Very Low,364.8,,,,,,,,Yes,Yes
521104340026,External Modems for Auto hut Datalogger for networking of RTU as per RDSO specification no. IRS-S-99....,MAS,,,,TSB,Very Low,16.938,,,,,,,,Yes,Yes
521501630045,MULTIFUNCTION XEROX MACHINE MFM,MAS,,,,SBA,Very Low,22.8,,,,,,,,Yes,Yes
522002010024,FUSE ND 20 Amps,MAS,,,,TSB,Very Low,85.2935,,,,,,,,,
522002180021,TRANSFORMER 400/110V/1KVA as per RDSO Spec IRS.S.72/88 Ammendemnet 1 or latest,MAS,,,,SBA,Very Low,11.4,,,,,,,,,
522002180033,TRANSFORMER 400/110V/500VA,MAS,,,,SBA,Very Low,15.2,,,,,,,,,
522004290085,FCOM(Part No. H001M115RI) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ve....,MAS,,,,SBA,Very Low,45.125,,,,,,,,Yes,Yes
