Asset,Classification,Introduced,Last_Used_By,Business_Purpose,Runtime_Dependencies,Removal_Risk
railway_data_preparation.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_classification.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_forecasting.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_inventory_optimization.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_data_quality.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_inventory_rationalization.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_operational_analysis.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_executive_summary.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_powerbi_export.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_enterprise.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_anylogistix_export.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_management_reports.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_lineage.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_dashboard_validation.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_srrs_validation.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_explainability.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_audit_trail.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
schema_validation.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_regression.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_business_unit_runner.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_context.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_domain_config.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_business_unit_config.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_strategic_allocation.py,ACTIVE_CORE_PLATFORM,STEP1-19,STEP1-28,core railway analytics,intra-railway + cfg,HIGH (do NOT remove)
railway_demand_reconstruction.py,ACTIVE_MAS_EXTENSION,STEP20-28,STEP24-28,MAS division planning,cfg + demand_reconstruction(reader),HIGH (active)
railway_demand_classification.py,ACTIVE_MAS_EXTENSION,STEP20-28,STEP24-28,MAS division planning,cfg + demand_reconstruction(reader),HIGH (active)
railway_forecast_generation.py,ACTIVE_MAS_EXTENSION,STEP20-28,STEP24-28,MAS division planning,cfg + demand_reconstruction(reader),HIGH (active)
railway_lead_time_derivation.py,ACTIVE_MAS_EXTENSION,STEP20-28,STEP24-28,MAS division planning,cfg + demand_reconstruction(reader),HIGH (active)
railway_pl_master.py,ACTIVE_MAS_EXTENSION,STEP20-28,STEP24-28,MAS division planning,cfg + demand_reconstruction(reader),HIGH (active)
railway_safety_stock.py,ACTIVE_MAS_EXTENSION,STEP20-28,STEP24-28,MAS division planning,cfg + demand_reconstruction(reader),HIGH (active)
railway_rop.py,ACTIVE_MAS_EXTENSION,STEP20-28,STEP24-28,MAS division planning,cfg + demand_reconstruction(reader),HIGH (active)
railway_srrs_mas.py,ACTIVE_MAS_EXTENSION,STEP20-28,STEP24-28,MAS division planning,cfg + demand_reconstruction(reader),HIGH (active)
railway_config.py,SHARED_INFRASTRUCTURE,STEP1,STEP1-28,constants/paths (fan-in 31),stdlib,CRITICAL (do NOT remove)
railway/tests/*.py (10),SHARED_INFRASTRUCTURE,STEP1-17,legacy modules,unit tests (legacy only),pytest,keep; extend
notebooks/01-06*.ipynb,LEGACY_HISTORICAL,pre-railway (Walmart),Walmart era,M5 exploratory/provenance,M5 csvs,LOW (archive)
notebooks/07_railway*.ipynb,LEGACY_HISTORICAL,railway narrative,superseded,narrative,railway modules,LOW (archive)
"raw_data/sales_train_*,sell_prices,calendar,sample_submission (430MB)",DEAD_CODE,Walmart,Walmart notebooks only,none (railway),-,NONE (delete/archive)
root _step*/_*_audit.py (18),SHARED_INFRASTRUCTURE(driver),STEP18A-28+audits,one-off,reproduce/verify outputs,modules,"LOW (archive, keep provenance)"
root *.md (88),SHARED_INFRASTRUCTURE(docs),STEP-by-step,ongoing,human reports,-,LOW (move to docs/)
sklearn/prophet/seaborn (deps),DEAD_CODE,Walmart era,none,unused (0 imports),-,NONE (remove from runtime)
