PL_Code,Description,Business_Unit,Criticality_Class,Forecast_Method,Forecast_Annual,Forecast_Monthly,Lead_Time_Days,Demand_During_LT,Safety_Stock,ROP,Current_Stock,Reorder_Gap,Stock_Status
56501006,PVC insulated armoured unscreened underground Railway signalling copper cable of size 24c x 1.5 sq.m....,MAS,Critical,TSB,139193.17,11599.431,120.0,45730.82,40743.0,86473.82,0.0,86473.82,Critical Shortage
56509959,PVC INSULATING CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNDER GROUND UNSCREENED ARMOURED WITH GALVANI....,MAS,Critical,Croston,58378.1,4864.842,124.0,19818.99,27558.88,47377.87,0.0,47377.87,Critical Shortage
561196180021,"CABLE JELLY FILLED UNDERGROUND TELECOM 6 QUAD, 0.9MM DIA RAILWAY SIGNAL AND TELECOM COPPER CONDUCTOR....",MAS,Critical,Croston,90614.1,7551.175,108.0,26793.49,20384.43,47177.92,5973.0,41204.92,Critical Shortage
509000396559,48 Fibre OFC (Armoured) as per RDSO Spec no. RDSO/SPN/TC/110/2020 (Inspection by RDSO),MAS,Critical,TSB,60026.52,5002.21,81.5,13394.01,28784.0,42178.01,3113.0,39065.01,Critical Shortage
56501018,PVC INSULATED CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNSCREENED UNDERGROUND ARMOURED WITH GALVANISE....,MAS,Critical,Croston,62168.08,5180.673,79.0,13446.35,28080.44,41526.79,236.0,41290.79,Critical Shortage
539804752183,OFC cable 24 fibre armoured as per RDSO specification no. IRS:TC:55/2006 Rev 1 with amendment no.3 ....,MAS,Critical,TSB,18644.49,1553.708,333.0,16998.26,17066.5,34064.76,0.0,34064.76,Critical Shortage
561183521801,PVC Cable of unsheathed insulated annealed tinned copper conductor single core multi strands 16/0.2 ....,MAS,Critical,Croston,22001.95,1833.496,111.0,6686.42,21715.74,28402.16,7700.0,20702.16,Critical Shortage
569003030023,FIRE ALARM FIRE SURVIVAL INTEGRITY CABLE 2C X 1.5 SQMM UNARMOURED AS PER RDSO/SPN/217/2018-VER 2.0,MAS,Critical,TSB,12876.09,1073.007,367.0,12937.78,10479.23,23417.01,11407.0,12010.01,Critical Shortage
56119033,CABLE PVC INSULATED ARMOURED UNSCREENED RAILWAY SIGNALLING CABLE OF SIZE 19C x 1.5sqmm (REV 4.0) IRS....,MAS,Critical,TSB,20017.62,1668.135,152.0,8330.4,13711.51,22041.91,0.0,22041.91,Critical Shortage
56507641,CHANNEL BOND PIN SINGLE GROOVE 7 mm DIA FOR 4 mm DIA BOND WIRE TO IRS-S-17-75 AND RDSO DRG NO.S.69m,MAS,Non-Critical,SES/Holt,52713.58,4392.798,104.5,15081.64,5664.41,20746.05,56410.0,-35663.95,Excess
569003030035,FIRE ALARM FIRE SURVIVAL INTERGRITY CABLE 2CX1.5SQMM ARMORED AS PER RDSO/SPN/217/2018 VER -2  OR LAT....,MAS,Critical,SBA,9869.9,822.492,365.0,9863.14,5982.08,15845.22,1883.0,13962.22,Critical Shortage
401107494209,2C x 70 Sqmm XLPE Insulated PVC Sheathed Aluminium Cable,MAS,Non-Critical,SBA,51516.6,4293.05,79.0,11142.54,3080.47,14223.01,0.0,14223.01,Critical Shortage
56509376,ARA TERMINAL BLOCK (SMALL) M6 PBT MAKE TO DRG  NO.SA.23741A/ALT-4 AND TO SPECN.IRS.S.75/91 (AMDT NO.....,MAS,Critical,Croston,29820.28,2485.023,87.0,7102.98,5437.01,12539.99,17723.0,-5183.01,Healthy
56509960,"Cable PVC insulated, armoured, unscreened, underground  aluminium  power cable of size 2c x 25 sq.m....",MAS,Critical,TSB,16982.42,1415.202,83.0,3859.11,7284.3,11143.41,0.0,11143.41,Critical Shortage
539802804167,HDPE PIPE O.D 40MM I.D 33MM,MAS,Critical,TSB,13921.78,1160.148,104.0,3964.04,4569.76,8533.8,78800.0,-70266.2,Excess
567912550075,FIRE ALARM RESETTABLE TYPE ANALOGUE LHS CABLE AS PER RDSO/SPN/217/2018-VER 2.0,MAS,Critical,TSB,3559.77,296.647,367.0,3576.83,4902.78,8479.61,0.0,8479.61,Critical Shortage
910100820060,Aluminum sheet of Thick minimum 0.3mm,MAS,Non-Critical,SBA,5700.0,475.0,474.0,7397.13,991.98,8389.11,0.0,8389.11,Critical Shortage
56119537,PVC INSULATED CABLE FOR RAILWAY SIGNALLING   HEAVY DUTY UNDER GROUND UNSCREENED ARMOUNED WITH GALVAN....,MAS,Critical,TSB,20117.2,1676.433,67.5,3717.76,4534.51,8252.27,0.0,8252.27,Critical Shortage
83041849,PAPER CARBON PENCIL 20.5 X 33 CM BLUE COLOUR SIMILAR TO KORES SAPPHIRE BRAND IS. 3450/1976.,MAS,Non-Critical,SBA,5700.0,475.0,437.0,6819.71,274.96,7094.67,0.0,7094.67,Critical Shortage
569034910069,Cable Protection Tube (Altpro Make),MAS,Critical,SBA,9712.8,809.4,209.0,5557.77,821.15,6378.92,0.0,6378.92,Critical Shortage
539810830056,Trunking and Capping as per Drg no. Proj/SG/MS/55A/2006,MAS,Non-Critical,TSB,2040.32,170.027,179.0,999.91,4807.67,5807.58,0.0,5807.58,Critical Shortage
539897071045,"High Density Polyethylene Pipes (HDPE) of 110mm outer dia, 10mm wall thickness as per specification....",MAS,Non-Critical,TSB,8819.2,734.933,171.0,4128.91,1642.48,5771.39,3300.0,2471.39,Shortage
623500980059,DWC Pipe [Inner Dia 103.5mm & Outer Dia-120mm] WITH COUPLER FOR EVERY 6 MTRS,MAS,Critical,TSB,2231.4,185.95,494.0,3017.96,2574.15,5592.11,2462.0,3130.11,Critical Shortage
569060390045,Weather proof Rain protection cover for 4 Aspect IRS Type CLS unit,MAS,Non-Critical,SBA,5700.0,475.0,247.5,3862.42,492.58,4355.0,0.0,4355.0,Critical Shortage
539802804118,HDPE PIPE 110MM DIA 5.5 MM THICK,MAS,Non-Critical,TSB,3515.14,292.928,238.0,2290.5,1804.98,4095.48,150.0,3945.48,Critical Shortage
539810200048,FIT & FORGET LEAD WIRE 1.5 MTR 4 MM DIA,MAS,Non-Critical,TSB,1219.86,101.655,618.0,2063.99,1585.21,3649.2,0.0,3649.2,Critical Shortage
539880410093,Modular Terminal Block of 2.5 sqmm 2IN 2OUT Type Disconnect type,MAS,Non-Critical,TSB,3991.62,332.635,206.0,2251.26,1156.22,3407.48,1000.0,2407.48,Critical Shortage
539825241013,GI pipe 100 mm dia 4.5mm thick,MAS,Critical,TSB,4904.08,408.673,123.5,1658.19,1529.68,3187.87,1296.0,1891.87,Critical Shortage
539844530094,MS clamp with GI coated - a) Angle 75x75x6x980 mm length b) Angle 50x50x6x350 mm - 2 Nos c) 25x25x6 ....,MAS,Non-Critical,SBA,5700.0,475.0,181.0,2824.64,306.49,3131.13,0.0,3131.13,Critical Shortage
405000010983,GI WIRE 8 SWG (4mm dia),MAS,Non-Critical,TSB,2470.8,205.9,187.0,1265.0,1048.73,2313.73,0.0,2313.73,Critical Shortage
569004570074,Weather proof Rain protection cover for 2 Aspect IRS Type CLS unit,MAS,Non-Critical,TSB,2422.1,201.842,247.5,1641.26,455.07,2096.33,0.0,2096.33,Critical Shortage
795100540055,ELECTRICAL SAFETY SHOES,MAS,Non-Critical,TSB,3049.86,254.155,160.0,1336.01,654.1,1990.11,19.0,1971.11,Critical Shortage
56509388,TERMINAL BLOCK   MADE OF PBT 60MM TO RDSO DRG NO:SA23745 (ALT-5)TO SPECN IRS : S-75/2006 AMENDMENT .....,MAS,Critical,TSB,3196.6,266.383,97.0,848.93,984.08,1833.01,5663.0,-3829.99,Excess
539849380013,TAPPER PIN FOR AFTC 12MM,MAS,Non-Critical,TSB,1466.6,122.217,174.0,698.67,870.94,1569.61,8.0,1561.61,Critical Shortage
539896390039,Supply of PVC indoor cable 1x24x1 mm dia having colour coding of insulation of inner core shall be s....,MAS,Critical,TSB,618.75,51.562,318.0,538.71,1020.06,1558.77,120.0,1438.77,Critical Shortage
500500680030,HALF SPLIT DWC PIPE,MAS,Non-Critical,SBA,3954.59,329.549,40.0,433.08,1057.31,1490.39,3994.0,-2503.61,Excess
569003540050,FIRE ALARM HEAT AND SMOKE MULTI SENSOR AS PER RDSO /SPN/217/2018 VER-2.0,MAS,Critical,TSB,288.5,24.042,668.0,527.63,830.16,1357.79,18.0,1339.79,Critical Shortage
556302870142,Jacketed wire Rope  5.1 Mtrs 6mm dia,MAS,Non-Critical,SBA,732.5,61.042,618.0,1239.38,58.26,1297.64,0.0,1297.64,Critical Shortage
795900190130,JUNGLE HAT,MAS,Non-Critical,TSB,2604.06,217.005,111.0,791.38,495.4,1286.78,0.0,1286.78,Critical Shortage
56982252,INSULATION FOR STRETCHER BAR AS PER SPECIFICATION IRS.S.40-84 (Complete Set),MAS,Critical,TSB,947.08,78.923,102.0,264.48,857.4,1121.88,0.0,1121.88,Critical Shortage
