PL_Code,Description,Business_Unit,Criticality_Class,Forecast_Method,Forecast_Annual,Lead_Time_Days,Demand_STD,Service_Level,Z_Value,Safety_Stock
56501006,PVC insulated armoured unscreened underground Railway signalling copper cable of size 24c x 1.5 sq.m....,MAS,Critical,TSB,139193.17,120.0,12474.9731,0.95,1.6449,40743.0
509000396559,48 Fibre OFC (Armoured) as per RDSO Spec no. RDSO/SPN/TC/110/2020 (Inspection by RDSO),MAS,Critical,TSB,60026.52,81.5,10694.2299,0.95,1.6449,28784.0
56501018,PVC INSULATED CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNSCREENED UNDERGROUND ARMOURED WITH GALVANISE....,MAS,Critical,Croston,62168.08,79.0,10596.6246,0.95,1.6449,28080.44
56509959,PVC INSULATING CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNDER GROUND UNSCREENED ARMOURED WITH GALVANI....,MAS,Critical,Croston,58378.1,124.0,8300.9517,0.95,1.6449,27558.88
561183521801,PVC Cable of unsheathed insulated annealed tinned copper conductor single core multi strands 16/0.2 ....,MAS,Critical,Croston,22001.95,111.0,6913.3802,0.95,1.6449,21715.74
561196180021,"CABLE JELLY FILLED UNDERGROUND TELECOM 6 QUAD, 0.9MM DIA RAILWAY SIGNAL AND TELECOM COPPER CONDUCTOR....",MAS,Critical,Croston,90614.1,108.0,6579.0623,0.95,1.6449,20384.43
539804752183,OFC cable 24 fibre armoured as per RDSO specification no. IRS:TC:55/2006 Rev 1 with amendment no.3 ....,MAS,Critical,TSB,18644.49,333.0,3136.8921,0.95,1.6449,17066.5
56119033,CABLE PVC INSULATED ARMOURED UNSCREENED RAILWAY SIGNALLING CABLE OF SIZE 19C x 1.5sqmm (REV 4.0) IRS....,MAS,Critical,TSB,20017.62,152.0,3730.2735,0.95,1.6449,13711.51
569003030023,FIRE ALARM FIRE SURVIVAL INTEGRITY CABLE 2C X 1.5 SQMM UNARMOURED AS PER RDSO/SPN/217/2018-VER 2.0,MAS,Critical,TSB,12876.09,367.0,1834.7351,0.95,1.6449,10479.23
56509960,"Cable PVC insulated, armoured, unscreened, underground  aluminium  power cable of size 2c x 25 sq.m....",MAS,Critical,TSB,16982.42,83.0,2681.7976,0.95,1.6449,7284.3
569003030035,FIRE ALARM FIRE SURVIVAL INTERGRITY CABLE 2CX1.5SQMM ARMORED AS PER RDSO/SPN/217/2018 VER -2  OR LAT....,MAS,Critical,SBA,9869.9,365.0,1050.2271,0.95,1.6449,5982.08
56507641,CHANNEL BOND PIN SINGLE GROOVE 7 mm DIA FOR 4 mm DIA BOND WIRE TO IRS-S-17-75 AND RDSO DRG NO.S.69m,MAS,Non-Critical,SES/Holt,52713.58,104.5,2949.5744,0.85,1.0364,5664.41
56509376,ARA TERMINAL BLOCK (SMALL) M6 PBT MAKE TO DRG  NO.SA.23741A/ALT-4 AND TO SPECN.IRS.S.75/91 (AMDT NO.....,MAS,Critical,Croston,29820.28,87.0,1955.1393,0.95,1.6449,5437.01
567912550075,FIRE ALARM RESETTABLE TYPE ANALOGUE LHS CABLE AS PER RDSO/SPN/217/2018-VER 2.0,MAS,Critical,TSB,3559.77,367.0,858.3931,0.95,1.6449,4902.78
539810830056,Trunking and Capping as per Drg no. Proj/SG/MS/55A/2006,MAS,Non-Critical,TSB,2040.32,179.0,1912.8084,0.85,1.0364,4807.67
539802804167,HDPE PIPE O.D 40MM I.D 33MM,MAS,Critical,TSB,13921.78,104.0,1502.9818,0.95,1.6449,4569.76
56119537,PVC INSULATED CABLE FOR RAILWAY SIGNALLING   HEAVY DUTY UNDER GROUND UNSCREENED ARMOUNED WITH GALVAN....,MAS,Critical,TSB,20117.2,67.5,1851.2114,0.95,1.6449,4534.51
401107494209,2C x 70 Sqmm XLPE Insulated PVC Sheathed Aluminium Cable,MAS,Non-Critical,SBA,51516.6,79.0,1844.874,0.85,1.0364,3080.47
623500980059,DWC Pipe [Inner Dia 103.5mm & Outer Dia-120mm] WITH COUPLER FOR EVERY 6 MTRS,MAS,Critical,TSB,2231.4,494.0,388.4613,0.95,1.6449,2574.15
539802804118,HDPE PIPE 110MM DIA 5.5 MM THICK,MAS,Non-Critical,TSB,3515.14,238.0,622.7961,0.85,1.0364,1804.98
