PL_Code,Description,Criticality_Class,Forecast_Annual,Lead_Time_Days,Current_Stock,ROP,Positive_Gap,SRRS,SRRS_Rank,Average_Rate_Rs,Reorder_Gap_Value_Rs,Value_Rank
56501006,PVC insulated armoured unscreened underground Railway signalling copper cable of size 24c x 1.5 sq.m....,Critical,139193.17,120.0,0.0,86473.82,86473.82,1729476.4,1,447.16,38667633.35,7
56509959,PVC INSULATING CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNDER GROUND UNSCREENED ARMOURED WITH GALVANI....,Critical,58378.1,124.0,0.0,47377.87,47377.87,947557.4,2,312.0,14781895.44,20
56501018,PVC INSULATED CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNSCREENED UNDERGROUND ARMOURED WITH GALVANISE....,Critical,62168.08,79.0,236.0,41526.79,41290.79,825815.8,3,600.89,24811222.8,10
561196180021,"CABLE JELLY FILLED UNDERGROUND TELECOM 6 QUAD, 0.9MM DIA RAILWAY SIGNAL AND TELECOM COPPER CONDUCTOR....",Critical,90614.1,108.0,5973.0,47177.92,41204.92,824098.4,4,420.0,17306066.4,17
509000396559,48 Fibre OFC (Armoured) as per RDSO Spec no. RDSO/SPN/TC/110/2020 (Inspection by RDSO),Critical,60026.52,81.5,3113.0,42178.01,39065.01,781300.2,5,126.32,4934692.06,53
539804752183,OFC cable 24 fibre armoured as per RDSO specification no. IRS:TC:55/2006 Rev 1 with amendment no.3 ....,Critical,18644.49,333.0,0.0,34064.76,34064.76,681295.2,6,129.74,4419561.96,62
561183521801,PVC Cable of unsheathed insulated annealed tinned copper conductor single core multi strands 16/0.2 ....,Critical,22001.95,111.0,7700.0,28402.16,20702.16,414043.2,7,8.0,165617.28,345
569003030035,FIRE ALARM FIRE SURVIVAL INTERGRITY CABLE 2CX1.5SQMM ARMORED AS PER RDSO/SPN/217/2018 VER -2  OR LAT....,Critical,9869.9,365.0,1883.0,15845.22,13962.22,279244.4,8,134.4,1876522.37,119
569003030023,FIRE ALARM FIRE SURVIVAL INTEGRITY CABLE 2C X 1.5 SQMM UNARMOURED AS PER RDSO/SPN/217/2018-VER 2.0,Critical,12876.09,367.0,11407.0,23417.01,12010.01,240200.2,9,66174.0,794750401.74,2
56509960,"Cable PVC insulated, armoured, unscreened, underground  aluminium  power cable of size 2c x 25 sq.m....",Critical,16982.42,83.0,0.0,11143.41,11143.41,222868.2,10,143.0,1593507.63,134
56119033,CABLE PVC INSULATED ARMOURED UNSCREENED RAILWAY SIGNALLING CABLE OF SIZE 19C x 1.5sqmm (REV 4.0) IRS....,Critical,20017.62,152.0,0.0,22041.91,22041.91,220419.1,11,428.72,9449807.66,35
567912550075,FIRE ALARM RESETTABLE TYPE ANALOGUE LHS CABLE AS PER RDSO/SPN/217/2018-VER 2.0,Critical,3559.77,367.0,0.0,8479.61,8479.61,169592.2,12,144641.7,1226505205.74,1
