PL_Code,Description,Mean_Monthly_Demand,Std_Deviation,CV,XYZ_Class
0150N90,"Supply of Stretcher Bar Insulation consisting of one insulation plate , two bushes & four washers of....",0.0,0.0,,N/A
0150N901,STEEL WIRE MS ORDINARY GALVENISED 4.0MMX8SWG TO IS 280 (SOFT) WITH COATING AS PER 4826/1979.SUITABLE....,0.0,0.0,,N/A
332104850037,Capillary Sampling Connector,0.0,0.0,,N/A
400600041170,2.5 sqmm 3 Core Power cable Copper,3.5714,23.1455,6.4807,Z
401107494209,2C x 70 Sqmm XLPE Insulated PVC Sheathed Aluminium Cable,753.1667,1844.874,2.4495,Z
402500150037,PVC Copper Cable 25 Sqmm Used for the DDTC 24 ALSTOM Make AFTC @ ABC Connection.,25.0,66.7891,2.6716,Z
405000010983,GI WIRE 8 SWG (4mm dia),191.25,408.2293,2.1345,Z
409002561998,Cable PVC Wire Coil 3/20 Copper,6.463,19.502,3.0175,Z
40981381,WIRE PVC COPPER 16/.2MM GREY,0.2222,0.9842,4.4287,Z
421100070120,150W LED Luminaire For Flood Light,1.1429,4.4334,3.8793,Z
423500060515,Laptop Intel core i7 15.6 Inch Display,0.0294,0.1715,5.831,Z
429079389199,"BRANDWAY 4 POLE GAZEBO TENT WITH POLE HEIGHT, 7 FEET",0.8889,3.4721,3.9061,Z
430200021416,Digital Multimeter make Rishi 18S,0.2407,0.7252,3.0122,Z
430200021910,Digital Multimeter make Rishabh Model 14S,0.08,0.4445,5.5558,Z
430200028538,True RMS Multimeter,3.5294,6.195,1.7552,Z
430600150050,Battery Analyzer,0.3333,0.8165,2.4495,Z
430800141263,FLUKE Single-point laser Class II Handheld Digital Infrared Thermometer,1.1538,2.9531,2.5594,Z
431002240078,Ultrasonic thickness Gauge with LCD Digital display along with all accessories,0.0667,0.2582,3.873,Z
431500022334,Split AC 2 Ton Capacity with Indoor and Outdoor unit.,0.7037,2.0905,2.9708,Z
432900164003,"Laptop i5 Processor, 14 inch Display with Battery and Adapter",0.0909,0.2919,3.2113,Z
45174416,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FROM 1.100 TO....,10.037,7.2371,0.721,Y
460151414110,Copper Lugs (Double Hole),0.5814,2.7188,4.6764,Z
461500560400,GI Flat of Size 550X25X3mm to connect all cable armours to earth,6.6667,11.547,1.7321,Z
462100771569,Copper tape of Size 25mm x 3mm,50.7647,153.1897,3.0176,Z
464214132778,Splice Plate,0.4,1.0556,2.639,Z
469033852322,Enameled Number Plates,7.3333,12.7017,1.7321,Z
469041991352,GI Flat of Size 1050X25X3mm to connect all cable armours to earth,13.3333,23.094,1.7321,Z
469062580055,RELEASED CATENARY WIRE 65 sqmm,15.1216,59.7592,3.9519,Z
469863050743,RODOMETER,1.0588,2.2768,2.1503,Z
470200493776,V Belt for LC GATE Motor,1.4583,4.3836,3.0059,Z
470501710375,UPS 1 KVA,0.0,0.0,,N/A
47200250,TRANSFORMERS 230/110V 1 KVA TO RDSO SPECIFICATION NO.RDSO/SPECN.262/1981 AND TO DRG NO 262/85 CONFOR....,0.8936,2.4604,2.7533,Z
500500680030,HALF SPLIT DWC PIPE,264.6415,889.8852,3.3626,Z
501000243442,CT BOX (FRP TYPE),0.8621,2.6823,3.1114,Z
501000263740,GI Pipe 50mm Dia 3.65mm Thick,53.6481,168.4468,3.1398,Z
501000423936,CAT 6 Cable consisting of each drum/box of 305 Meters,0.0714,0.4629,6.4807,Z
501300041401,"OFC patch cord 7 mtrs length (SC-LC,single mode, duplex)",0.303,1.7408,5.7446,Z
501400350020,Scanner EPSON V39,0.0,0.0,,N/A
50232319,MAGNETIC TELEPHONE WITH ELECTRO DYNAMIC TRANDUCERS CONFIRMING TO RDSO SPECN.NO.IRS-TC-36/97.(Amendme....,5.0566,6.4104,1.2677,Z
502355361120,"Fire Alarm Power supply for Aspiration (AIR Sampling) Type smoke detector Power supply  (24V DC, 5A)....",1.5,3.2404,2.1602,Z
502355561004,Digital Handheld Water Quality Meter / Analyzer Measuring TDS Meter,1.1053,4.9745,4.5007,Z
502355770020,Supply and installation of Signal post telephone with facility of paging and talk-back including voi....,5.6604,8.7353,1.5432,Z
502356050030,CABLE TERMINATION BOX (C.I),0.0,0.0,,N/A
503523410740,DIGITAL VOICE ANNOUNCIATION UNIT FOR LC GATE,2.525,6.954,2.7541,Z
503523410891,Friction Clutch Assembly for EOLB LC GATE PTJ MAKE,0.7353,2.7115,3.6876,Z
50540324,LOW MAINTENANCE LEAD ACID  STATIONARY SECONDARY CELLS  2V/80AH CAPACITY AT  10 HRS RATE OF DISCHARGE....,170.5741,170.586,1.0001,Z
50541523,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V /120 AH   TO SPECIFICATION.IRS:S-88/2004 or ....,29.2778,75.466,2.5776,Z
50550081,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V/ 200AH CAPACITY  AT 10 HRS. RATE OF DISCHARG....,75.963,94.5045,1.2441,Z
508500010799,"PVC warning tape colour orange, width 250 mm (10) by printing with black letters (Southern Railway S....",0.3417,0.653,1.9107,Z
508500690051,CABLE/PIPE FAULT AND MARKER LOCATOR,0.0556,0.2323,4.1816,Z
508501090018,LAN Tester,0.0303,0.1741,5.7446,Z
508502470029,CABLE / PIPE ROUTE LOCATOR,0.0312,0.1768,5.6569,Z
508503310060,Metravi Hand Held Digital Multimeter,0.0811,0.4932,6.0828,Z
508503570895,Earth Leakage Detector (12  channel) as per RDSO specification no. RDSO/SPN/256/2002 or latest,0.6471,1.3201,2.0401,Z
509000396559,48 Fibre OFC (Armoured) as per RDSO Spec no. RDSO/SPN/TC/110/2020 (Inspection by RDSO),4846.05,10694.2299,2.2068,Z
509000405457,Joint closure conforming to TEC Spec. and splicing of Optic Fibre Cable 48 Fibres,1.7,4.0536,2.3845,Z
509004730016,SHARP MULTIFUNCTION XEROX MACHINE MFM,0.0217,0.1474,6.7823,Z
509051280160,Intelligence Addressable Aspiration Type Smoke Detector,0.0312,0.1768,5.6569,Z
520504660025,SMALL SIZED VALVE REGULATED LEAD ACID (VRLA) BATTERY (SMF) 12V-84AH CAPACITY CONFIRMING TO JISC: 870....,2.375,9.9779,4.2012,Z
521100810024,E1 Converter (V.21 to E1-Converter) with necessary connected equipment,0.4074,1.2961,3.1814,Z
521102480039,232 - 485 Converter,0.7619,4.9377,6.4807,Z
521102480040,USB TO 485 converter,0.7619,4.9377,6.4807,Z
521104340026,External Modems for Auto hut Datalogger for networking of RTU as per RDSO specification no. IRS-S-99....,2.5357,4.9477,1.9512,Z
521501630045,MULTIFUNCTION XEROX MACHINE MFM,0.6667,1.1547,1.7321,Z
522002010024,FUSE ND 20 Amps,29.8039,77.7043,2.6072,Z
522002180021,TRANSFORMER 400/110V/1KVA as per RDSO Spec IRS.S.72/88 Ammendemnet 1 or latest,0.0196,0.14,7.1414,Z
522002180033,TRANSFORMER 400/110V/500VA,0.3137,1.7606,5.6118,Z
522004290085,FCOM(Part No. H001M115RI) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ve....,1.6667,3.5355,2.1213,Z
522004290103,MDP(Part No.H001M205R1) for MSDAC G39 M/s G.G. Tronics make as per RDSO Spec RDSO/SPN/176/2013 ver 3....,1.3333,2.3979,1.7984,Z
