PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
570149350046,VIDEO FACE RECOGNITION SOFTWARE FOR VIDEO FRS SERVER FOR VSS REACH2 WORK,68.0,10630644.0,776.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
502200630160,True color Indoor Video Display (IVD) with its mechanical structure of Pixel Resolution (W....,4.0,8800000.0,796.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
527905800227,True color Outdoor Video Display (OVD) of Pixel Resolution (WxH) 432x128 (6-line single fa....,2.0,6700000.0,796.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539812211311,"Double Faced Coach Guidance Display Boards (CGDB) FOR SS RAIL WORK AT PER,ABU,TRL STN",166.0,6299289.98,775.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539812211293,Double Faced Coach Guidance Display Boards as per RDSO Specification No. RDSO/SPN/TC/108/2....,156.0,6084000.0,815.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539812211323,Double Faced Coach Guidance Display Boards (CGDB) FOR SS RAIL WORK AT JTJ STN,143.0,5426496.79,774.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539811950379,Central Data Controller Unit (CDC) along with CDS conforming to system requirement,5.0,3750000.0,796.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
527905800240,True color Outdoor Video Display (OVD) of Pixel Resolution (WxH) 432x128 (6-line single fa....,1.0,3400000.0,793.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
527900510788,Single line Double face Train Arrival/Departure display board (TADDB) FOR SS RAIL WORK AT ....,13.0,2758688.4,775.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539802259141,4K UHD bullet type IP colour camera (TYPE A),74.0,2719366.0,856.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
529002520109,Double Faced Coach Guidance Display Boards (CGDB),52.0,2236000.0,796.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
527900045265,"Four Channel Digital Power Amplifier, 1200W@ 4 Ohms  Crown#NCDI4X12BL-U-EU",8.0,2200000.0,790.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
549900290300,Train information At a Glance Display Board (Double faced) with all accessories as per RDS....,8.0,2149440.0,815.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
528700380045,All-Weather Compact 2-Way Coaxial Loudspeaker with 6.5 LF JBL AWC62,30.0,1800000.0,780.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
570102028582,FULL HD FIXED DOME TYPE IP COLOUR CAMERA,74.0,1707588.04,789.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539821491369,Daisy chain junction box for running on OFC and Ethernet copper (DCJB) FOR SS RAIL WORK AT....,166.0,1277967.6,774.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539813330230,RMS SERVER WITH RMS SOFTWARE,5.0,1100000.0,796.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
549900290312,At a Glance Display Board (Double faced) with all accessories,4.0,940000.0,812.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
549900290350,At a Glance Display Board Double faced (AGDB) with all accessories FOR SS RAIL WORK AT JTJ....,3.0,806042.85,774.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539813330253,"RMS Server with RMS software FOR SS RAIL WORK AT PER,ABU,TRL STN",3.0,687267.96,775.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539811950422,Central Data Controller Unit (CDC) along with CDS conforming to system requirement FOR SS ....,1.0,473500.36,774.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539821491321,Daisy chain junction box for running on OFC and Ethernet copper,57.0,456000.0,796.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539802398700,"Platform display controller (PDC) FOR SS RAIL WORK AT PER,ABU,TRL STN",11.0,445359.64,775.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539813330228,RMS Server with RMS software,2.0,436000.0,812.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
549900290336,At a Glance Display Board Double faced (AGDB) with all accessories,1.0,325000.0,796.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
501800084863,Weather-resistant hemispherical boundary layer microphone AKG#2815Z00050,21.0,315000.0,790.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
501800242845,30 Watt Paging Horn Speaker Model no JBL CCS- H30,32.0,288000.0,792.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
570150950270,"8 Buttons Ethernet Controller and Volume Control, BSS#BSSEC8BV-BLK-MEU",5.0,250000.0,780.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539802398724,Platform display controller (PDC) FOR SS RAIL WORK AT JTJ STN,6.0,242923.44,774.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539813330289,RMS Server with RMS software FOR SS RAIL WORK AT JTJ STN,1.0,229089.32,774.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
529009640030,OFC Patch cards LC-SC connector 10 mtr length,170.0,170000.0,788.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
570150950256,"8 Buttons Ethernet Controller and Volume Control, BSS#BSSEC8BV-BLK-MEU",3.0,162000.0,791.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
570101362632,CONTROL  CARD TO SUIT FIVE LINE DISPLAY BOARDS,7.0,139924.4,1338.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
527901460094,MATRIX CARD RED LED TO SUIT CGDB,7.0,131747.0,1338.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
523000830072,Digital Signal Processor - I/O Expander BSS#BSSBLU-BIB-EU,1.0,90000.0,780.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
560604545763,DRILLING MACHINE 1323 MM B8D,3.0,63543.0,1056.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539866280037,Dynamic Paging microphone with desktop stand AKG Model 6000H51030,6.0,60000.0,791.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539800448130,"4 Inch , Rimless Ceiling Speaker JBL Model No CS-ICS04MR",45.0,56250.0,780.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539859090070,Heat and Smoke Sensor,8.0,52000.0,757.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539866280049,Dynamic Paging microphone with desktop stand AKG Model 6000H51030,5.0,50000.0,780.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
501802580020,Counter Communication System Ahuja CCS 2300,2.0,48000.0,781.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
501802180089,Counter communication system Ahuja CCS 2300,2.0,48000.0,792.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
569003010693,FAULT ISOLATOR DETECTOR BASE,8.0,44000.0,757.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
569027360023,HANDHELD DIGITAL INFRARED THERMOMETER FLUKE 59 MAX,5.0,41370.0,1114.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
502355441175,ELECTRONIC PUSH BUTTON TELEPHONE WITH CALLER ID AND SPEAKER,30.0,36000.0,781.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
560605006124,HANDHELD BRUSH CUTTER / LINE TRIMMER,4.0,32000.0,835.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
301001320132,ELECTRONIC PUSH BUTTON TELEPHONE WITH CALLER ID AND SPEAKER,35.0,31500.0,792.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
501803720020,BOOSTER TV,13.0,26000.0,1529.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
409005470025,FIBER RACEWAY,20.0,20000.0,1457.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
501000013450,CONTROL EQUIPMENT HQ,1.0,17995.0,1280.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
