PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
570149350083,Video Face Recognition Software (VFRS)(per camera basis) for Video FRS server as per RDSO ....,110.0,12980000.0,379.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
539804450166,FULL HD FIXED BULLET TYPE IP COLOUR CAMERA,475.0,10499238.98,653.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
570153210454,TV 55 LED UHD smart SONY FW-55BZ40L,68.0,9180000.0,682.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
520508600072,All-Weather Compact 2-Way Coaxial Loudspeaker with 8 LF JBL#AWC82,98.0,7840000.0,411.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
520508600175,"All-Weather Compact 2-Way Coaxial Loudspeaker with 8 LF JBL#AWC82 FOR SS RAIL WORK AT PER,....",104.0,6795202.96,424.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
570104060134,"TV 55 LED UHD smart Samsung FOR SS RAIL WORK AT PER,ABU,TRL STN",53.0,6625000.0,655.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
539800493572,"MS sheet box of 3mm thick to accommodate 55 inch LED TV, 12F FMS, 5/15A power socket termi....",263.0,6238514.64,198.0,Slow Moving,SSET/SRM/PER027029-S AND T-SR
509048210051,FULL HD PTZ TYPE IP COLOUR CAMERA,70.0,5366351.34,653.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
539811950460,Central Data Controller Unit (CDC) along with CDS conforming to system requirement as per....,12.0,5214630.23,207.0,Slow Moving,SSET/SRM/PER027029-S AND T-SR
527900510740,Single line Double face Train Arrival/Departure display board (TADDB),14.0,5040000.0,411.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
527905800320,"True color Outdoor Video Display (OVD) FOR SS RAIL WORK AT PER,ABU,TRL STN",2.0,4861466.66,682.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
539817170141,SCH B-19 External Storage System (CP-PLUS CP-UVS-G24R-J) for 30 days recording at station/....,920.0,4554000.0,204.0,Slow Moving,SSET/SRM/PER027029-S AND T-SR
520508600102,All-Weather Compact 2-Way Coaxial Loudspeaker with 8 LF JBL#AWC82 FOR SURYA ELECTRONICS IP....,56.0,3658955.44,545.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
570106480059,TV 55 LED UHD smart Samsung FOR SS RAIL WORK AT JTJ STN,25.0,3125000.0,649.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
539801396525,TV 55 Inch (24x7) Industrial grade Commercial Large format display Samsung LH55QHCEGCXXL F....,24.0,3000000.0,437.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
527900045289,"Four Channel Digital Power Amplifier, 1200W@ 4 Ohms  Crown#NCDI4X12BL-U-EU",11.0,2860000.0,411.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
527905800380,True color Outdoor Video Display (OVD) of Pixel Resolution (WxH) 432x128 (6-line single fa....,1.0,2430733.33,597.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
527905800355,True color Outdoor Video Display (OVD) of Pixel Resolution (WxH) 432x128 (6-line single fa....,1.0,2430733.33,649.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
501027960102,Video Management System  (VMS )and Video Recording software (per camera basis) for the ser....,1128.0,2422944.0,379.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
570153211239,Sch B-29 55 LED UHD smart TV industrial grade for (24X7)Working for FOB work by SRI SRINIV....,18.0,2016000.0,220.0,Slow Moving,SSET/SRM/PER027029-S AND T-SR
527900046506,"Four Channel Digital Power Amplifier, 1200W@ 4 Ohms  Crown#NCDI4X12BL-U-EU FOR SS RAIL WOR....",8.0,1964118.0,424.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
569024460109,"Polyolefin cable channel of size width 240/340 mm, height 155/230 mm for Redevelopment of ....",600.0,1921800.0,439.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
527905800318,"True color Indoor Video Display (IVD) FOR SS RAIL WORK AT PER,ABU,TRL STN",1.0,1840309.63,682.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
527905800422,True color Indoor Video Display (IVD) with its mechanical structure FOR R RAMA CHANDRA RED....,1.0,1840309.63,411.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
527905800343,True color Indoor Video Display (IVD) with its mechanical structure of Pixel Resolution (W....,1.0,1840309.63,649.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
527905800379,True color Indoor Video Display (IVD) FOR SURYA ELECTRONICS IPIS WORK AT GI & CGL STN,1.0,1840309.63,545.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
570146570047,15KVA on-line UPS (Single phase) floor mountable type with 1 hr back up time (min 24000VAH....,6.0,1833454.68,545.0,Very Slow Moving,SSET/SRM/PER027029-S AND T-SR
539830271851,Sch-A-03 Dual port E1 to Serial/  Ethernet Converter for e-TSR WORK BY TLN ENTERPRISES-EAS....,47.0,1786000.0,188.0,Slow Moving,SSET/SRM/PER027029-S AND T-SR
