PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
501800092290,MICROPHONE AHUJA AUD 100XLR,0.0,0.0,1559.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
527900042963,AMPLIFIER 500W AHUJA SSA 5000 EM,0.0,0.0,1559.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
570101948080,TELEVISION  42 INCH SAMSUNG VDU,0.0,0.0,1555.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
505600050154,TRANSMISSION MEASURING SET / TMS Kit,0.0,0.0,1542.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
569002650042,WIRELESS ROUTER DLINK DIR 615,0.0,0.0,1535.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
508501360022,DIGITAL EARTH TESTER,0.0,0.0,1529.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
501500320073,50 pair DP Box,0.0,0.0,1488.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
570101647559,INFORMATION KIOSK MAKE ADD SOFT TECHNALOGY WITH ACCESERIESE,0.0,0.0,1481.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
570116980028,THERMAL TRANSFER BAR CODE PRINTER,0.0,0.0,1481.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
522500060207,TV DISPLAY UNIT 32 INCH,0.0,0.0,1481.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539804531166,CABLE 20 PAIR UG PIJF,0.0,0.0,1472.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539802615050,12 U RACK,0.0,0.0,1469.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539845311045,E1 TO ETHERNET CONVERTER,0.0,0.0,1469.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
503526680029,Cord 8 way,0.0,0.0,1469.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
529002070025,CABLE 3 CORE,0.0,0.0,1469.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539804082610,CT BOX 20 PAIR,0.0,0.0,1459.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539801395296,TV SMART LED 49 INCH SONY MAKE,0.0,0.0,1439.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539846380026,Equipment Mounting Tray,0.0,0.0,1437.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
505600260124,DIGITAL EARTH TESTER,0.0,0.0,1422.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
396800140020,BATTERY 12V 42AH .,0.0,0.0,1413.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
509000286237,MEGAPHONE AHUJA MAKE AM 21SD,0.0,0.0,1403.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
549006531011,SURGE PROTECTION DEVICE CLASS B & C,0.0,0.0,1401.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
523000600066,"Digital Voice Recorder Model ICD-UX570F, Make - SONY",0.0,0.0,1401.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
520502200035,SMART PHONE SAMSUNG GALAXY M12,0.0,0.0,1399.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
750500051065,GREEN HOSE Pipe,0.0,0.0,1396.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
509000404404,OFC Jointing Kit,0.0,0.0,1396.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539814880108,FMS 12 FIBRE WALL MOUNTING,0.0,0.0,1396.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539813610020,KRONE TOOL,0.0,0.0,1390.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
570126210025,LAPTOP,0.0,0.0,1390.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539802648698,HARD DISK DRIVE INTERNAL 1 TB,0.0,0.0,1373.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539833270020,SMPS POWER SUPPLY ADAPTOR 12V 8 CHANNEL  FOR DVR-ANALOG CAMERA,0.0,0.0,1373.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
570100499988,DVR 16 CHANNEL  TVT MAKE TD-2116TS-CL,0.0,0.0,1373.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539800055337,CABLE 100 PAIR U/G PIJF,0.0,0.0,1349.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539802685427,BATTERY 1.5V SIZE D20 NIPPO MAKE,0.0,0.0,1348.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
570101362644,CONTROL CARD TO SUIT SINGLE LINE DISPLAY BOARDS,0.0,0.0,1338.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
521566280429,DUAL PORT PC-MDCH LINKER UNIT,0.0,0.0,1338.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539812220087,CONTROL CARD TO SUIT CGDB,0.0,0.0,1338.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
521566280430,MDCH/PDCH 8 PORT SERIAL COMMUNICATION CARD,0.0,0.0,1338.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
502200010089,MDCH/PDCH CONTROL CARD,0.0,0.0,1338.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539812211074,MATRIX CARD WHITE LED TO SUIT CGDB,0.0,0.0,1338.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539838030034,POWER MONITOR 230V AC ANNAIE MAKE,0.0,0.0,1338.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539815641067,SMPS BATTERY CHARGER 48 V 50 AMP (2+1) FOR VRLA BATTERY,0.0,0.0,1335.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
508500260020,DIGITAL EARTH TESTER,0.0,0.0,1332.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539802982203,DIGITAL MULTIMETER RISHABH 14S,0.0,0.0,1329.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539804978320,TV SMART LED 55 INCH LG MAKE,0.0,0.0,1328.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539883270038,12 FIBRE UNARMOURED AERIAL CABLE,0.0,0.0,1325.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
503524530030,4 WIRE DTMF WAY STATION  EQUIPMENTS WITH CONTROL TELEPHONE,0.0,0.0,1308.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
570108230022,UPS 1 KVA BPE MAKE,0.0,0.0,1280.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539863350041,SPECIAL EARTHING AND BONDING SYSTEM WITH ACCESSORIES,0.0,0.0,1271.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
539813300108,TENT  4M EXTENDABLE,0.0,0.0,1263.0,Dead Stock,SSET/SRM/PER027029-S AND T-SR
