ABC_Class,Criticality,Count,Inventory_Value,Inventory_Gap,Inventory_Investment_Required
A,S1,6,39307761.0,252856.81,173529463.21
A,S2,3,25200989.6,35102.72,174438633.29
A,S3,0,0.0,0.0,0.0
A,S4,0,0.0,0.0,0.0
B1,S1,3,8595082.37,72857.14,30010915.94
B1,S2,0,0.0,0.0,0.0
B1,S3,1,1552200.32,1841.39,9656118.51
B1,S4,0,0.0,0.0,0.0
B2,S1,1,1026954.0,669.14,4581206.88
B2,S2,2,2009393.68,1440.32,9194003.68
B2,S3,3,1146981.18,4619.56,14286336.52
B2,S4,0,0.0,0.0,0.0
C,S1,3,576999245.82,61543.73,6185227957.79
C,S2,9,1572972.67,115.9,1212964.12
C,S3,13,3554053.44,117575.82,1657246.15
C,S4,15,1109621.3,273898.14,2548877.05
