PL_Code,Description,Business_Unit,Strategic_Stock,Allocation_Source,Source_Depot_Column
56509376,A.R.A Terminal Block 25mm PBT small,MAS,10200.0,Depot_Column_Allocation,GSD/PER
56509388,A.R.A Terminal Block 60mm PBT,MAS,2800.0,Depot_Column_Allocation,GSD/PER
56500350,Battery charger 110V AC 24V DC 30A,MAS,21.0,Depot_Column_Allocation,GSD/PER
52156576/56500452,Battery charger 230V AC 110V DC 30A,MAS,7.0,Depot_Column_Allocation,GSD/PER
56509959,Cable 12 C x 1.5 Sq.mm,MAS,37770.0,Depot_Column_Allocation,GSD/PER
56501006,Cable 24 C x 1.5 Sq.mm,MAS,6491.0,Depot_Column_Allocation,GSD/PER
56119537,Cable 2 C x 2.5 sq.mm,MAS,41744.0,Depot_Column_Allocation,GSD/PER
56501018,Cable 30 C x 1.5 Sq.mm,MAS,13652.0,Depot_Column_Allocation,GSD/PER
50540324,Lead Acid Stationary Secondary Cells  - 2V/80 AH,MAS,655.0,Depot_Column_Allocation,GSD/PER
50541523,Lead Acid Stationary Secondary Cells  - 2V/120 AH,MAS,228.0,Depot_Column_Allocation,GSD/PER
50550081,Lead Acid Stationary Secondary Cells  - 2V/200 AH,MAS,945.0,Depot_Column_Allocation,GSD/PER
56507641,Channel Bond Pin,MAS,77365.0,Depot_Column_Allocation,GSD/PER
72081181/72207413,Drill Twist 7.2 mm,MAS,2528.0,Depot_Column_Allocation,GSD/PER
56502540,Fuse ND type  RDSO spn 78/92 6 Amps,MAS,3715.0,Depot_Column_Allocation,GSD/PER
56502606,Fuse ND type RDSO spn 78/92 10 Amps,MAS,3140.0,Depot_Column_Allocation,GSD/PER
56502576,Fuse ND type RDSO spn 78/92 16 Amps,MAS,3672.0,Depot_Column_Allocation,GSD/PER
54253561,Hand Plungerlock with key,MAS,2.0,Depot_Column_Allocation,GSD/PER
45174404/45174416,Hydro meter complete set,MAS,1192.0,Depot_Column_Allocation,GSD/PER
47200054/47200250,Transformer 230/110V  - 1 KVA,MAS,2.0,Depot_Column_Allocation,GSD/PER
50360693/50370110,4 wire way station control telephone RDSO/SPN IRS.TC.38/97 with latest amendment,MAS,506.0,Depot_Column_Allocation,GSD/PER
50353603,Portable 4 wire Emergency Control Telephone with six pin flat type socket,MAS,215.0,Depot_Column_Allocation,GSD/PER
50231832/50231881,Telephone Electronic Push Button,MAS,760.0,Depot_Column_Allocation,GSD/PER
50231959,Telephone Electronic Push Button   main - Extn .1+1,MAS,161.0,Depot_Column_Allocation,GSD/PER
50232356/50232319,Magneto telephone,MAS,241.0,Depot_Column_Allocation,GSD/PER
56468040,LED Green Aspect with accessories,MAS,472.0,Depot_Column_Allocation,GSD/PER
56468052,LED Yellow aspect with accessories,MAS,632.0,Depot_Column_Allocation,GSD/PER
56468039,LED Red aspect with accessories,MAS,943.0,Depot_Column_Allocation,GSD/PER
56451027,Relay AC  Immune Plug in  type style-QBCA1,MAS,36.0,Depot_Column_Allocation,GSD/PER
56450217,Relay AC Immune Plug in type style-QSPA1,MAS,294.0,Depot_Column_Allocation,GSD/PER
56450229,Relay AC Immune Plug in type style-QTA2,MAS,156.0,Depot_Column_Allocation,GSD/PER
50370080,4 Wire DTMP Way Station Equipment,MAS,216.0,Depot_Column_Allocation,GSD/PER
50210014,Emergency Socket Box,MAS,204.0,Depot_Column_Allocation,GSD/PER
56462050,AC Shunt Signal LED with in built current regulator,MAS,435.0,Depot_Column_Allocation,GSD/PER
56468064,Calling on LED Signal lightning unit 100 V AC,MAS,150.0,Depot_Column_Allocation,GSD/PER
56509960,Cable 2 C x 25 sq.mm,MAS,9.06,Depot_Column_Allocation,GSD/PER
56119033,Cable 19 C x 1.5 sq.mm,MAS,236.0,Depot_Column_Allocation,GSD/PER
56163034,Voltage stabilizer 3 KVA-230V.,MAS,17.0,Depot_Column_Allocation,GSD/PER
56468027,Route LED Signal lightning unit 100 V AC,MAS,319.0,Depot_Column_Allocation,GSD/PER
56987122/56110029,Cable 3 C x 10 sq.mm,MAS,3988.0,Depot_Column_Allocation,GSD/PER
91150401,SOLDER CORE RESIN FILLED (Kgs.),MAS,58.0,Depot_Column_Allocation,GSD/PER
41095066,PVC Insulation TAPE (Mtrs),MAS,4245.0,Depot_Column_Allocation,GSD/PER
