Location_ID,Facility_Type,Inventory_Value,Operational_ABC,Inventory_Action
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,30000.0,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,15000.0,C,Dispose
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,70000.0,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,178640.96,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,178640.96,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,178640.96,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,178640.96,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,178640.96,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,178640.96,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,178640.96,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,178640.96,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,178640.96,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,178640.96,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,178640.96,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,178640.96,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,178640.96,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,178640.96,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,178640.96,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,178640.96,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,2131264.74,A,Procure Immediately
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,2131264.74,A,Procure Immediately
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,2131264.74,A,Procure Immediately
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,2131264.74,A,Procure Immediately
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,2131264.74,A,Procure Immediately
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,2131264.74,A,Procure Immediately
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,2131264.74,B,Procure Immediately
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,2131264.74,B,Procure Immediately
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,2131264.74,B,Procure Immediately
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,1256987.43,A,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,1256987.43,A,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,1256987.43,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,1256987.43,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,858781.56,A,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,858781.56,A,Dispose
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,858781.56,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,858781.56,C,Dispose
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,11800.0,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,11800.0,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,11800.0,C,Retain
DEP-SSE-SRM-SIG-MDU087221-S-AND-T-SR,Depot,11800.0,C,Retain
