PL_Code,Description,Inventory_Domain,Business_Unit,Division,Equipment_Family,Source_Universe,ABC_Class,Criticality,Current_Stock,Unit_Cost,Inventory_Value,Depot,Snapshot_Date,Pipeline_Version
50540324,Lead Acid Stationary Secondary Cells  - 2V/80 AH,Railway_Operations,MDU,Madurai,Battery / Cell,Both,A,S2,4304.0,3449.6,14847078.4,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56501018,Cable 30 C x 1.5 Sq.mm,Railway_Operations,MDU,Madurai,Signal Cable,Both,A,S1,14152.0,581.11,8223868.72,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
50550081,Lead Acid Stationary Secondary Cells  - 2V/200 AH,Railway_Operations,MDU,Madurai,Battery / Cell,Both,A,S2,1532.0,6368.0,9755776.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56509959,Cable 12 C x 1.5 Sq.mm,Railway_Operations,MDU,Madurai,Signal Cable,Both,A,S1,38752.0,235.99,9145084.48,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56468039,LED Red aspect with accessories,Railway_Operations,MDU,Madurai,LED Signal,Both,A,S1,943.0,8897.2,8390059.6,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56468052,LED Yellow aspect with accessories,Railway_Operations,MDU,Madurai,LED Signal,Both,A,S1,632.0,8906.64,5628996.48,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56468040,LED Green Aspect with accessories,Railway_Operations,MDU,Madurai,LED Signal,Both,A,S1,472.0,10166.88,4798767.36,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
50232356/50232319,Magneto telephone,Railway_Operations,MAS,Chennai,Telephone,Strategic,A,S2,114.0,5246.8,598135.2,,2026-03-31,12.5.0
56501006,Cable 24 C x 1.5 Sq.mm,Railway_Operations,MDU,Madurai,Signal Cable,Both,A,S1,6942.0,449.58,3120984.36,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56119537,Cable 2 C x 2.5 sq.mm,Railway_Operations,MDU,Madurai,Signal Cable,Both,B1,S1,43539.0,96.63,4207173.57,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56450217,Relay AC Immune Plug in type style-QSPA1,Railway_Operations,MDU,Madurai,Relay,Both,B1,S3,296.0,5243.92,1552200.32,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56468027,Route LED Signal lightning unit 100 V AC,Railway_Operations,MDU,Madurai,LED Signal,Both,B1,S1,319.0,5967.2,1903536.8,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56462050,AC Shunt Signal LED with in built current regulator,Railway_Operations,MDU,Madurai,LED Signal,Both,B1,S1,435.0,5711.2,2484372.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
50541523,Lead Acid Stationary Secondary Cells  - 2V/120 AH,Railway_Operations,MDU,Madurai,Battery / Cell,Both,B2,S2,354.0,4497.92,1592263.68,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
56450229,Relay AC Immune Plug in type style-QTA2,Railway_Operations,MDU,Madurai,Relay,Both,B2,S3,156.0,2356.46,367607.76,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
52156576/56500452,Battery charger 230V AC 110V DC 30A,Railway_Operations,MAS,Chennai,Power Supply,Strategic,B2,S2,7.0,59590.0,417130.0,,2026-03-31,12.5.0
56468064,Calling on LED Signal lightning unit 100 V AC,Railway_Operations,MDU,Madurai,LED Signal,Both,B2,S1,150.0,6846.36,1026954.0,SSE/SRM/SIG/MDU087221-S AND T-SR,2026-03-31,12.5.0
