PL_Code,Description,Current_Stock,Unit,Unit_Cost,Inventory_Value,Last_Receipt_Date,Last_Issue_Date,Days_Since_Movement,Inventory_Aging_Class,Movement_Status,Inventory_Value_Band,Depot,Operational_ABC,Inventory_Domain,Business_Unit,Division,Snapshot_Date,Pipeline_Version
86010050,PORTABLE STORED PRESSURE ABC TYPE DRY CHEMICAL POWDER FIRE EXTINGUISHER OF 6 Kg. CAPACITY ....,0.0,Nos.,967.11,0.0,02-03-2026,04-03-2026,95,Monitor,Active,"< Rs 10,000",SSE/SRM/SIG/MDU087221-S AND T-SR,C,Railway_Operations,MDU,Madurai,2026-03-31,12.5.0
861600910011,ISOLATOR BASE DETECTOR BASE,0.0,Nos.,1500.0,0.0,10-10-2023,17-10-2023,964,Dead Stock,Dead Stock,"< Rs 10,000",SSE/SRM/SIG/MDU087221-S AND T-SR,C,Railway_Operations,MDU,Madurai,2026-03-31,12.5.0
861600970019,RELAY MODULE ADDRESSABLE RE -717 MR,0.0,Nos.,3700.0,0.0,27-01-2024,13-03-2026,86,Active,Active,"< Rs 10,000",SSE/SRM/SIG/MDU087221-S AND T-SR,C,Railway_Operations,MDU,Madurai,2026-03-31,12.5.0
861600990018,CONTROL MODULE ADDRESSABLE RE-717 MC,6.0,Nos.,5000.0,30000.0,27-01-2024,08-05-2026,30,Active,Active,"Rs 10,000 - 1 Lakh",SSE/SRM/SIG/MDU087221-S AND T-SR,C,Railway_Operations,MDU,Madurai,2026-03-31,12.5.0
861601000014,MONITOR MODULE ADDRESSABLE RE- 717 MM,5.0,Nos.,3000.0,15000.0,27-01-2024,,862,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",SSE/SRM/SIG/MDU087221-S AND T-SR,C,Railway_Operations,MDU,Madurai,2026-03-31,12.5.0
863500010164,Smoke cum heat sensor,20.0,Nos.,3500.0,70000.0,27-01-2024,02-02-2026,125,Monitor,Active,"Rs 10,000 - 1 Lakh",SSE/SRM/SIG/MDU087221-S AND T-SR,C,Railway_Operations,MDU,Madurai,2026-03-31,12.5.0
56509388,TERMINAL BLOCK   MADE OF PBT 60MM TO RDSO DRG NO:SA23745 (ALT-5)TO SPECN IRS : S-75/2006 A....,2276.0,Nos.,78.49,178640.96,13-03-2026,11-05-2026,27,Active,Active,Rs 1 Lakh - 10 Lakh,SSE/SRM/SIG/MDU087221-S AND T-SR,C,Railway_Operations,MDU,Madurai,2026-03-31,12.5.0
56509959,PVC INSULATING CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNDER GROUND UNSCREENED ARMOURED WI....,0.0,MTR,282.02,0.0,27-12-2025,29-04-2026,39,Active,Active,"< Rs 10,000",SSE/SRM/SIG/MDU087221-S AND T-SR,C,Railway_Operations,MDU,Madurai,2026-03-31,12.5.0
56509960,- CABLE PVC INSULATED ARMOURED UN SCREENED UNDER GROUND POWER CABLE OF SIZE 2C x 25sqmm AL....,13859.0,MTR,153.78,2131264.74,25-05-2026,25-05-2026,13,Active,Active,Rs 10 Lakh - 1 Crore,SSE/SRM/SIG/MDU087221-S AND T-SR,A,Railway_Operations,MDU,Madurai,2026-03-31,12.5.0
565099650010,A22. Remote Terminal Unit(RTU) with 64 digital input & 16 analog input as per technical sp....,0.0,Nos.,171927.66,0.0,07-05-2025,12-03-2026,87,Active,Active,"< Rs 10,000",SSE/SRM/SIG/MDU087221-S AND T-SR,C,Railway_Operations,MDU,Madurai,2026-03-31,12.5.0
