PL_Code,Description,Movement_Status,Inventory_Aging_Class,Inventory_Value,Operational_ABC,Source_Universe,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
86010050,PORTABLE STORED PRESSURE ABC TYPE DRY CHEMICAL POWDER FIRE EXTINGUISHER OF 6 Kg. CAPACITY ....,Active,Monitor,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
861600910011,ISOLATOR BASE DETECTOR BASE,Dead Stock,Dead Stock,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
861600970019,RELAY MODULE ADDRESSABLE RE -717 MR,Active,Active,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
861600990018,CONTROL MODULE ADDRESSABLE RE-717 MC,Active,Active,30000.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
861601000014,MONITOR MODULE ADDRESSABLE RE- 717 MM,Dead Stock,Dead Stock,15000.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
863500010164,Smoke cum heat sensor,Active,Monitor,70000.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56509388,TERMINAL BLOCK   MADE OF PBT 60MM TO RDSO DRG NO:SA23745 (ALT-5)TO SPECN IRS : S-75/2006 A....,Active,Active,178640.96,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56509388,TERMINAL BLOCK   MADE OF PBT 60MM TO RDSO DRG NO:SA23745 (ALT-5)TO SPECN IRS : S-75/2006 A....,Active,Active,178640.96,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56509388,TERMINAL BLOCK   MADE OF PBT 60MM TO RDSO DRG NO:SA23745 (ALT-5)TO SPECN IRS : S-75/2006 A....,Active,Active,178640.96,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56509388,TERMINAL BLOCK   MADE OF PBT 60MM TO RDSO DRG NO:SA23745 (ALT-5)TO SPECN IRS : S-75/2006 A....,Active,Active,178640.96,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56509959,PVC INSULATING CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNDER GROUND UNSCREENED ARMOURED WI....,Active,Active,0.0,C,Operational,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
