PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
539868290125,UFSBI BLOCK INSRTUMENT WITH OUT QN1 RELAYS,3.0,2606088.0,290,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
560200680012,Block Instruments?Single Line.-UFSBI,2.0,1737392.0,290,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
539825370019,A TYPE FOUNDATION,181.0,1066193.38,257,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
539821000015,ROD OF 18' LONG,141.0,472350.0,270,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
564601260017,PROCESSOR CARD SUITABLE FOR EFFTRONICS MAKE DATALOGGERS,10.0,472000.0,235,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
539812960010,RELAY QBA1,36.0,351936.0,206,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
539889060145,DSA/SCU (DISTRIBUTION SUPERVISIORY ALARM MODULE)for  IPS (HBL make ),8.0,316240.0,565,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
549008310046,DATA CONCENTRATOR  .,3.0,282285.0,268,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
567919880019,100-150V/1A DC DC CONVERTER MODULE SUITABLE FOR HBL MAKE IPS,10.0,246749.8,612,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
569900290040,INVERTER 3 KVA STATCON MAKE,2.0,240153.6,412,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
564601030024,Processor card SUITABLE FOR EFFTRONICS MAKE RTU,5.0,236000.0,465,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
567921850011,DISPLAY CARD SUITABLE  FOR EFFTRONICS MAKE DATALOGGERS,8.0,231940.8,453,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
567924140031,FIRE ALARM CONTROL PANEL SPARE CARD -TRUE SAFE,2.0,224000.0,398,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
50550081,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V/ 200AH CAPACITY  AT 10 HRS. RATE O....,39.0,222604.2,601,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
569008650234,COMMUNICATION CARD SUITABLE FOR EFFTRONICS MAKE DATALOGGER,8.0,210040.0,453,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
539873880014,GROUND LEVER FRAME ( SINGLE LEVER),13.0,195000.0,288,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
564601170016,MOTHER BOARD SUITABLE FOR EFFTRONICS MAKE DATALOGGERS,3.0,194700.0,453,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
564601010013,Supply of 64 Digital stack card SUITABLE FOR EFFTRONICS MAKE RTU,8.0,188800.0,572,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
539825810019,SCREW JOINT 33 MM (S.E),78.0,173004.0,258,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
569022500013,DUAL MODEM CARD FOR DATA LOGGER,5.0,159300.0,454,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
539818770012,RKT,17.0,149399.57,181,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
567919080027,Analog Scanner Card with controller Suitable for Efftronics make RTU,5.0,147500.0,720,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
567921570014,DISPLAY CARD FOR EFFTRONICS MAKE DATALOGGER RTU,5.0,144998.4,454,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
569002491493,DC DC CONVERTOR 24-40V/10A - STATCON MAKE,5.0,126791.0,211,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
569063240058,RISHABH 15S DIGITAL MULTIMETER,14.0,126074.62,225,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
539820850015,CRANK ADJUSTABLE 12 X 18,43.0,112550.84,258,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
539812820017,CLS 2 ASPECT,9.0,108108.0,220,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
569003530068,FIRE ALARM AUDIO VISUAL ALARM (HOOTER AND STROBE) WITH BACK BOX AS PER RDSO/SPN/217/2018 V....,8.0,107264.0,530,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
539890500054,Inverter Module 2 KVA SUITABLE FOR STATCON MAKE IPS,1.0,97232.0,564,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
539816690013,TRANSMITTER 2700 HZ (DIODO INSTRUMENT),5.0,96275.51,236,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
567918550012,DC-DC CONVERTER 12-40V / 1A FOR IPS AS PER RDSO SPEC:RDSO/SPN/165/2012 OR LATEST AMENDMENT....,4.0,81656.0,639,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
567919070022,64 DIGITAL STACK CARD SUITABLE FOR EFFTRONICS MAKE DATALOGGER,3.0,70800.0,334,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
567918580028,110 V / 20 A SMR MODULE SUITABLE FOR AMARA RAJA MAKE IPS,1.0,70800.0,334,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
50540324,LOW MAINTENANCE LEAD ACID  STATIONARY SECONDARY CELLS  2V/80AH CAPACITY AT  10 HRS RATE OF....,24.0,69787.2,606,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
564800310010,DC DC CONVERTER 12-28 V/1 A ( STATCON IPS),3.0,61242.0,706,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
564601270011,ANALOG SCANNER CARD WITH CONTROLLER SUITABLE FOR EFFTRONICS MAKE DATALOGGERS,2.0,59000.0,554,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
729503560027,Train shunt meter,9.0,56664.0,185,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
539818320018,RUBBER BEADING,1011.0,53624.45,487,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
725800130019,DIGITAL MULTIMETER,2.0,50278.35,234,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
56160100,Battery Charger 230V  AC /24V DC 40 amps. to RDSO Specn. No. IRS.S.86/2000 (Amndt.-4) or l....,1.0,50012.84,361,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
567919060016,Digital Interface Card Suitable for Efftronics make Datalogger.,3.0,47998.86,334,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
567919050011,Processor card suitable for Efftronics make,1.0,47200.0,673,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
567918940010,24-40V/5A DC-DC Conv Module Mini PMB Ver suitable for AMARA RAJA IPS.,2.0,44840.0,599,Very Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
54253561,KEY LOCK HAND PLUNGER TYPE COMPLETE WITH KEY LOCKS TOWARDS 1 TO 8 TO DRAWING SA 3149/M ALT....,6.0,41215.32,258,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
