PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
539801669177,SMPS based IPS for LC gate (Amara raja),13.0,14820000.0,31,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
560800130394,High availability Single Section Digital Axle counter [HASSDAC].CEL Make,5.5,5494502.06,152,Monitor,SSE/SRM/SIG/MDU087221-S AND T-SR
56119033,CABLE PVC INSULATED ARMOURED UNSCREENED RAILWAY SIGNALLING CABLE OF SIZE 19C x 1.5sqmm (RE....,11490.0,4552682.7,25,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
56501018,"UNDERGROUND RAILWAY SIGNALING CABLE, UNSCREENED, PVC INSULATED, PVC INNER SHEATHED, ARMOUR....",4661.0,3000611.97,25,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
539868290125,UFSBI BLOCK INSRTUMENT WITH OUT QN1 RELAYS,3.0,2606088.0,290,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
56501006,PVC INSULATED CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNDER GROUND UNCREENED ARMOURED WITH....,4211.0,2155926.73,31,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
56509960,- CABLE PVC INSULATED ARMOURED UN SCREENED UNDER GROUND POWER CABLE OF SIZE 2C x 25sqmm AL....,13859.0,2131264.74,13,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
560801100026,Electrical Point Machine IP-65 (143mm),20.0,2094080.0,180,Monitor,SSE/SRM/SIG/MDU087221-S AND T-SR
560200680012,Block Instruments?Single Line.-UFSBI,2.0,1737392.0,290,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
560404541531,DATALOGGER WITH 512 DIGITAL AND 64 ANALOG INPUTS,3.0,1719555.0,137,Monitor,SSE/SRM/SIG/MDU087221-S AND T-SR
542218841751,ELECTRICALLY OPERATED LIFTING BARRIER(EOLB) SET WITH CONTROL PANEL,3.5,1694427.0,8,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
56500464,APPARATUS CASE HALF GRS TYPE,42.0,1585888.12,2,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
539818770012,RKT,139.0,1574507.91,2,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
539824810012,CABLE 24C X 1.5 SQMM COPPER,2971.0,1509060.03,25,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
56450229,"RELAY AC IMMUNE PLUG IN TYPE STYLE QTA2 CONFORMING TO BRS - 939A,BRS.966 (APPENDIX F-21) &....",158.0,1434066.78,2,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
56450217,RELAYS -SPECIAL  TYPE- METAL TO  CARBON -QSPAI- CONFIRMATION SPECN. BRS.933A.,128.0,1315553.02,2,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
56508116,RELAY QN1 8F/8B PLUG IN TYPE,171.0,1307138.18,31,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
50540324,LOW MAINTENANCE LEAD ACID  STATIONARY SECONDARY CELLS  2V/80AH CAPACITY AT  10 HRS RATE OF....,378.0,1282993.61,30,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
565172840739,EXTERNAL MODEM FOR RTU,53.0,1256987.43,87,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
539822950013,GROUND CONNECTION FOR IRS POINT MACHINE (GALVANISED),54.0,1118312.89,32,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
539825370019,A TYPE FOUNDATION,181.0,1066193.38,257,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
50232319,MAGNETIC TELEPHONE WITH ELECTRO DYNAMIC TRANDUCERS CONFIRMING TO RDSO SPECN.NO.IRS-TC-36/9....,205.0,1045015.59,16,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
560604184353,EMERGENCY SLIDING BOOM COMPLETE SET,5.0,1013460.0,2,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
56500142,RELAY QNA1 ACI 8F/8B,120.0,987573.6,20,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
56468039,"RED aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatible w....",108.0,919419.66,31,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
232600122657,DC-DC Converter 24-40V/10A AMARA RAJA  Make,41.0,876645.6,60,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
567911510010,DIGITAL VOICE ANNOUNCING SYSTEM,89.0,858781.56,16,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
56451027,RELAY AC IMMUNE PLUG IN TYPE STYLE QBCA1  CONFORMING TO BRS - 943 IRS.S.34 & IRS.S.23 OR L....,80.0,829103.52,2,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
56501018,PVC INSULATED CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNSCREENED UNDERGROUND ARMOURED WITH....,1282.0,825313.14,165,Monitor,SSE/SRM/SIG/MDU087221-S AND T-SR
563046251317,GROUND CONNECTION ROD   220 mm 1 IN 12 (with out galvanised)),22.0,825308.0,1,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
56509960,CABLE PVC INSULATED ARMOUND UNSCREENED UNDERGROUND POWER CABLE OF SIZE 2C X 25 SQ.MM ALUMI....,4587.0,770386.65,13,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
56119033,CABLE PVC INSULATED ARMOURED UNSCREENED RAILWAY SIGNALLING CABLE OF SIZE 19C x 1.5sqmm (RE....,1.464,768600.0,71,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
563000200179,Point machine 143 mm stroke (IP 67 Type 400V AC IMMUNISED),8.0,759481.2,31,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
539823790017,EMERGENCY PANEL,2.0,730410.0,1866,Dead Stock,SSE/SRM/SIG/MDU087221-S AND T-SR
56468040,"GREENaspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatible ....",72.0,703753.99,52,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
569002491493,DC DC CONVERTOR 24-40V/10A - STATCON MAKE,31.0,662829.6,6,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
569065080010,EOLB Operating panel with relays,3.0,654813.0,101,Monitor,SSE/SRM/SIG/MDU087221-S AND T-SR
542218841969,ELECTRICALLY OPERATED LIFTING BARRIER(EOLB),3.0,630504.0,16,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
560403110032,Modem Card for HASSDAC,15.0,618695.46,17,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
563047180150,IRS POINT MACHINE 220MM STROKE WITH ACCESSORIES,6.0,605802.0,8,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
539820870014,DWC PIPE,1612.0,588686.28,122,Monitor,SSE/SRM/SIG/MDU087221-S AND T-SR
564601590017,DUAL E1 CONVERTER SUITABLE FOR EFFTRONICS MAKE DATALOGGERS,14.0,563125.5,171,Monitor,SSE/SRM/SIG/MDU087221-S AND T-SR
569000010311,Reset Box for HASSDAC,9.0,515070.0,20,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
50541523,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V /120 AH   TO SPECIFICATION.IRS:S-8....,114.0,472530.68,30,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
539821000015,ROD OF 18' LONG,141.0,472350.0,270,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
564601260017,PROCESSOR CARD SUITABLE FOR EFFTRONICS MAKE DATALOGGERS,10.0,472000.0,235,Slow Moving,SSE/SRM/SIG/MDU087221-S AND T-SR
539820810017,CABLE PVC 3C X 10 SQMM ALUMINIUM,3320.0,457927.6,36,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
569005440083,Aluminium Boom  for EOLBG - 9.76 Mtr,6.0,449838.0,172,Monitor,SSE/SRM/SIG/MDU087221-S AND T-SR
430200012506,ANALOG CARD WITHOUT CONTROLLER SUITABLE FOR EFFTRONICS MAKE DATALOGGER,18.0,436600.0,179,Monitor,SSE/SRM/SIG/MDU087221-S AND T-SR
56468052,"YELLOW aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatibl....",49.0,431021.93,31,Active,SSE/SRM/SIG/MDU087221-S AND T-SR
