PL_Code,Description,Inventory_Action,Normalized_Inventory_Value,Movement_Status,Source_Universe,Inventory_Value
185100110017,PVC PIPE 25MM DIA EACH 3METERS LENGTH,Rationalize,0.0,Slow Moving,Operational,0.0
185100110042,PVC PIPE 25MM DIA,Dispose,0.0,Dead Stock,Operational,0.0
232600122050,"DC-DC CONVERTER 24-32V/5A, SUITABLE FOR STATCON MAKE IPS.",Retain,0.0,Active,Operational,0.0
232600122657,DC-DC Converter 24-40V/10A AMARA RAJA  Make,Retain,876645.6,Active,Operational,876645.6
232900600251,FDC CARD FOR MSDAC GG TRONICS,Rationalize,0.0,Slow Moving,Operational,0.0
371572210567,EPOXY GEL,Rationalize,0.0,Slow Moving,Operational,0.0
40070013,CABLE PVC COPPER 3/.7MMBLAC,Dispose,0.0,Dead Stock,Operational,0.0
40070359,Wire coil 3/0 75 mm,Monitor,0.0,,Strategic,0.0
40070980,"PVC INSULATED,4CORE, 25 SQ.mm PVC SHEATHED, UNARMOURED FLEXIBLE COPPER CABLE (354/0.3mm) T....",Dispose,0.0,Dead Stock,Operational,0.0
40981381,Wire coil PVC 16/0.2 mm,Monitor,746.5,Slow Moving,Operational,746.5
41095066,PVC Insulation TAPE (Mtrs),Monitor,0.0,,Strategic,0.0
41097427,"ISI MARKED,GENERAL PURPOSETYPE,PRESSURS SENSITIVE ADHESIVE TAPES FOR ELECTRICAL PURPOSES(P....",Retain,10.51,Active,Operational,10.51
430200012506,ANALOG CARD WITHOUT CONTROLLER SUITABLE FOR EFFTRONICS MAKE DATALOGGER,Retain,436600.0,Active,Operational,436600.0
430200020060,Digital Clamp meter,Rationalize,7436.86,Slow Moving,Operational,7436.86
439007570011,Handheld Digital Infrared Thermometer Single-point laser Class II,Dispose,31161.0,Dead Stock,Operational,31161.0
439099346297,Analogue Addressable Multi Sensor Detector(FIRE ALARM-TRUE SAFE),Retain,0.0,Active,Operational,0.0
439099867157,STOP BOARD FOR EOLB,Retain,35838.0,Active,Operational,35838.0
439901180010,TORCH LIGHT 3 CELLS CAPACITY,Dispose,300.0,Dead Stock,Operational,300.0
45174404,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FR....,Dispose,0.0,Dead Stock,Operational,0.0
45174404/45174416,Hydro meter complete set,Monitor,74690.72,,Strategic,74690.72
45174416,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FRO....,Retain,7500.31,Active,Operational,7500.31
461302530013,U BOLT 3/4 DIA,Rationalize,1000.0,Slow Moving,Operational,1000.0
465200050733,Released Wooden Counter,Dispose,0.0,Dead Stock,Operational,0.0
466200231180,OPTO CONVERTER,Rationalize,0.0,Slow Moving,Operational,0.0
469000017286,SMPS BASED IPS FOR STATION WITHOUT BATTERY (MAKE: STATCON),Retain,0.0,Active,Operational,0.0
469031854042,FIT AND FORGET BOND WIRE 1 MTR.,Rationalize,0.0,Slow Moving,Operational,0.0
469031854212,FIT AND FORGET BOND WIRE 4 MTR,Rationalize,0.0,Slow Moving,Operational,0.0
469032181420,Digital Earth Resistance Tester,Rationalize,0.0,Slow Moving,Operational,0.0
469032400014,NUT DRIVER,Dispose,100.0,Dead Stock,Operational,100.0
469032821007,EMPTY BARREL   210 lit. CAP,Dispose,0.0,Dead Stock,Operational,0.0
469038447132,S W Pully,Dispose,550.0,Dead Stock,Operational,550.0
470200016135,Diesel Generator set 7.5 KVA Released,Retain,0.0,Active,Operational,0.0
470200530955,6KVA DG SET  RELEASED,Retain,0.0,Active,Operational,0.0
470202020040,Released Generator 15 KVA,Retain,0.0,Active,Operational,0.0
470500060191,INVERTER  1.5 KVA SUITABLE FOR STATCON MAKE,Dispose,0.0,Dead Stock,Operational,0.0
47200054,TRANSFORMERS 230/110V 1 KVA TO RDSO SPECIFICATION NO.RDSO/SPECN.262/1981 AND TO DRG NO 262....,Dispose,0.0,Dead Stock,Operational,0.0
47200054/47200250,Transformer 230/110V  - 1 KVA,Monitor,13095.64,,Strategic,13095.64
47200250,TRANSFORMERS 230/110V 1 KVA TO RDSO SPECIFICATION NO.RDSO/SPECN.262/1981 AND TO DRG NO 262....,Retain,7947.07,Active,Operational,7947.07
472100010972,Inverter 2 KVA (AMARARAJA IPS),Rationalize,0.0,Slow Moving,Operational,0.0
472100011976,MODULE INVERTER 1.5 KVA (HBL MAKE),Rationalize,0.0,Slow Moving,Operational,0.0
480800010041,BATTERY CHARGER MONITERING SYSTEM,Retain,0.0,Active,Operational,0.0
500500680030,HALF SPLIT DWC PIPE,Dispose,0.0,Dead Stock,Operational,0.0
501000133661,MCOM CARD FOR MSDAC.(G.G.TRONICS),Rationalize,0.0,Slow Moving,Operational,0.0
501000183603,12V 7AH BATTERY,Rationalize,739.0,Slow Moving,Operational,739.0
501000260269,GI pipe 100mm,Rationalize,0.0,Slow Moving,Operational,0.0
501000260269,GI pipe 100mm,Retain,373433.76,Active,Operational,373433.76
501000401345,KEY HOLDER BOX,Rationalize,0.0,Slow Moving,Operational,0.0
501026750021,Mother Board Card (Puncom),Rationalize,0.0,Slow Moving,Operational,0.0
50132453,Telephone card 3 Way 1.5m long,Monitor,0.0,,Strategic,0.0
50132600,Telephone card 3 Way 1.5m long,Monitor,0.0,,Strategic,0.0
501600010070,WARD SPRING FOR ETYPE LOCK,Rationalize,0.0,Slow Moving,Operational,0.0
50210014,Emergency Socket Box,Monitor,740695.44,,Strategic,740695.44
50231832/50231881,Telephone Electronic Push Button,Monitor,540504.9,,Strategic,540504.9
50231959,Telephone Electronic Push Button   main - Extn .1+1,Monitor,646750.0,,Strategic,646750.0
50232319,MAGNETIC TELEPHONE WITH ELECTRO DYNAMIC TRANDUCERS CONFIRMING TO RDSO SPECN.NO.IRS-TC-36/9....,Retain,1045015.59,Active,Operational,1045015.59
502323190434,Signal post Telephone,Retain,48972.52,Active,Operational,48972.52
50232356/50232319,Magneto telephone,Procure Immediately,598135.2,,Strategic,598135.2
50353603,Portable 4 wire Emergency Control Telephone with six pin flat type socket,Monitor,470112.0,,Strategic,470112.0
50360693/50370110,4 wire way station control telephone RDSO/SPN IRS.TC.38/97 with latest amendment,Monitor,817338.8,,Strategic,817338.8
50370080,4 Wire DTMP Way Station Equipment,Monitor,624456.0,,Strategic,624456.0
50540324,Lead Acid Stationary Secondary Cells  - 2V/80 AH,Procure Immediately,1282993.61,Active,Operational,1282993.61
50540324,Lead Acid Stationary Secondary Cells  - 2V/80 AH,Procure Immediately,69787.2,Slow Moving,Operational,69787.2
50541523,Lead Acid Stationary Secondary Cells  - 2V/120 AH,Procure Immediately,472530.68,Active,Operational,472530.68
50541523,Lead Acid Stationary Secondary Cells  - 2V/120 AH,Procure Immediately,4238.56,Slow Moving,Operational,4238.56
50550081,Lead Acid Stationary Secondary Cells  - 2V/200 AH,Procure Immediately,248176.16,Active,Operational,248176.16
50550081,Lead Acid Stationary Secondary Cells  - 2V/200 AH,Procure Immediately,222604.2,Slow Moving,Operational,222604.2
508002210171,Earth electrodes,Rationalize,0.0,Slow Moving,Operational,0.0
508502620064,INSULATION TESTER(ANALOG),Rationalize,0.0,Slow Moving,Operational,0.0
508503570044,Earth Leakage detector,Retain,110000.0,Active,Operational,110000.0
50901126,Lead Acid Batteries  - 4V/12 AH,Procure Immediately,0.0,,Strategic,0.0
521100070144,LAN EXTENDER,Rationalize,0.0,Slow Moving,Operational,0.0
521102910137,INTERFACE CARD CEL HASSDAC,Dispose,0.0,Dead Stock,Operational,0.0
52156576,BATTERY CHARGER 230V AC 110V DC 30 AMPS SPECN.No.IRS-S-86/2000 WITH AMENDMENT - 4. OR LATE....,Dispose,0.0,Dead Stock,Operational,0.0
52156576/56500452,Battery charger 230V AC 110V DC 30A,Procure Immediately,417130.0,,Strategic,417130.0
52156618,BATTERY CHARGER 230V AC / 24V DC 20 AMPS TO RDSO SPECN.IRS.S.86/2000 AMENDMENT NO.4 OR LAT....,Dispose,0.0,Dead Stock,Operational,0.0
52156618/56509935,Battery charger 230V  AC/24V DC-20A,Procure Immediately,0.0,,Strategic,0.0
522000420983,SMPS BASED IPS -SUKILA MAKE,Rationalize,0.0,Slow Moving,Operational,0.0
522004300029,VO-NVO CARD MSDAC (GG TRONICS),Rationalize,0.0,Slow Moving,Operational,0.0
539800829471,T NETWORKING for RTU,Dispose,258000.0,Dead Stock,Operational,258000.0
539801669177,SMPS based IPS for LC gate (Amara raja),Retain,14820000.0,Active,Operational,14820000.0
