PL_Code,Description,Criticality,Inventory_Status,Movement_Status,Inventory_Action,Inventory_Value,Source_Universe
185100110017,PVC PIPE 25MM DIA EACH 3METERS LENGTH,,,Slow Moving,Rationalize,0.0,Operational
185100110042,PVC PIPE 25MM DIA,,,Dead Stock,Dispose,0.0,Operational
232600122050,"DC-DC CONVERTER 24-32V/5A, SUITABLE FOR STATCON MAKE IPS.",,,Active,Retain,0.0,Operational
232600122657,DC-DC Converter 24-40V/10A AMARA RAJA  Make,,,Active,Retain,876645.6,Operational
232900600251,FDC CARD FOR MSDAC GG TRONICS,,,Slow Moving,Rationalize,0.0,Operational
371572210567,EPOXY GEL,,,Slow Moving,Rationalize,0.0,Operational
40070013,CABLE PVC COPPER 3/.7MMBLAC,,,Dead Stock,Dispose,0.0,Operational
40070359,Wire coil 3/0 75 mm,S4,Procurement Required,,Monitor,0.0,Strategic
40070980,"PVC INSULATED,4CORE, 25 SQ.mm PVC SHEATHED, UNARMOURED FLEXIBLE COPPER CABLE (354/0.3mm) T....",,,Dead Stock,Dispose,0.0,Operational
40981381,Wire coil PVC 16/0.2 mm,S3,Procurement Required,Slow Moving,Monitor,746.5,Operational
41095066,PVC Insulation TAPE (Mtrs),S4,Procurement Required,,Monitor,0.0,Strategic
41097427,"ISI MARKED,GENERAL PURPOSETYPE,PRESSURS SENSITIVE ADHESIVE TAPES FOR ELECTRICAL PURPOSES(P....",,,Active,Retain,10.51,Operational
430200012506,ANALOG CARD WITHOUT CONTROLLER SUITABLE FOR EFFTRONICS MAKE DATALOGGER,,,Active,Retain,436600.0,Operational
430200020060,Digital Clamp meter,,,Slow Moving,Rationalize,7436.86,Operational
439007570011,Handheld Digital Infrared Thermometer Single-point laser Class II,,,Dead Stock,Dispose,31161.0,Operational
439099346297,Analogue Addressable Multi Sensor Detector(FIRE ALARM-TRUE SAFE),,,Active,Retain,0.0,Operational
439099867157,STOP BOARD FOR EOLB,,,Active,Retain,35838.0,Operational
439901180010,TORCH LIGHT 3 CELLS CAPACITY,,,Dead Stock,Dispose,300.0,Operational
45174404,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FR....,,,Dead Stock,Dispose,0.0,Operational
45174404/45174416,Hydro meter complete set,S3,Procurement Required,,Monitor,74690.72,Strategic
45174416,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FRO....,,,Active,Retain,7500.31,Operational
461302530013,U BOLT 3/4 DIA,,,Slow Moving,Rationalize,1000.0,Operational
465200050733,Released Wooden Counter,,,Dead Stock,Dispose,0.0,Operational
466200231180,OPTO CONVERTER,,,Slow Moving,Rationalize,0.0,Operational
469000017286,SMPS BASED IPS FOR STATION WITHOUT BATTERY (MAKE: STATCON),,,Active,Retain,0.0,Operational
469031854042,FIT AND FORGET BOND WIRE 1 MTR.,,,Slow Moving,Rationalize,0.0,Operational
469031854212,FIT AND FORGET BOND WIRE 4 MTR,,,Slow Moving,Rationalize,0.0,Operational
469032181420,Digital Earth Resistance Tester,,,Slow Moving,Rationalize,0.0,Operational
469032400014,NUT DRIVER,,,Dead Stock,Dispose,100.0,Operational
469032821007,EMPTY BARREL   210 lit. CAP,,,Dead Stock,Dispose,0.0,Operational
469038447132,S W Pully,,,Dead Stock,Dispose,550.0,Operational
470200016135,Diesel Generator set 7.5 KVA Released,,,Active,Retain,0.0,Operational
470200530955,6KVA DG SET  RELEASED,,,Active,Retain,0.0,Operational
470202020040,Released Generator 15 KVA,,,Active,Retain,0.0,Operational
470500060191,INVERTER  1.5 KVA SUITABLE FOR STATCON MAKE,,,Dead Stock,Dispose,0.0,Operational
47200054,TRANSFORMERS 230/110V 1 KVA TO RDSO SPECIFICATION NO.RDSO/SPECN.262/1981 AND TO DRG NO 262....,,,Dead Stock,Dispose,0.0,Operational
47200054/47200250,Transformer 230/110V  - 1 KVA,S3,Procurement Required,,Monitor,13095.64,Strategic
47200250,TRANSFORMERS 230/110V 1 KVA TO RDSO SPECIFICATION NO.RDSO/SPECN.262/1981 AND TO DRG NO 262....,,,Active,Retain,7947.07,Operational
472100010972,Inverter 2 KVA (AMARARAJA IPS),,,Slow Moving,Rationalize,0.0,Operational
472100011976,MODULE INVERTER 1.5 KVA (HBL MAKE),,,Slow Moving,Rationalize,0.0,Operational
480800010041,BATTERY CHARGER MONITERING SYSTEM,,,Active,Retain,0.0,Operational
500500680030,HALF SPLIT DWC PIPE,,,Dead Stock,Dispose,0.0,Operational
501000133661,MCOM CARD FOR MSDAC.(G.G.TRONICS),,,Slow Moving,Rationalize,0.0,Operational
501000183603,12V 7AH BATTERY,,,Slow Moving,Rationalize,739.0,Operational
501000260269,GI pipe 100mm,,,Slow Moving,Rationalize,0.0,Operational
501000260269,GI pipe 100mm,,,Active,Retain,373433.76,Operational
501000401345,KEY HOLDER BOX,,,Slow Moving,Rationalize,0.0,Operational
501026750021,Mother Board Card (Puncom),,,Slow Moving,Rationalize,0.0,Operational
