Location_ID,Facility_Type,Inventory_Value,Operational_ABC,Inventory_Action
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,2400.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,5800.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,1000.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,750.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,3650.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,800.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,1200.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,500.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,10500.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,1200.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,1500.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,4500.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,6750.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,4500.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,9000.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,1000.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,1000.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,4000.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,20000.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,300.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,300.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,750.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,2250.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,1000.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,12700.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,3000.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,1000.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,23630.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,12980.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,12980.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,12980.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,12980.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,4000.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,945.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,5848.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,600.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,1500.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,2299.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,484.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,450.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,450.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,450.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,450.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,400.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,83.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,779.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,100.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,2500.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,300.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,300.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,1500.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,2000.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,700.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,2000.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,250.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,250.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,50.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,150.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,500.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,9000.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,1100.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,50.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,2000.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,900.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,600.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,600.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,3000.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,5500.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,400.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,3000.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,80.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,50.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,150.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,5500.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,800.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,190.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,5000.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,64445.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,202025.0,B,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,9000.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,120.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,100.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,637.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,204.1,C,Retain
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,1742.78,C,Retain
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,1656.9,C,Retain
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,487.6,C,Retain
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,724.22,C,Retain
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,1392.49,C,Retain
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,1614.1,C,Retain
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,272.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,181.76,C,Retain
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,70.0,C,Retain
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,118.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,3156.94,C,Retain
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,284.41,C,Retain
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-JE-SIG-SRM-PGT037254-S-AND-T-SR,Depot,0.0,C,Rationalize
