PL_Code,Description,Criticality,Criticality_Name,ABC_Class,Normalized_Inventory_Value,Forecast_2026_27,Inventory_Status,Source_Universe,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
50540324,Lead Acid Stationary Secondary Cells  - 2V/80 AH,S2,Operational Critical,A,14847078.4,7197.9,Procurement Required,Strategic,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56501018,Cable 30 C x 1.5 Sq.mm,S1,Safety Critical,A,8223868.72,28364.23,Procurement Required,Strategic,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
50550081,Lead Acid Stationary Secondary Cells  - 2V/200 AH,S2,Operational Critical,A,9755776.0,4135.36,Procurement Required,Strategic,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56509959,Cable 12 C x 1.5 Sq.mm,S1,Safety Critical,A,9145084.48,66258.84,Procurement Required,Strategic,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56468039,LED Red aspect with accessories,S1,Safety Critical,A,8390059.6,1556.04,Procurement Required,Strategic,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56468052,LED Yellow aspect with accessories,S1,Safety Critical,A,5628996.48,1500.82,Procurement Required,Strategic,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56468040,LED Green Aspect with accessories,S1,Safety Critical,A,4798767.36,1287.44,Procurement Required,Strategic,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
50232356/50232319,Magneto telephone,S2,Operational Critical,A,598135.2,1769.51,Procurement Required,Strategic,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56501006,Cable 24 C x 1.5 Sq.mm,S1,Safety Critical,A,3120984.36,38250.32,Procurement Required,Strategic,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
56119537,Cable 2 C x 2.5 sq.mm,S1,Safety Critical,B1,4207173.57,59866.54,Procurement Required,Strategic,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
