PL_Code,Description,Inventory_Action,Normalized_Inventory_Value,Movement_Status,Source_Universe,Inventory_Value,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
031431700058,STAINLESS STEEL WIRE ROPE (SIZE-4 MM),Retain,858900.0,Active,Operational,858900.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
230201270112,EMPTY CAN - 10 LTR,Dispose,120.0,Dead Stock,Operational,120.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
231057680062,Test link/Box for Lightning Arrester,Retain,3552.0,Active,Operational,3552.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
236400070013,Lead tablets of 10mm diameters for sealing,Retain,4073.61,Active,Operational,4073.61,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
237902930042,GI PIPE 50 MM DIA,Retain,46703.76,Active,Operational,46703.76,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
336800480025,120 AH VRLA battery conforming to RDSO specification No: IRS/S-93/96 (A) (Amd.1) or lates....,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
337300030133,"Transformer 230VAC/110V AC,3000 VA",Retain,25699.57,Active,Operational,25699.57,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
371572210520,EPOXY PAINT GLOSSY in  golden yellow colour (packing resin in 20 lrs MS Drums and Hardner....,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
396800560033,SMF LEAD ACID BATTERY 12V 42 AH,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
400200120017,Wire coil PVC 0.6 Sq.mm (HOOK UP WIRE),Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
400200120029,PVC Wire coil of size 16/0.2 Sqmm,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
400200120029,Wire coil PVC of size 16/0.2 Sqmm (100MTR LENGTH),Retain,230327.77,Active,Operational,230327.77,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
400580173311,FIRE ALARM 25MM RED COLOURED PVC PIPE,Rationalize,17723.44,Slow Moving,Operational,17723.44,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
400580175939,PVC CABLE 12C X 1.5 Sqmm,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
40070359,Wire coil 3/0 75 mm,Monitor,0.0,,Strategic,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
400785690017,PVC INSULATED CABLE 19C x 1.5 sq.mm,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
400900010440,CABLE 3 core X 10 Sq.mm Aluminium IN BITTS,Retain,28560.0,Active,Operational,28560.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
400900640010,PVC INSULATED CABLE  2C x 25 sq.mm,Rationalize,9536.0,Slow Moving,Operational,9536.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
400900650015,PVC INSULATED CABLE 30C x 1.5 sq.mm,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
401107470011,INDOOR CABLE 60 Core,Retain,11000.0,Active,Operational,11000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
401107473190,INDOOR CABLE 40 Core X 0.6 MM,Retain,780435.0,Active,Operational,780435.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
401107900017,PVC INSULATED CABLE 12C x 1.5 sq.mm,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
401107910011,PVC INSULATED CABLE 2C x 2.5 sq.mm,Rationalize,123500.0,Slow Moving,Operational,123500.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
403300190518,Wire Coil PVC MULTICORE 4 sq mm (100Mtr coil),Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
403600040101,Released Power Cable 2C X 25sqmm,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
404008910315,ROUTE INDICATOR JUNCTION TYPE 2 WAY NON METALIC TYPE,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
405000010454,GI Wire 8 SWG,Rationalize,502.67,Slow Moving,Operational,502.67,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
405000100017,CABLE MARKER  RCC TYPE,Retain,35866.11,Active,Operational,35866.11,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
40981381,Wire coil PVC 16/0.2 mm,Monitor,0.0,,Strategic,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
41095066,PVC Insulation TAPE (Mtrs),Retain,332.81,Active,Operational,332.81,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
419000010243,Insulation for Leading Stretcher Bar,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
419000010644,BACKING PLATES,Dispose,3500.0,Dead Stock,Operational,3500.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
419001810012,Point insulation ( Nylon -66) Complete set with RDSO spec IRS-S-40/84 or latest consist of....,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
420273832479,PUSH SWITCH,Retain,25111.82,Active,Operational,25111.82,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
420294190010,CHANGE OVER SWITCH ROTARY TYPE 60A,Rationalize,5000.0,Slow Moving,Operational,5000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
420415680054,DIGITAL HANDHELD TRUE AC/DC CLAMP MALTIMETER,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
420427680017,Track Feed Battery Charger,Rationalize,22154.5,Slow Moving,Operational,22154.5,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
420427940015,Contact Maker 4 Way,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
