PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
539823790017,EMERGENCY PANEL FOR ELECTRONIC INTERLOCKING,6.0,2191230.0,1801,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
543100040010,Foundation A type,98.0,495679.0,1604,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
569004630010,Earthing MS flat 35mm x 6mm,5676.0,454080.0,956,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
560606843510,IPS Spare Inverter 2KVA Modules as per RDSO specification RDSO/SPN/165/2012 or latest,4.0,447812.0,886,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
56985721,RELAY QB3 (PLUG TYPE RELAY 12 VOLTS DC4F),26.0,211120.0,1814,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
539830780010,DC-DC converterIP24VOP24-30/1AMP,16.0,192000.0,1076,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
56509935,BATTERY CHARGER 230V AC / 24V DC 20 AMPS for Axle counter application TO RDSO SPECN.IRS.S.....,2.0,153896.84,1727,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
555500100019,SCREW COUPLING SINGLE END,97.0,152775.0,1131,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
539832391173,IPS DC DC converter 24-40V/5A (spare) [ as per RDSO Spec no. RDSO/SPN/165/2012],6.0,135732.0,886,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
542400040030,Trestle 4 Way,96.0,134400.0,1803,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
569002490324,IPS Spare  DC DC CONVERTER 24-32 V /5 A  as per RDSO Spec No. RDSO/SPN/165/2012,6.0,134250.0,886,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
429084670016,Surge Voltage Protection Device (SVPD) for SSDAC CEL MAKE,4.0,125080.0,1807,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
565110000018,DATALOGGER DUAL E1 CONVERTOR CARD,4.0,113156.0,1709,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
860104640026,CPU CARD FOR FIRE ALARM SYSTEM,2.0,97308.0,804,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
553000020013,GROUND LEVER FRAME SINGLE,6.0,90000.0,1807,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
560603161473,SSDAC EF CARD FRAME WITH MOTHER BOARD  GGTRONICS MAKE,2.0,65000.0,1803,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
570106430019,Desk Top Computer with preloaded operating system,2.0,64445.0,1203,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
560609470017,SSDAC SF CARD with Mother board (GG TRONICS MAKE),2.0,60000.0,1803,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
560400020019,Event Logger Card for SSDAC (CEL),2.0,59062.0,1803,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
509041003659,Solar Panel 12V 35W,12.0,57744.0,1808,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
569004610011,Earthing Charcoal,1906.0,55274.0,956,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
539828810018,SSDAC Transmitter coil For CEL MAKE,5.0,53155.0,1807,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
560400030360,SSDAC Receiver  Coils for  CEL MAKE,5.0,53155.0,1807,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
569003010012,FIRE ALARM SOUNDER CUM STROBE 24V,4.0,40000.0,808,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
569002660011,DATALOGGER DUAL E1 EXTENDOR CYGNUS,1.0,35400.0,1812,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
569003010012,FIRE ALARM SOUNDER CUM STROBE Miscellaneous.,4.0,30000.0,1807,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
560400020056,SSDAC SCC2 Card (CEL make),1.0,25000.0,1803,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
560400020044,SSDAC SCC1 Card (CEL make),1.0,25000.0,1803,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
570102270010,Printer Deskjet/Inkjet(Epson),2.0,23630.0,1178,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
560600093419,Tag block 200 ways.,124.0,21204.0,1597,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
560400251492,SSDAC Communication card 1 (GGTronics ),1.0,20881.0,1803,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
657901430017,IRON RACK 3TIER 6' X 6',10.0,20000.0,1804,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
569003260016,POINT ROD 1 1/4 DIA 18' (FEET LENGTH),25.0,20000.0,1803,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
567900413114,Relay QNN1 6F/2B,2.0,19000.0,1115,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
543100020011,SURFACE BASE 140 MM DIA,16.0,17318.18,745,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
553000260012,HP LOCK DOUBLE.,3.0,16504.5,1173,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
560603950017,POINT RODING 18 FEET LENGTH,19.0,15200.0,1805,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
567911900017,EXTERNAL LEASED LINE MODEM WITH T NETWORKING Electrical Signalling equipments and spares n....,1.0,15000.0,1803,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
543100040010,Foundation A type,3.0,13032.0,1807,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
539871380026,Rodent Repellent Electronic,2.0,12980.0,1356,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
569005070012,Fire alarm Monitor Module,2.0,12400.0,808,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
564680690014,CLS unit 4 Aspect,1.0,12000.0,1504,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
509000501938,DATALOGGER External Modem For T networking,1.0,11991.0,1812,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
749000120118,LOCK PAD IRON -35 mm,49.0,11858.0,1814,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
789024500018,IRON RACK SKELETON TYPE 10'X6',3.0,10500.0,1804,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
561800030106,SM'S Control 4 SLIDE with locking,4.0,10000.0,1803,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
569004600017,Earthing Salt,1631.0,9786.0,956,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
469028950015,SCREW DRIVER 300mm,13.0,9100.0,1427,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
909001320014,SHEET IRON BATTERY BOX( CUP BOARD),12.0,9000.0,1804,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
430200020035,Digital Multimeter make Rishi,1.0,9000.0,1819,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
