PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
567900828144,MINI IPS(INTEGRATED POWER SUPPLY) MAKE:-  STATCON,4.0,3598959.88,268,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
560609800352,"VDU 75"" Monitor(2 No)with 4K resolution ,Embedded PC (2Nos),Power supply arrangements(NS-....",1.0,2530000.0,342,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
539829680120,SPARE for IPS SMR Module of rating 110V 20A As per Spec No. RDSO/SPN/165/2012 (VER 3.0),22.0,1943543.23,261,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
56160100,Battery Charger 230V  AC /24V DC 40 amps. to RDSO Specn. No. IRS.S.86/2000 (Amndt.-4) or l....,18.0,900234.0,246,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
569002490889,DC DC CONVERTOR 24/40/10A-STATCON,28.0,615955.54,265,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
569800010032,DC-DC CONVERTER 24-40V/ 10A As per specification RDSO/SPN/165/2012(VER3.0)-AMARARAJA,23.0,542354.58,337,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
539809991428,Rail insulation 60 Kg,760.0,496827.2,356,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
560604104450,TRANSFORMER RECTIFIER 110V-24VDC- 5 Amps,17.0,450146.4,187,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
560403082796,DC -DC CONVERTOR 24/40/10A-HBL,17.0,425540.94,204,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
567925630017,Capacity Enhancement of existing HBL make IPS with additional modules to cater additional ....,1.0,381867.2,528,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
539812900013,LED SIGNAL RED ASPECT FOR ROAD WARNING,40.0,348167.04,197,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
56110029,PVC INSULATED ARMOURED UNSCREENED UNDERGROUND POWER CABLE 3 C X 10 SQ.MM,2021.0,238760.94,558,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
570132251492,All in One PC,2.0,202025.0,418,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
549801611618,BATTERY CHARGER 230V AC /110VDC/ 30Amp,3.0,180540.0,246,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
565094801071,RTU (Remote Terminal Unit)  32 DIGITAL AND 8 ANLOG,1.0,172500.0,452,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
401107910011,PVC INSULATED CABLE 2C x 2.5 sq.mm,950.0,123500.0,503,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
56500452,BATTERY CHARGER 230V AC 110V DC 30 AMPS SPECN.No.IRS-S-86/2000 WITH AMENDMENT - 4. OR LATE....,2.0,122906.7,366,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
500108770028,12V 65AH VRLA Battery. (Released),20.0,119680.0,227,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
567900419580,Relay QNN1 6F-2B,20.0,110490.4,354,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
569003030011,FIRE ALARM CABLE 2 X 1.5 SQMM UNARMOURED,602.0,105952.0,657,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
549007470017,Goods Warning Board,10.0,100900.0,214,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
563000200180,Point machine 143 mm stroke ( 400V AC IMMUNISED),1.0,94791.67,255,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
567900801023,LIGHTNING AND SURGE PROTECTION DEVICE,3.0,93810.0,246,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
539883710178,RELAY RACK,4.0,91520.0,268,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
539831510026,DC-DC convertor 24v/48v /5A,5.0,88535.0,457,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
569003030552,FIRE ALARM CABLE 2 X 1.5 SQMM UNARMOURED Cable,489.0,86064.0,388,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
539888230936,Relay QN1 (50V) 12F/4B,20.0,81580.0,297,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
539820850015,CRANK ADJUSTABLE 12 X 18,40.0,81018.0,575,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
567911630014,VOLTAGE STABILISER 3KVA FOR Electrical Signalling equipment.,2.0,70000.0,251,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
564681680284,LED Route Signal,8.0,69184.0,208,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
539828630016,A SET OF 52KG.INSULATION RAIL JOINT UIC FOUR CHANNEL TYPE (TPU MOULDED) CONSISTING OF: i.C....,109.0,67035.0,246,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
563045820018,"Insulation Set D Bracket for  IRS Point machine ( 1 RH Plate, 1 LH Plate, Bush-S-23199-04 ....",831.0,49826.76,289,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
569003540013,FIRE ALARM HEAT AND SMOKE MULTI SENSOR,15.0,46128.45,458,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
563045820018,"Insulation D Bracket Set for IRS Point machine ( 1 RH Plate, 1 LH Plate, Bush-S-23199-04 ....",216.0,45480.1,291,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
543500020087,CLS OFF SET BRACKET  90MM,28.0,41636.0,198,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
569003590016,FIRE ALARM CABLE 2X1.5 SQMM ARMOURED,222.0,36630.0,414,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
569003600010,FIRE ALARM 25MM RED COLOURED PVC PIPE,1051.0,36406.64,657,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
564700010027,"Shunt signal,Base and  Post",11.0,35234.0,657,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
564680670945,CLS Unit 2 Aspect,4.0,34762.75,319,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
567900809319,SURGE PROTECTION DEVICE CLASS C,12.0,32558.51,246,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
561301001009,Filter Unit for Block Instrument,2.0,30680.0,186,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
556200010164,Trestle 2 way,23.0,27600.0,558,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
567900100010,Relay QBA1 8F 6B,4.0,26000.0,185,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
560401680040,HASSDAC TRANSMITTER COIL 25 KHZ,1.0,22868.4,429,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
420427680017,Track Feed Battery Charger,2.0,22154.5,327,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
839096164279,STOP BOARD,4.0,21104.0,246,Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
400580173311,FIRE ALARM 25MM RED COLOURED PVC PIPE,545.0,17723.44,582,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
541500150015,Detection Roller for IRS Point Machine,63.0,15750.0,593,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
542100010079,Crank Ordinary  12 X 12,8.0,13891.6,575,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
539852820041,SPRING FOR KEY LOCK E type,770.0,13629.0,470,Very Slow Moving,JE/SIG/SRM/PGT037254-S AND T-SR
