PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
71050802,"Brushes wire (steel), foundry, flat with wooden handle stamped IR on the handle to IS:4301....",0.0,0.0,1824,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
83054110,"ENVOLOPE SMALL  (ENVELOPES MADE OF BROWN WRAPPER DOUBLE IMPERIAL, RIBBED KRAFT TO SIZE 26....",0.0,0.0,1823,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
77093306,PAINT ALUMINIUM FOR GENERAL PURPOSE IN DUAL CONTAINER TO IS:2339/1963 (reaffirmed 2009) Am....,0.0,0.0,1822,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
77033000,"PAINT ENAMEL, SYNTHETIC, EXTERIOR, FINISHING 'SIGNAL RED' TO ISC-537 OF IS.5\2007'.  SPECI....",0.0,0.0,1822,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
77032007,"ENAMEL, SYNTHETIC, EXTERIOR, FINISHING, 'BLACK'.  SPECIFICATION:  IS:8662\04 & ICF\MD\SPEC....",0.0,0.0,1822,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
539816660010,ELETROLYTIC CAPACITOR 5000 MFD,0.0,0.0,1807,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
560403620010,SSDAC Transmitter(TX) Coil GGTRONICS,0.0,0.0,1807,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
55630212,WIRE 8 SWG (GI),0.0,0.0,1807,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
560403031338,SSDAC RX COIL 21-25KHZ FOR GG Tronics,0.0,0.0,1807,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
569003570017,FIRE ALARM UV/IR FLAME DETECTOR,0.0,0.0,1802,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
569003550018,FIRE ALARM PROBE TYPE BIMETALIC RESETTABLE TYPE HEAT DETECTOR,0.0,0.0,1802,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
464212020791,RELAY QL1-8F/6B,0.0,0.0,1760,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
560603041807,LED RED MAIN ASPECT,0.0,0.0,1756,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
569004270017,"DATA LOGGER FAULT ANALYSIS TERMINAL (ASUS Vivo,21.5 FHD, All-in-One Desktop)",0.0,0.0,1756,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
567911890012,RTU POWER SUPPLY SET 24V Electrical Signalling equipments and spares not otherwise classif....,0.0,0.0,1737,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
565010000010,DATALOGGER 2048 DIGI I/P 32 A I/P,0.0,0.0,1734,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
565110000018,FIRE ALARM ADDRESSABLE PANEL WITH TCP IP MODULE,0.0,0.0,1726,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
569003530019,FIRE ALARM GSM INTERFACE MODULE FOR INTERFACING CONTROL PANEL,0.0,0.0,1725,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
542100010067,Vertical Crank 300x300mm,0.0,0.0,1723,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
45147012,"catenary wire (19/2.10 mm), 65 Sq.mm.",0.0,0.0,1718,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
420893040014,Fuse ND 1 amps,0.0,0.0,1717,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
539811550018,ROAD WARNING   FRP Type 3 Aspect FOR DIGITAL VOICE ANOUNCIATING SYSTEM,0.0,0.0,1714,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
549005930013,TOP ROLLER FOR ROLLER SEGMENT ARRRANGEMENT,0.0,0.0,1711,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
565172840041,Data Logger With 512 Digital Input,0.0,0.0,1711,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
556200010097,Released Bottom Roller,0.0,0.0,1711,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
539805240015,B21. Data logger of 1024 digital and 32 analog input.,0.0,0.0,1709,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
569003720015,DATALOGGER PRINTER,0.0,0.0,1709,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
567912550014,Fire Alarm Analogue controller for LHS cable (LHS Panel),0.0,0.0,1691,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
559000750010,JOINT SOLID FOR RODDING Miscellaneous.,0.0,0.0,1682,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
77091310,"PAINT READY MIXED RED OXIDE (ISC 446) BRUSHING, FINISHING, GLOSSY FOR GENERAL PURPOSES TO ....",0.0,0.0,1679,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
77033255,"ENAMEL, SYNTHETIC,  EXTERIOR, FINISHING 'WHITE' .  SPECIFICATION: - IS.8662/04 & ICF/MD/SP....",0.0,0.0,1679,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
561301620019,TL BLOCK INSTRUMENT WITH Q SERIES RELAYS,0.0,0.0,1678,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
560604545740,ELECTRIC TRACK DRILLING MACHINE 110V/50HZ WITH STAND,0.0,0.0,1667,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
559000680018,CONTACT MAKER FOR BLOCK INSTRUMENT,0.0,0.0,1661,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
560400031170,SSDAC ELDYNE Make Rail contact TX1 & TX2,0.0,0.0,1653,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
603224571002,CRANK HANDLE GUIDE PLATE,0.0,0.0,1649,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
539804080016,CT Box 20 Pair,0.0,0.0,1641,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
569003540037,FIRE ALARM  NS-7 (IBS Work),0.0,0.0,1641,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
570101041396,UPS - 600 VA,0.0,0.0,1637,Dead Stock,JE/SIG/SRM/PGT037254-S AND T-SR
