PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Depot
539823790017,EMERGENCY PANEL FOR ELECTRONIC INTERLOCKING,6.0,2191230.0,1801,JE/SIG/SRM/PGT037254-S AND T-SR
543100040010,Foundation A type,98.0,495679.0,1604,JE/SIG/SRM/PGT037254-S AND T-SR
569004630010,Earthing MS flat 35mm x 6mm,5676.0,454080.0,956,JE/SIG/SRM/PGT037254-S AND T-SR
560606843510,IPS Spare Inverter 2KVA Modules as per RDSO specification RDSO/SPN/165/2012 or latest,4.0,447812.0,886,JE/SIG/SRM/PGT037254-S AND T-SR
56985721,RELAY QB3 (PLUG TYPE RELAY 12 VOLTS DC4F),26.0,211120.0,1814,JE/SIG/SRM/PGT037254-S AND T-SR
539830780010,DC-DC converterIP24VOP24-30/1AMP,16.0,192000.0,1076,JE/SIG/SRM/PGT037254-S AND T-SR
56509935,BATTERY CHARGER 230V AC / 24V DC 20 AMPS for Axle counter application TO RDSO SPECN.IRS.S.....,2.0,153896.84,1727,JE/SIG/SRM/PGT037254-S AND T-SR
555500100019,SCREW COUPLING SINGLE END,97.0,152775.0,1131,JE/SIG/SRM/PGT037254-S AND T-SR
539832391173,IPS DC DC converter 24-40V/5A (spare) [ as per RDSO Spec no. RDSO/SPN/165/2012],6.0,135732.0,886,JE/SIG/SRM/PGT037254-S AND T-SR
542400040030,Trestle 4 Way,96.0,134400.0,1803,JE/SIG/SRM/PGT037254-S AND T-SR
569002490324,IPS Spare  DC DC CONVERTER 24-32 V /5 A  as per RDSO Spec No. RDSO/SPN/165/2012,6.0,134250.0,886,JE/SIG/SRM/PGT037254-S AND T-SR
429084670016,Surge Voltage Protection Device (SVPD) for SSDAC CEL MAKE,4.0,125080.0,1807,JE/SIG/SRM/PGT037254-S AND T-SR
565110000018,DATALOGGER DUAL E1 CONVERTOR CARD,4.0,113156.0,1709,JE/SIG/SRM/PGT037254-S AND T-SR
860104640026,CPU CARD FOR FIRE ALARM SYSTEM,2.0,97308.0,804,JE/SIG/SRM/PGT037254-S AND T-SR
