PL_Code,Description,Current_Stock,Unit,Unit_Cost,Inventory_Value,Last_Receipt_Date,Last_Issue_Date,Days_Since_Movement,Inventory_Aging_Class,Movement_Status,Inventory_Value_Band,Depot,Operational_ABC
781508540015,CHAIR FOR DATALOGGER,2.0,Nos.,1200.0,2400.0,07-06-2021,,1826,Dead Stock,Dead Stock,"< Rs 10,000",JE/SIG/SRM/PGT037254-S AND T-SR,C
781508550010,CHAIR TUBULAR ARM WITH NYLON SEAT,9.0,Nos.,644.44,5800.0,18-05-2022,,1481,Dead Stock,Dead Stock,"< Rs 10,000",JE/SIG/SRM/PGT037254-S AND T-SR,C
783000281273,Rack wooden FOR BOOKS,2.0,Nos.,500.0,1000.0,03-06-2025,,369,Very Slow Moving,Slow Moving,"< Rs 10,000",JE/SIG/SRM/PGT037254-S AND T-SR,C
783000631338,TABLE WOODEN WITH  FOUR DRAWER,1.0,Nos.,750.0,750.0,29-06-2021,,1804,Dead Stock,Dead Stock,"< Rs 10,000",JE/SIG/SRM/PGT037254-S AND T-SR,C
783000631727,TABLE WOODEN TW,11.0,Nos.,331.82,3650.0,21-05-2022,,1478,Dead Stock,Dead Stock,"< Rs 10,000",JE/SIG/SRM/PGT037254-S AND T-SR,C
783004240010,TRAY DEAL WOOD,4.0,Nos.,200.0,800.0,30-06-2021,,1803,Dead Stock,Dead Stock,"< Rs 10,000",JE/SIG/SRM/PGT037254-S AND T-SR,C
783100277395,TABLE TUBULAR STEEL,2.0,Nos.,600.0,1200.0,18-05-2022,21-05-2022,1478,Dead Stock,Dead Stock,"< Rs 10,000",JE/SIG/SRM/PGT037254-S AND T-SR,C
787902510010,GLASS FRONTED BOX FOR KEYS,1.0,Nos.,500.0,500.0,07-06-2021,,1826,Dead Stock,Dead Stock,"< Rs 10,000",JE/SIG/SRM/PGT037254-S AND T-SR,C
789024500018,IRON RACK SKELETON TYPE 10'X6',3.0,Nos.,3500.0,10500.0,29-06-2021,,1804,Dead Stock,Dead Stock,"Rs 10,000 - 1 Lakh",JE/SIG/SRM/PGT037254-S AND T-SR,C
869022810017,CUP BOARD  EMPTY AXLE COUNTER  EVALUATER RACK,3.0,Nos.,400.0,1200.0,07-06-2021,,1826,Dead Stock,Dead Stock,"< Rs 10,000",JE/SIG/SRM/PGT037254-S AND T-SR,C
