PL_Code,Description,Criticality,ABC_Class,Forecast_2026_27,Current_Stock,ROP,Inventory_Gap,Normalized_Investment_Required,Normalized_Procurement_Priority_Score,Procurement_Priority_Class,Service_Risk_Reduction_Score,Service_Risk_Priority_Class,Service_Factor,Positive_Gap,SRRS_Rank,SRRS_Per_Rupee,Funding_Driver,Criticality_Name,Funding_Decision,Source_Universe
56119033,Cable 19 C x 1.5 sq.mm,S1,C,10214.28,236.0,15650.23,15414.23,5259289.03,52592890.33,High,154142.3,High,1.0,15414.23,10,2.9e-05,Gap,Safety Critical,Not Funded,Strategic
56987122/56110029,Cable 3 C x 10 sq.mm,S1,C,2277.56,3988.0,11057.48,7069.48,880079.57,8800795.65,Medium,70694.8,High,1.0,7069.48,14,8e-05,Gap,Safety Critical,Not Funded,Strategic
50550081,Lead Acid Stationary Secondary Cells  - 2V/200 AH,S2,A,4135.36,1532.0,16113.33,14581.33,92853909.44,464269547.2,Immediate,189557.29,High,2.6,14581.33,8,0.002041,Gap,Operational Critical,Not Funded,Strategic
56509960,Cable 2 C x 25 sq.mm,S1,C,21631.94,9.06,39069.08,39060.02,45860369.48,458603694.82,Immediate,390600.2,Immediate,1.0,39060.02,5,0.008517,Gap,Safety Critical,Not Funded,Strategic
56501018,Cable 30 C x 1.5 Sq.mm,S1,A,28364.23,14152.0,72606.45,58454.45,33968465.44,339684654.4,Immediate,1636724.6,Immediate,2.8,58454.45,3,0.048184,Gap,Safety Critical,Not Funded,Strategic
56509959,Cable 12 C x 1.5 Sq.mm,S1,A,66258.84,38752.0,170818.49,132066.49,31166370.98,311663709.75,Immediate,3697861.72,Immediate,2.8,132066.49,1,0.118649,Gap,Safety Critical,Not Funded,Strategic
56468039,LED Red aspect with accessories,S1,A,1556.04,943.0,4420.46,3477.46,30939657.11,309396571.12,Immediate,97368.88,High,2.8,3477.46,11,0.003147,Gap,Safety Critical,Not Funded,Strategic
56468052,LED Yellow aspect with accessories,S1,A,1500.82,632.0,3764.45,3132.45,27899604.47,278996044.68,Immediate,87708.6,High,2.8,3132.45,12,0.003144,Criticality,Safety Critical,Not Funded,Strategic
56468040,LED Green Aspect with accessories,S1,A,1287.44,472.0,2993.49,2521.49,25635686.25,256356862.51,High,70601.72,High,2.8,2521.49,15,0.002754,Criticality,Safety Critical,Not Funded,Strategic
50540324,Lead Acid Stationary Secondary Cells  - 2V/80 AH,S2,A,7197.9,4304.0,18819.29,14515.29,50071944.38,250359721.92,High,188698.77,High,2.6,14515.29,9,0.003769,Gap,Operational Critical,Not Funded,Strategic
56501006,Cable 24 C x 1.5 Sq.mm,S1,A,38250.32,6942.0,60146.47,53204.47,23919665.62,239196656.23,High,1489725.16,Immediate,2.8,53204.47,4,0.06228,Gap,Safety Critical,Not Funded,Strategic
50232356/50232319,Magneto telephone,S2,A,1769.51,114.0,6120.1,6006.1,31512805.48,157564027.4,High,78079.3,High,2.6,6006.1,13,0.002478,Gap,Operational Critical,Not Funded,Strategic
56468027,Route LED Signal lightning unit 100 V AC,S1,B1,1477.05,319.0,2579.92,2260.92,13491361.82,134913618.24,High,54262.08,High,2.4,2260.92,16,0.004022,Criticality,Safety Critical,Not Funded,Strategic
56462050,AC Shunt Signal LED with in built current regulator,S1,B1,1271.87,435.0,2162.26,1727.26,9864727.31,98647273.12,High,41454.24,High,2.4,1727.26,17,0.004202,Criticality,Safety Critical,Not Funded,Strategic
56119537,Cable 2 C x 2.5 sq.mm,S1,B1,59866.54,43539.0,112407.96,68868.96,6654807.6,66548076.05,High,1652855.04,Immediate,2.4,68868.96,2,0.24837,Gap,Safety Critical,Funded,Strategic
