PL_Code,Description,Movement_Status,Inventory_Aging_Class,Inventory_Value,Operational_ABC,Source_Universe
781508540015,CHAIR FOR DATALOGGER,Dead Stock,Dead Stock,2400.0,C,Operational
781508550010,CHAIR TUBULAR ARM WITH NYLON SEAT,Dead Stock,Dead Stock,5800.0,C,Operational
783000281273,Rack wooden FOR BOOKS,Slow Moving,Very Slow Moving,1000.0,C,Operational
783000631338,TABLE WOODEN WITH  FOUR DRAWER,Dead Stock,Dead Stock,750.0,C,Operational
783000631727,TABLE WOODEN TW,Dead Stock,Dead Stock,3650.0,C,Operational
783004240010,TRAY DEAL WOOD,Dead Stock,Dead Stock,800.0,C,Operational
783100277395,TABLE TUBULAR STEEL,Dead Stock,Dead Stock,1200.0,C,Operational
787902510010,GLASS FRONTED BOX FOR KEYS,Dead Stock,Dead Stock,500.0,C,Operational
789024500018,IRON RACK SKELETON TYPE 10'X6',Dead Stock,Dead Stock,10500.0,C,Operational
869022810017,CUP BOARD  EMPTY AXLE COUNTER  EVALUATER RACK,Dead Stock,Dead Stock,1200.0,C,Operational
902900130011,RACK STEEL For KEEPING FILE 4 PLANS,Dead Stock,Dead Stock,1500.0,C,Operational
909001290010,RACK BOILER TUBE WITH 6 PARTITION,Dead Stock,Dead Stock,4500.0,C,Operational
909001300015,RACK For OFFICE FILE,Dead Stock,Dead Stock,6750.0,C,Operational
909001310010,RACK STEEL TO DRG NO OJA/31/61,Dead Stock,Dead Stock,4500.0,C,Operational
909001320014,SHEET IRON BATTERY BOX( CUP BOARD),Dead Stock,Dead Stock,9000.0,C,Operational
451700030960,Battery Box Wooden for 3 Cells,Slow Moving,Very Slow Moving,0.0,C,Operational
469034151893,TABLE STEEL EXECUTIVE,Dead Stock,Dead Stock,1000.0,C,Operational
469034500012,UNVERSAL AXLE COUNTER RACK (EMPTY RELEASED USED AS  CUP BOARD),Dead Stock,Dead Stock,1000.0,C,Operational
559000770019,RACK BOILER TUBE WITH 4 PARTITION,Dead Stock,Dead Stock,4000.0,C,Operational
657901430017,IRON RACK 3TIER 6' X 6',Dead Stock,Dead Stock,20000.0,C,Operational
781009670010,CUP BOARD T/W SLIDING DOOR 04 SHELVES,Dead Stock,Dead Stock,300.0,C,Operational
781009680014,CUP BOARD T/W SLIDING DOORS 24 PIEGION HOLES,Dead Stock,Dead Stock,300.0,C,Operational
781010270018,SHELF WOODEN WITH PARTITION,Dead Stock,Dead Stock,750.0,C,Operational
781010280012,STOOL  Wooden LOCALY MADE,Dead Stock,Dead Stock,2250.0,C,Operational
781506340096,TABLE STEEL TUBULAR,Dead Stock,Dead Stock,1000.0,C,Operational
781508520016,Furniture Steel.(Almirah steel 1980 x 915 x 485),Slow Moving,Very Slow Moving,12700.0,C,Operational
781508530010,Furniture Steel. (Almirah steel for datalogger),Dead Stock,Dead Stock,3000.0,C,Operational
679001590014,Tarpauline for Lorry,Dead Stock,Dead Stock,1000.0,C,Operational
655900010011,LORRY  KL-9B 681,Dead Stock,Dead Stock,0.0,C,Operational
570102270010,Printer Deskjet/Inkjet(Epson),Dead Stock,Dead Stock,23630.0,C,Operational
539871380026,Rodent Repellent Electronic,Dead Stock,Dead Stock,12980.0,C,Operational
539871380026,Rodent Repellent Electronic,Dead Stock,Dead Stock,12980.0,C,Operational
472200010271,UPS -1000VA(36VDC/230V-AC),Dead Stock,Dead Stock,4000.0,C,Operational
469035027200,ELECTRONIC DIGITAL VERNIER CALIPER 0 MM-150 MM,Dead Stock,Dead Stock,945.0,C,Operational
539812601010,MAINTAINER HEAD LAMP,Dead Stock,Dead Stock,5848.0,C,Operational
729079690012,CALCULATOR,Dead Stock,Dead Stock,600.0,C,Operational
439900100017,Auqaguard UV water purifier,Dead Stock,Dead Stock,1500.0,C,Operational
657901291431,Weighing Machine 30 Kg,Dead Stock,Dead Stock,2299.0,C,Operational
551200011370,LOCK PAD 35MM,Dead Stock,Dead Stock,484.0,C,Operational
729081591716,LOCK PAD IRON 50 mm,Dead Stock,Dead Stock,450.0,C,Operational
729081591716,LOCK PAD IRON 50 mm,Dead Stock,Dead Stock,450.0,C,Operational
539803231771,LOCK GODREJ NAVTAL PAD  85MM WITH KEY,Dead Stock,Dead Stock,400.0,C,Operational
909001330019,LOCK PAD IRON 65MM,Dead Stock,Dead Stock,83.0,C,Operational
539860180069,LOCK PAD Godrej square lock 6 levers (50MM),Dead Stock,Dead Stock,779.0,C,Operational
620706500058,Lock Pad Godrej 40mm,Dead Stock,Dead Stock,100.0,C,Operational
657900290819,TOOL GRINDER BENCH TYPE WITH 8 INCH STONE,Dead Stock,Dead Stock,2500.0,C,Operational
602590680503,BAR CROW,Dead Stock,Dead Stock,300.0,C,Operational
560604892384,HAMMER SLEDGE-5LBS,Dead Stock,Dead Stock,300.0,C,Operational
559000790195,PLIER GRIP Miscellaneous.,Dead Stock,Dead Stock,1500.0,C,Operational
559000780013,CEREMONIAL LEVER,Dead Stock,Dead Stock,2000.0,C,Operational
543500030019,Aluminium LADDER 18',Dead Stock,Dead Stock,700.0,C,Operational
539802990017,DIGITAL INSULATION TESTER(100v),Dead Stock,Dead Stock,0.0,C,Operational
539800290016,Aluminium folding ladder (6'),Dead Stock,Dead Stock,2000.0,C,Operational
539800230019,SEAL BRASS (5/8),Dead Stock,Dead Stock,250.0,C,Operational
509040800606,PULLY BLOCK-4,Dead Stock,Dead Stock,250.0,C,Operational
469040561003,Oil Drainer(70 suit 205 L Cap drum),Dead Stock,Dead Stock,50.0,C,Operational
469034982523,HACK SAW FRAME (SAW FRAME FOR METAL CUTTING),Dead Stock,Dead Stock,150.0,C,Operational
469028772605,ALUMINIUM LADDER SELF SUPPORTING SIZE 8 FEET,Dead Stock,Dead Stock,500.0,C,Operational
430200020035,Digital Multimeter make Rishi,Dead Stock,Dead Stock,9000.0,C,Operational
430199810015,Clamp Multimeter/Tester (Digital),Dead Stock,Dead Stock,0.0,C,Operational
429079130015,"Soldering iron, 65 Watt",Dead Stock,Dead Stock,0.0,C,Operational
869022070617,PIPE WRENCH SIZE 12'',Dead Stock,Dead Stock,1100.0,C,Operational
741400050013,Measuring vessel 2L,Dead Stock,Dead Stock,50.0,C,Operational
762197820237,ANGLE GRINDER 100mm,Dead Stock,Dead Stock,2000.0,C,Operational
739900010019,Drill chuck with socket,Dead Stock,Dead Stock,900.0,C,Operational
727902129820,SPANNER ADJUSTABLE 10,Dead Stock,Dead Stock,600.0,C,Operational
660400010015,BY CYCLE-22',Dead Stock,Dead Stock,600.0,C,Operational
669020170011,Bench Vise 4,Dead Stock,Dead Stock,3000.0,C,Operational
673500020118,Hand Cart with tyre and wheels,Dead Stock,Dead Stock,5500.0,C,Operational
720597144353,RING SPANNER 6-32 MM,Dead Stock,Dead Stock,400.0,C,Operational
720616502547,Sealing Plier,Dead Stock,Dead Stock,3000.0,C,Operational
721800040199,NOSE PLIER  8/6,Dead Stock,Dead Stock,80.0,C,Operational
723870600763,Spade (Mammatty) with handle,Dead Stock,Dead Stock,50.0,C,Operational
723870940021,mamatty,Dead Stock,Dead Stock,150.0,C,Operational
725073550518,Spring balance,Dead Stock,Dead Stock,0.0,C,Operational
725073720011,WEIGHING MACHINE(300kg),Dead Stock,Dead Stock,5500.0,C,Operational
725800107319,Measuring tape 50 Mtr Fiber glass,Dead Stock,Dead Stock,800.0,C,Operational
725807470018,0028-MEASURING TAPE 5MTS LONG,Dead Stock,Dead Stock,190.0,C,Operational
727901710015,Drilling Machine 31MM(230v) with stand,Dead Stock,Dead Stock,5000.0,C,Operational
570106430019,Desk Top Computer with preloaded operating system,Dead Stock,Dead Stock,64445.0,C,Operational
570132251492,All in One PC,Slow Moving,Very Slow Moving,202025.0,B,Operational
570186760029,UPS I KVA,Slow Moving,Slow Moving,9000.0,C,Operational
230201270112,EMPTY CAN - 10 LTR,Dead Stock,Dead Stock,120.0,C,Operational
839097770035,DS 8 FORM (S- 1539/DS),Slow Moving,Very Slow Moving,0.0,C,Operational
838000370058,Medical Index card,Slow Moving,Very Slow Moving,0.0,C,Operational
839098350029,Stock Indent,Slow Moving,Very Slow Moving,0.0,C,Operational
838000320109,INDENT FORMS T-136,Dead Stock,Dead Stock,100.0,C,Operational
831100640020,DMTR REGISTER,Dead Stock,Dead Stock,0.0,C,Operational
83070552,CHALLAN BOOK  (ST-47Stores Depot ChallanA4O/SBksPrinting in Bi-lingual (Hindi and Eng....,Slow Moving,Very Slow Moving,637.0,C,Operational
83060420,STE-2Failure ReportA5O/SBksPrinting in Bi-ilingual (Hindi and English as per specimen....,Slow Moving,Very Slow Moving,0.0,C,Operational
830599000335,Medical Identity card (G:415),Slow Moving,Very Slow Moving,0.0,C,Operational
83059131,83052100 ; S-1302 ; REQUISITION FOR STORES (NS) INDENT 100 PAGES VALUE UPTO 20000/-  A5 B/....,Slow Moving,Very Slow Moving,0.0,C,Operational
83058618,"PAD DRAFT (100 SHEETS EACH) OF WHITE PRINTING PAPER R A4 SIZE,60 GSM TO IS.1848 AND THE BR....",Active,Monitor,204.1,C,Operational
83058473,S&T-R-30:-  Joint Inspection Book A4 B/S Bks. . Printing in Bi-lingual (Hindi and English....,Slow Moving,Very Slow Moving,0.0,C,Operational
83057225,FILE COVER THIN (FILE BOOKS FILE COVER WITH 1.3 CM WIDETAPE & 2 TAGS 50 CM OR OVER THIN 2....,Active,Monitor,1742.78,C,Operational
83057213,FILE COVER THICK  (FILE BOOKS FILE COVERS WITH 1.3cm WIDE TAPE AND TWO TAGS 50cm COVER THI....,Active,Active,1656.9,C,Operational
83055587,BOOK ROULED 100 PAGES   ONE QUIRE NOTE BOOK EACH OF 100 PAGES SIZE 33 CM LENGTH X 20.5 CM....,Active,Active,487.6,C,Operational
83055575,TWO QUIRE NOTE BOOK EACH OF 200 PAGES SIZE 33 CM LENGTH X 20.5 CM WIDTH PRINT WITH RULE IN....,Active,Monitor,724.22,C,Operational
83055563,(1)DESCRIPTION :BOOK RULED 3 QUIRE(2)SIZE  : 21CMS X 29.7 CMS (TRIMMED) (150 LEAVES PER BO....,Active,Active,1392.49,C,Operational
83055551,FOUR QUIRE NOTE BOOK EACH OF 400 PAGES SIZE 33 CM LENGTH X 20.5 CM  WIDTH. PRINT WITH RULE....,Active,Monitor,1614.1,C,Operational
83054110,"ENVOLOPE SMALL  (ENVELOPES MADE OF BROWN WRAPPER DOUBLE IMPERIAL, RIBBED KRAFT TO SIZE 26....",Dead Stock,Dead Stock,0.0,C,Operational
83053013,G-60 ; MUSTER ROLL A4 B/S BKS Printing in Bi-lingual(Hindi and English as perspeci....,Slow Moving,Slow Moving,272.0,C,Operational
83052057,G-375Receipt and Despatch RegisterA4B/SBKSPrinting in Bi-lingual (Hindi and English a....,Slow Moving,Very Slow Moving,0.0,C,Operational
