PL_Code,Description,Unit,UDM_Text,Unit_Cost,Normalized_Unit_Cost,Potential_Unit_Mismatch,Inventory_Value,Normalized_Inventory_Value,Inventory_Investment_Required,Normalized_Investment_Required,Procurement_Priority_Score,Normalized_Procurement_Priority_Score
56119033,Cable 19 C x 1.5 sq.mm,MTR,79032 Mtr+2.289 KM,341197.0,341.2,Yes,80522492.0,80522.49,5259287738.11,5259289.03,52592877381.08,52592890.33
56987122/56110029,Cable 3 C x 10 sq.mm,MTR,40741 MTR+..810 km,124490.0,124.49,Yes,496466120.0,496466.12,880079845.61,880079.57,8800798456.1,8800795.65
50550081,Lead Acid Stationary Secondary Cells  - 2V/200 AH,Nos,3584 Nos.,6368.0,6368.0,No,9755776.0,9755776.0,92853910.08,92853909.44,464269550.41,464269547.2
56509960,Cable 2 C x 25 sq.mm,MTR,68961 MTR +11.508 Km,1174.1,1174.1,No,10633.82,10637.35,45860374.07,45860369.48,458603740.75,458603694.82
56501018,Cable 30 C x 1.5 Sq.mm,MTR,95746 MTR,581.11,581.11,No,8223868.72,8223868.72,33968463.83,33968465.44,339684638.27,339684654.4
56509959,Cable 12 C x 1.5 Sq.mm,MTR,99967 Mtrs,235.99,235.99,No,9145084.48,9145084.48,31166369.89,31166370.98,311663698.85,311663709.75
56468039,LED Red aspect with accessories,Nos,3241Nos,8897.2,8897.2,No,8390059.6,8390059.6,30939670.21,30939657.11,309396702.08,309396571.12
56468052,LED Yellow aspect with accessories,,2875.0,8906.64,8906.64,No,5628996.48,5628996.48,27899616.92,27899604.47,278996169.22,278996044.68
56468040,LED Green Aspect with accessories,Nos,3245Nos,10166.88,10166.88,No,4798767.36,4798767.36,25635676.75,25635686.25,256356767.55,256356862.51
50540324,Lead Acid Stationary Secondary Cells  - 2V/80 AH,Nos,5781 Nos,3449.6,3449.6,No,14847078.4,14847078.4,50071933.54,50071944.38,250359667.69,250359721.92
56501006,Cable 24 C x 1.5 Sq.mm,MTR,119728 MTR+5.977 km,449.58,449.58,No,3120984.36,3120984.36,23919665.61,23919665.62,239196656.11,239196656.23
50232356/50232319,Magneto telephone,Nos,1781Nos,5246.8,5246.8,No,598135.2,598135.2,31512789.67,31512805.48,157563948.33,157564027.4
56468027,Route LED Signal lightning unit 100 V AC,Nos,2704 Nos,5967.2,5967.2,No,1903536.8,1903536.8,13491362.86,13491361.82,134913628.57,134913618.24
56462050,AC Shunt Signal LED with in built current regulator,Nos,1783 Nos,5711.2,5711.2,No,2484372.0,2484372.0,9864745.59,9864727.31,98647455.88,98647273.12
56119537,Cable 2 C x 2.5 sq.mm,MTR,76191 +989 km,96.63,96.63,No,4207173.57,4207173.57,6654807.49,6654807.6,66548074.86,66548076.05
56468064,Calling on LED Signal lightning unit 100 V AC,Nos,1617 Nos,6846.36,6846.36,No,1026954.0,1026954.0,4581206.88,4581173.33,45812068.85,45811733.3
50541523,Lead Acid Stationary Secondary Cells  - 2V/120 AH,Nos,2399 Nos.,4497.92,4497.92,No,1592263.68,1592263.68,6256752.11,6256741.66,31283760.56,31283708.29
56451027,Relay AC  Immune Plug in  type style-QBCA1,Nos,1409Nos,3367.77,3367.77,No,154917.42,154917.42,10948195.6,10948182.46,21896391.2,21896364.92
56450217,Relay AC Immune Plug in type style-QSPA1,,2663.0,5243.92,5243.92,No,1552200.32,1552200.32,9656118.51,9656101.85,19312237.02,19312203.7
