PL_Code,Description,Criticality,Inventory_Status,Movement_Status,Inventory_Action,Inventory_Value,Source_Universe
031431700058,STAINLESS STEEL WIRE ROPE (SIZE-4 MM),,,Active,Retain,858900.0,Operational
230201270112,EMPTY CAN - 10 LTR,,,Dead Stock,Dispose,120.0,Operational
231057680062,Test link/Box for Lightning Arrester,,,Active,Retain,3552.0,Operational
236400070013,Lead tablets of 10mm diameters for sealing,,,Active,Retain,4073.61,Operational
237902930042,GI PIPE 50 MM DIA,,,Active,Retain,46703.76,Operational
336800480025,120 AH VRLA battery conforming to RDSO specification No: IRS/S-93/96 (A) (Amd.1) or lates....,,,Slow Moving,Rationalize,0.0,Operational
337300030133,"Transformer 230VAC/110V AC,3000 VA",,,Active,Retain,25699.57,Operational
371572210520,EPOXY PAINT GLOSSY in  golden yellow colour (packing resin in 20 lrs MS Drums and Hardner....,,,Active,Retain,0.0,Operational
396800560033,SMF LEAD ACID BATTERY 12V 42 AH,,,Slow Moving,Rationalize,0.0,Operational
400200120017,Wire coil PVC 0.6 Sq.mm (HOOK UP WIRE),,,Slow Moving,Rationalize,0.0,Operational
400200120029,PVC Wire coil of size 16/0.2 Sqmm,,,Dead Stock,Dispose,0.0,Operational
400200120029,Wire coil PVC of size 16/0.2 Sqmm (100MTR LENGTH),,,Active,Retain,230327.77,Operational
400580173311,FIRE ALARM 25MM RED COLOURED PVC PIPE,,,Slow Moving,Rationalize,17723.44,Operational
400580175939,PVC CABLE 12C X 1.5 Sqmm,,,Active,Retain,0.0,Operational
40070359,Wire coil 3/0 75 mm,S4,Procurement Required,,Monitor,0.0,Strategic
400785690017,PVC INSULATED CABLE 19C x 1.5 sq.mm,,,Slow Moving,Rationalize,0.0,Operational
400900010440,CABLE 3 core X 10 Sq.mm Aluminium IN BITTS,,,Active,Retain,28560.0,Operational
400900640010,PVC INSULATED CABLE  2C x 25 sq.mm,,,Slow Moving,Rationalize,9536.0,Operational
400900650015,PVC INSULATED CABLE 30C x 1.5 sq.mm,,,Active,Retain,0.0,Operational
401107470011,INDOOR CABLE 60 Core,,,Active,Retain,11000.0,Operational
401107473190,INDOOR CABLE 40 Core X 0.6 MM,,,Active,Retain,780435.0,Operational
401107900017,PVC INSULATED CABLE 12C x 1.5 sq.mm,,,Active,Retain,0.0,Operational
401107910011,PVC INSULATED CABLE 2C x 2.5 sq.mm,,,Slow Moving,Rationalize,123500.0,Operational
403300190518,Wire Coil PVC MULTICORE 4 sq mm (100Mtr coil),,,Slow Moving,Rationalize,0.0,Operational
403600040101,Released Power Cable 2C X 25sqmm,,,Dead Stock,Dispose,0.0,Operational
404008910315,ROUTE INDICATOR JUNCTION TYPE 2 WAY NON METALIC TYPE,,,Dead Stock,Dispose,0.0,Operational
405000010454,GI Wire 8 SWG,,,Slow Moving,Rationalize,502.67,Operational
405000100017,CABLE MARKER  RCC TYPE,,,Active,Retain,35866.11,Operational
40981381,Wire coil PVC 16/0.2 mm,S3,Procurement Required,,Monitor,0.0,Strategic
41095066,PVC Insulation TAPE (Mtrs),S4,Procurement Required,Active,Retain,332.81,Operational
419000010243,Insulation for Leading Stretcher Bar,,,Active,Retain,0.0,Operational
419000010644,BACKING PLATES,,,Dead Stock,Dispose,3500.0,Operational
419001810012,Point insulation ( Nylon -66) Complete set with RDSO spec IRS-S-40/84 or latest consist of....,,,Dead Stock,Dispose,0.0,Operational
420273832479,PUSH SWITCH,,,Active,Retain,25111.82,Operational
420294190010,CHANGE OVER SWITCH ROTARY TYPE 60A,,,Slow Moving,Rationalize,5000.0,Operational
420415680054,DIGITAL HANDHELD TRUE AC/DC CLAMP MALTIMETER,,,Slow Moving,Rationalize,0.0,Operational
420427680017,Track Feed Battery Charger,,,Slow Moving,Rationalize,22154.5,Operational
420427940015,Contact Maker 4 Way,,,Slow Moving,Rationalize,0.0,Operational
420433530046,STYORAGE BATTERY 12V 65 AH EXIDE,,,Slow Moving,Rationalize,0.0,Operational
420802310027,FUSE ND 4 AMPS CAPACITY,,,Active,Retain,209514.4,Operational
420893040014,Fuse ND 1 amps,,,Dead Stock,Dispose,0.0,Operational
