Location_ID,Facility_Type,Inventory_Value,Operational_ABC,Inventory_Action
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,106150.0,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,106150.0,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,106150.0,B,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,106150.0,B,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,121917.95,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,121917.95,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,121917.95,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,121917.95,B,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,121917.95,B,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,121917.95,B,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,121917.95,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,121917.95,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,121917.95,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Rationalize
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Dispose
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Rationalize
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Dispose
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Rationalize
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Dispose
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Rationalize
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Dispose
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Rationalize
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Dispose
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,8284.12,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Procure Immediately
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,53650.0,C,Dispose
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,1140102.0,A,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,1140102.0,A,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,1140102.0,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,1140102.0,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,A,Rationalize
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,A,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,291499.08,B,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,291499.08,B,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,291499.08,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,291499.08,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,639450.0,B,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,639450.0,B,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,639450.0,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,639450.0,C,Retain
DEP-SSE-S-SRM-SA067532-S-AND-T-SR,Depot,0.0,C,Dispose
