PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Depot,Inventory_Domain,Business_Unit,Division,Snapshot_Date,Pipeline_Version
539810580015,MLB-2 ( CEL Make ),15.0,654900.0,1937,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539810570010,MLB-1 ( CEL Make ),15.0,654900.0,1937,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539810820014,FIRE ALARM CIRCUIT INTEGRITY CABLE 2CX1.5Sq.MM ( ARMOURED),1352.0,338000.0,1349,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539810710014,Dc-Dc Converter Card ( CEL Make ),16.0,302080.0,1937,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560402960019,Relay Drive Card ( CEL Make ) Digital Axle Counter spares,6.0,184080.0,1969,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539810690015,Event Logger Card (CEL Make),6.0,184080.0,1937,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560402950014,SCC-2 Card (710A) Digital Axle Counter spares,5.0,153400.0,1969,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560402940010,SCC-1 Card (710A) Digital Axle Counter spares,5.0,153400.0,1969,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
521100810024,E1 Converter (V.21 to E1-Converter) with necessary connected equipment,5.0,118448.4,1063,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
567907000019,DC- DC CONVERTER 110VDC/24VDC/5AMPS,3.0,96000.0,1936,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
500100160020,Supply of 24V E1 extender at the existing Data logger end,4.0,87360.0,1063,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
500100170024,Supply of 48Volts E1 extender at the OFC end,4.0,87360.0,1063,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539803844690,SGE (B/I)BLOCK BELL EQUIPMENT 24V DC,26.0,73018.4,899,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807240018,TIMER RELAY 30 SECOND,29.0,53650.0,1969,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
560408570010,TRAIN SIMULATOR FOR HASSDAC( GG TRONICS ),2.0,44000.0,1489,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
539807460018,Dot Matrix printer,3.0,24303.0,1621,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
783000495480,OFFICERS TABLE BIG SIZE,2.0,12000.0,1922,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
469043549610,Honda Generator/HONDA GENERATOR FORTABLE (1.4-1.6KVA),1.0,8000.0,1886,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
721434780012,TORQUE WRENCH (TW100R),1.0,3500.0,1381,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
781007070142,Chair With Arm ( Wire Type ),2.0,3000.0,1922,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
783100272269,Steel table,1.0,2500.0,1922,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
561195700010,Arrow Plate for Signal,10.0,2210.0,1641,SSE/S/SRM/SA067532-S AND T-SR,Railway_Operations,SA,Salem,2026-03-31,12.5.0
