PL_Code,Description,Current_Stock,Unit,Unit_Cost,Inventory_Value,Last_Receipt_Date,Last_Issue_Date,Days_Since_Movement,Inventory_Aging_Class,Movement_Status,Inventory_Value_Band,Depot,Operational_ABC,Inventory_Domain,Business_Unit,Division,Snapshot_Date,Pipeline_Version
56509376,ARA TERMINAL BLOCK (SMALL) M6 PBT MAKE TO DRG  NO.SA.23741A/ALT-4 AND TO SPECN.IRS.S.75/91....,2000.0,Nos.,53.08,106150.0,18-01-2025,02-03-2026,97,Monitor,Active,Rs 1 Lakh - 10 Lakh,SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56509388,TERMINAL BLOCK   MADE OF PBT 60MM TO RDSO DRG NO:SA23745 (ALT-5)TO SPECN IRS : S-75/2006 A....,1664.0,Nos.,73.27,121917.95,18-01-2025,10-02-2025,482,Very Slow Moving,Slow Moving,Rs 1 Lakh - 10 Lakh,SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
565010000010,PBT Fuse Block 60 mm,65.0,Nos.,127.45,8284.12,16-04-2024,13-01-2025,510,Very Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56119537,CABLE SIZE OF  2C X 2.5 SQ.MM PVC INSULATED CABLE FOR RAILWAY SIGNALLING   HEAVY DUTY UNDE....,0.0,MTR,105.45,0.0,24-01-2026,24-04-2026,44,Active,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56509959,CABLE 12C X 1.5 SQ.MM PVC INSULATING CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNDER GROUND ....,0.0,MTR,237.26,0.0,27-04-2026,28-04-2026,40,Active,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56119033,CABLE SIZE OF 19C X 1.5 SQ.MM PVC INSULATED ARMOURED UNSCREENED RAILWAY SIGNALLING CABLE  ....,0.0,MTR,208.81,0.0,24-06-2024,14-06-2025,358,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56501006,CABLE SIZE OF 24C X 1.5 SQ.MM PVC INSULATED CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNDER ....,0.0,MTR,448.76,0.0,16-05-2026,16-05-2026,22,Active,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56501018,CABLE SIZE OF 30C X 1.5 SQ.MM PVC INSULATED CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNSCRE....,0.0,MTR,568.43,0.0,27-04-2026,28-04-2026,40,Active,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56509960,CABLE 2C X 25 SQ.MM ( Power Cable ) PVC INSULATED ARMOURED UN SCREENED UNDER GROUND ALUMIN....,0.0,MTR,110.67,0.0,24-01-2026,24-04-2026,44,Active,Active,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
56110029,POWER CABLE 3C X 10SQ.MM  PVC INSULATED ARMOURED UNSCREENED UNDERGROUND CABLE.,0.0,MTR,94.25,0.0,03-08-2022,07-11-2025,212,Slow Moving,Slow Moving,"< Rs 10,000",SSE/S/SRM/SA067532-S AND T-SR,C,Railway_Operations,SA,Salem,2026-03-31,12.5.0
