PL_Code,Description,Inventory_Action,Normalized_Inventory_Value,Movement_Status,Source_Universe,Inventory_Value,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
129801400020,INDICATION PANEL FOR BLOCK WORKING (Single/double line),Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
305609390040,LOCK ORDINARY,Dispose,60.0,Dead Stock,Operational,60.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
40070359,Wire coil 3/0 75 mm,Monitor,0.0,,Strategic,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
40981381,Wire coil PVC 16/0.2 mm,Retain,3775.95,Active,Operational,3775.95,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
41095066,PVC Insulation TAPE (Mtrs),Retain,1360.5,Active,Operational,1360.5,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
419000010723,Rail Joint Insulation 60 Kg (Nylon),Rationalize,116250.0,Slow Moving,Operational,116250.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
420295636237,Supply of 4 Port KVM Switch,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
420501980410,"VOLTAGE  STABILIZERS 5 KVA / 230 V SINGLE PHASE, SHELF MOUNTING, STATIC, FERRO RESONANT T....",Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430199720956,AC/DC DIGITAL CLAMP METER  (Meco3600+)/METRAVI 4673,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430200027110,Digital Multi-meter MECO 171B+TRMS 10000KHz,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430200027121,Digital Clamp meter MECO 1008 TRMS,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430371710010,MULTI METER ( FLUKE),Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430500067070,100V ANALOG INSULATION  TESTER,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430500088693,DIGITAL EARTH TESTER,Retain,16522.46,Active,Operational,16522.46,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
430800081515,Handheld Digital Infrared Thermometer MECO (IRT600TC),Rationalize,17500.0,Slow Moving,Operational,17500.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
432000371387,1 KVA on line UPS,Retain,8102.0,Active,Operational,8102.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
432305060018,DISTILLED WATER  PLANT WITH TWO DETACHABLE HEATING ELEMENTS OF 1500 WATTS WITH FIBRE TANK ....,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
43300339,"CELLS FOR HAND TORCH DRY BATTERIES 1.5 VOLTS,TYPE R:20 METAL/PAPER JACKET AS PER ISS:8144/....",Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
45174404,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FR....,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
45174404/45174416,Hydro meter complete set,Monitor,74690.72,,Strategic,74690.72,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
45174416,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FRO....,Retain,926.21,Active,Operational,926.21,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
459065090063,"Supply of GPS receiver module with antenna of 5mts length with RS232 O/P-1 Nos, USB to ser....",Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
459072080079,Transformer 230V/110V/3 KVA,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
469029821314,Cable Termination Box (FRB type),Retain,1603261.27,Active,Operational,1603261.27,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
