Rank,PL_Code,Description,Criticality,ABC_Class,Current_Stock,Inventory_Gap,Normalized_Investment_Required,Normalized_Procurement_Priority_Score
1,50550081,Lead Acid Stationary Secondary Cells  - 2V/200 AH,S2,A,1532.0,14581.33,92853909.44,464269547.2
2,56509960,Cable 2 C x 25 sq.mm,S1,C,9.06,39060.02,45860369.48,458603694.82
3,56501018,Cable 30 C x 1.5 Sq.mm,S1,A,14152.0,58454.45,33968465.44,339684654.4
4,56509959,Cable 12 C x 1.5 Sq.mm,S1,A,38752.0,132066.49,31166370.98,311663709.75
5,56468039,LED Red aspect with accessories,S1,A,943.0,3477.46,30939657.11,309396571.12
6,56468052,LED Yellow aspect with accessories,S1,A,632.0,3132.45,27899604.47,278996044.68
7,56468040,LED Green Aspect with accessories,S1,A,472.0,2521.49,25635686.25,256356862.51
8,50540324,Lead Acid Stationary Secondary Cells  - 2V/80 AH,S2,A,4304.0,14515.29,50071944.38,250359721.92
9,56501006,Cable 24 C x 1.5 Sq.mm,S1,A,6942.0,53204.47,23919665.62,239196656.23
10,50232356/50232319,Magneto telephone,S2,A,114.0,6006.1,31512805.48,157564027.4
