PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
539810580015,MLB-2 ( CEL Make ),15.0,654900.0,1937,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
539810570010,MLB-1 ( CEL Make ),15.0,654900.0,1937,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
539810820014,FIRE ALARM CIRCUIT INTEGRITY CABLE 2CX1.5Sq.MM ( ARMOURED),1352.0,338000.0,1349,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
539810710014,Dc-Dc Converter Card ( CEL Make ),16.0,302080.0,1937,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
560402960019,Relay Drive Card ( CEL Make ) Digital Axle Counter spares,6.0,184080.0,1969,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
539810690015,Event Logger Card (CEL Make),6.0,184080.0,1937,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
560402950014,SCC-2 Card (710A) Digital Axle Counter spares,5.0,153400.0,1969,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
560402940010,SCC-1 Card (710A) Digital Axle Counter spares,5.0,153400.0,1969,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
521100810024,E1 Converter (V.21 to E1-Converter) with necessary connected equipment,5.0,118448.4,1063,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
567907000019,DC- DC CONVERTER 110VDC/24VDC/5AMPS,3.0,96000.0,1936,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
500100160020,Supply of 24V E1 extender at the existing Data logger end,4.0,87360.0,1063,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
500100170024,Supply of 48Volts E1 extender at the OFC end,4.0,87360.0,1063,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
539803844690,SGE (B/I)BLOCK BELL EQUIPMENT 24V DC,26.0,73018.4,899,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
539807240018,TIMER RELAY 30 SECOND,29.0,53650.0,1969,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
560408570010,TRAIN SIMULATOR FOR HASSDAC( GG TRONICS ),2.0,44000.0,1489,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
539807460018,Dot Matrix printer,3.0,24303.0,1621,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
783000495480,OFFICERS TABLE BIG SIZE,2.0,12000.0,1922,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
469043549610,Honda Generator/HONDA GENERATOR FORTABLE (1.4-1.6KVA),1.0,8000.0,1886,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
