PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
50541523,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V /120 AH   TO SPECIFICATION.IRS:S-8....,587.0,2280080.58,352,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
570100421550,"SSBPAC(D) Complete set (SM panel, BI with wired relay rack& Block Telephone)",2.0,1190000.0,708,Very Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
560600080516,VDU 55 inch monitor (SAMSUNG MAKE - MODEL - 55QM5C),3.0,687159.0,185,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
469039160010,COPPER CATENARY WIRE,931.0,465500.0,365,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
569012500016,FIRE ALARM LOOP CARD as per RDSO/SPN /217 /2021 ver-3 or latest.,6.0,376398.0,381,Very Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
567914940040,DC-DC converter cabinet with 4 nos 24-32v/10A converters and ultimate capacity to accommo....,2.0,334896.0,681,Very Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
50541523,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V /120 AH   TO SPECIFICATION.IRS:S-8....,60.0,288631.92,304,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
567913080017,DC-DC CONVERTER CARD 24V-32V/5AMPS (MAKE; AMARARAJA  IPS ),10.0,262448.28,411,Very Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
567906690016,Ladder With Plat Form 4.6 Mts,58.0,260083.6,334,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
549005641763,EOLB SPARE BOOM ASSEMBLY 9.76MTRS(OCTAGONAL) (FOR L.C. GATE),24.0,244391.82,236,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
563045820018,"D Bracket Insulation Set for IRS Point machine ( 1 RH Plate, 1 LH Plate, Bush-S-23199-04 n....",1259.0,167413.01,243,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
567919860033,DC DC CONVERTER CARD 24-32V/5Amps for HBL make IPS,6.0,154228.98,234,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
569009650011,FIRE ALARM UV/IR FLAME DETECTOR as per RDSO/SPN /217 /2018 ver-2 or latest.,2.0,150947.8,389,Very Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
569001120010,Earth Electrode Copper 3M Long 17MM Dia For (197 Special Earth),16.0,128000.0,181,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
56509388,TERMINAL BLOCK   MADE OF PBT 60MM TO RDSO DRG NO:SA23745 (ALT-5)TO SPECN IRS : S-75/2006 A....,1664.0,121917.95,482,Very Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
539810810010,FIRE ALARM CIRCUIT INTEGRITY CABLE 2CX1.5Sq.MM (UN ARMOURED ),1018.0,118859.64,328,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
419000010723,Rail Joint Insulation 60 Kg (Nylon),125.0,116250.0,486,Very Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
56509935,BATTERY CHARGER 230V AC / 24V DC 20 AMPS TO RDSO SPECN.IRS.S.86/2000 AMENDMENT NO.4 OR LAT....,3.0,111300.0,320,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
549006910010,Goods Warning Board,14.0,107800.0,214,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
569009550016,FIRE ALARM HEAT AND SMOKE MULTI SENSOR as per RDSO/SPN /217 /2021 ver-3 or latest.,10.0,105350.0,381,Very Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
560411770025,Auto Change over Card (one voice modem circuit & one EI converter),1.0,105000.0,708,Very Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
56163034,"VOLTAGE  STABILIZERS 3 KVA / 230 V SINGLE PHASE, SHELF MOUNTING, STATIC, FERRO RESONANT TY....",3.0,103710.54,711,Very Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
560614200185,SPD 24V DC(Class-D) for SSBPAC,3.0,94650.0,360,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
56301704,ROTARY LOCKING TYPE POINT MACHINE GROUND CONNECTION (143mm),6.0,90944.78,227,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
567900870010,Panel Knob for Control Panel,210.0,85117.41,286,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
560614200173,SPD Data for SSBPAC,3.0,75412.5,360,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
569009680015,FIRE ALARM MOTHER BOARD  as per RDSO/SPN /217 /2021 ver-3 or latest.,2.0,62088.67,318,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
560610760019,ELECTROLYTIC CONDENSER 5000 MFD 50 V DC,450.0,54480.6,411,Very Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
567913090011,DC-DC CONVERTER CARD 100-150V/1AMPS (MAKE; AMARARAJA  IPS ),2.0,49560.0,390,Very Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
567908487111,DC-DC CONVERTER CARD 60-100V/1Amps (STATCON make),2.0,42952.0,360,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
539810770011,External Leased Line Modem,2.0,42480.0,206,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
569009620018,FIRE ALARM CONTROL MODULE as per RDSO/SPN /217 /2021 ver-3 or latest.,1.0,39726.2,318,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
570104320016,Printer cum Xerox Machine,1.0,38307.33,192,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
839096164620,STOP BOARD FOR EOLB  FRP TYPE FOR LC GATE & RETRO REFLECTIVE TYPE,38.0,38000.0,305,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
569009610013,FIRE ALARM POWER DISTRIBUTION PANEL 5A/2AMPS as per RDSO/SPN /217 /2021 ver-3 or latest.,2.0,36318.0,381,Very Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
567913100016,DC- DC CONVERTER CARD 24-32V/5AMPS. (STATCON MAKE IPS),2.0,35399.21,411,Very Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
