PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
565199150011,GI Pipe 100MM Dia/4.5MM thick( 6 Mts Long ),2874.0,4302880.95,44,Active,SSE/S/SRM/SA067532-S AND T-SR
567914940348,DC-DP cabinet  with 6 nos of  24-40v/10A capacity converters,15.0,4020000.0,95,Monitor,SSE/S/SRM/SA067532-S AND T-SR
56500142,RELAY QNA1 ACI 8F/8B,437.0,3814837.39,60,Active,SSE/S/SRM/SA067532-S AND T-SR
567925230027,Electrically Operated Lifting Barrier 24 V DC Set ( One Set consist of Pedestal driving an....,6.0,2883514.8,85,Active,SSE/S/SRM/SA067532-S AND T-SR
560633350028,IRS POINT MACHINE 220mm STROKE  IP 67 (400V AC ),28.0,2862008.26,9,Active,SSE/S/SRM/SA067532-S AND T-SR
563003040035,Point machine 143mm-IP67- 400V ACI,29.0,2770324.23,17,Active,SSE/S/SRM/SA067532-S AND T-SR
50540324,LOW MAINTENANCE LEAD ACID  STATIONARY SECONDARY CELLS  2V/80AH CAPACITY AT  10 HRS RATE OF....,794.0,2574186.91,108,Monitor,SSE/S/SRM/SA067532-S AND T-SR
50550081,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V/ 200AH CAPACITY  AT 10 HRS. RATE O....,429.0,2460686.09,108,Monitor,SSE/S/SRM/SA067532-S AND T-SR
569035370022,SPLIT DWC PIPE,13600.0,2448340.0,5,Active,SSE/S/SRM/SA067532-S AND T-SR
56468039,"RED aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatible w....",278.0,2341985.42,113,Monitor,SSE/S/SRM/SA067532-S AND T-SR
539838630104,KLCR Box for 4 Way,154.0,2311478.4,1,Active,SSE/S/SRM/SA067532-S AND T-SR
50541523,LOW MAINTENANCE LEAD ACID STATIONARY SECONDARY CELLS 2V /120 AH   TO SPECIFICATION.IRS:S-8....,587.0,2280080.58,352,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
56468040,"GREENaspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatible ....",236.0,2268487.12,113,Monitor,SSE/S/SRM/SA067532-S AND T-SR
567908487081,DC DC Converter 24-40V/10Amps for Amara Raja make IPS,83.0,2029010.54,95,Monitor,SSE/S/SRM/SA067532-S AND T-SR
56500464,APPARATUS CASE HALF GRS TYPE,54.0,1995357.4,4,Active,SSE/S/SRM/SA067532-S AND T-SR
549009220016,Rodding 1 1/4 ( 6 Mts Long ),152.0,1976000.0,173,Monitor,SSE/S/SRM/SA067532-S AND T-SR
567925330034,Galvanized Ground connection 220mm 1 in 12 (With Hot dip Galvanizing),40.0,1767565.76,60,Active,SSE/S/SRM/SA067532-S AND T-SR
469029821314,Cable Termination Box (FRB type),81.0,1603261.27,108,Monitor,SSE/S/SRM/SA067532-S AND T-SR
567906900011,"SPD B&C with Enclosure Box (OBO, PHOENIX Make)",63.0,1593118.28,68,Active,SSE/S/SRM/SA067532-S AND T-SR
541000040014,' A ' TYPE FOUNDATION FOR LC GATE,189.0,1452918.6,173,Monitor,SSE/S/SRM/SA067532-S AND T-SR
56468052,"YELLOW aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatibl....",152.0,1320824.06,111,Monitor,SSE/S/SRM/SA067532-S AND T-SR
540100550027,"Microprocessor Based SSBPAC(D) for S/L including relay rack, without relays(1set=2nos)",1.0,1311875.0,4,Active,SSE/S/SRM/SA067532-S AND T-SR
56468052,"YELLOW aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatibl....",157.0,1296472.9,4,Active,SSE/S/SRM/SA067532-S AND T-SR
56468027,Route LED  as per RDSO      Specifications SPECIFICATION   NO.   RDSO/SPN/153/2023 Revisio....,190.0,1205796.1,4,Active,SSE/S/SRM/SA067532-S AND T-SR
570100421550,"SSBPAC(D) Complete set (SM panel, BI with wired relay rack& Block Telephone)",2.0,1190000.0,708,Very Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
56508116,RELAY QN1 8F/8B PLUG IN TYPE,150.0,1140102.0,16,Active,SSE/S/SRM/SA067532-S AND T-SR
56509388,PBT TERMINAL 60MM TO RDSO DRG NO:SA23745 (ALT-5)TO SPECN IRS : S-75/2006 AMENDMENT .2. OR ....,9069.0,1075957.28,43,Active,SSE/S/SRM/SA067532-S AND T-SR
56509376,ARA TERMINAL BLOCK 25MM (SMALL) M6 PBT MAKE TO DRG  NO.SA.23741A/ALT-4 AND TO SPECN.IRS.S.....,12919.0,959868.78,32,Active,SSE/S/SRM/SA067532-S AND T-SR
569008180011,TRACK LEAD JUNCTION BOX FRP TYPE,449.0,797732.01,41,Active,SSE/S/SRM/SA067532-S AND T-SR
567906790011,PBT FUSE BLOCK 60MM,4851.0,778966.38,43,Active,SSE/S/SRM/SA067532-S AND T-SR
539897080010,Relay QNA1K 6F/6B,65.0,761105.0,46,Active,SSE/S/SRM/SA067532-S AND T-SR
539812050017,APP Case RTU BOX,14.0,724556.69,5,Active,SSE/S/SRM/SA067532-S AND T-SR
567915180015,DC- DC CONVERTER CARD 24-32V/10AMPS. (AMARARAJA MAKE IPS),27.0,692507.85,55,Active,SSE/S/SRM/SA067532-S AND T-SR
560600080516,VDU 55 inch monitor (SAMSUNG MAKE - MODEL - 55QM5C),3.0,687159.0,185,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
539810570010,MLB-1 ( CEL Make ),15.0,654900.0,1937,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
539810580015,MLB-2 ( CEL Make ),15.0,654900.0,1937,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
56450229,"RELAY AC IMMUNE PLUG IN TYPE STYLE QTA2 CONFORMING TO BRS - 939A,BRS.966 (APPENDIX F-21) &....",70.0,639450.0,60,Active,SSE/S/SRM/SA067532-S AND T-SR
539810660011,RTU 64 Dig/16 Analog Inputs,2.0,543184.0,121,Monitor,SSE/S/SRM/SA067532-S AND T-SR
539829680155,SMR Module 110V/20 Amps for AMARA RAJA IPS,8.0,499917.96,32,Active,SSE/S/SRM/SA067532-S AND T-SR
539810470015,CLS Unit 3 Aspect,26.0,489211.63,44,Active,SSE/S/SRM/SA067532-S AND T-SR
56500026,APPRATUS CASE GRS TYPE Full Box,10.0,486330.0,44,Active,SSE/S/SRM/SA067532-S AND T-SR
469039160010,COPPER CATENARY WIRE,931.0,465500.0,365,Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
542218842111,EOLB with Boom Assembly (9.76 octagonal),1.0,465000.0,5,Active,SSE/S/SRM/SA067532-S AND T-SR
569012500016,FIRE ALARM LOOP CARD as per RDSO/SPN /217 /2021 ver-3 or latest.,6.0,376398.0,381,Very Slow Moving,SSE/S/SRM/SA067532-S AND T-SR
539810820014,FIRE ALARM CIRCUIT INTEGRITY CABLE 2CX1.5Sq.MM ( ARMOURED),1352.0,338000.0,1349,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
