PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
567900920012,PPTC Fuse 6 Amps,0.0,0.0,1969,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
567900910018,PPTC Fuse 4 Amps,0.0,0.0,1969,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
565199170010,ND Fuse 4 Amps,0.0,0.0,1937,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
539801820013,Point CT Box ( Iron ),0.0,0.0,1874,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
539807260017,Relay QNA1K 6F-6B (1000 Ohms),0.0,0.0,1874,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
56160112,Battery Charger 230V/24V 50 amps. As per RDSO Specn. No. IRS.S.86/2000 (Amndt.-4) or lates....,0.0,0.0,1798,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
560405910015,RELAY QN1K ( 1000 Ohms ) 6F/6B,0.0,0.0,1789,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
564680680045,CLS unit 3 Aspect ( MILD STEEL ),0.0,0.0,1788,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
560601990012,ISOLATION TRANSFORMER 110V/110V/50VA,0.0,0.0,1782,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
549006970018,Isolation Transformer 470:470 Ohms,0.0,0.0,1767,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
56500361,Battery Charger 230V/24V 50 amps. As per RDSO Specn. No. IRS.S.86/2000 (Amndt.-4) or lates....,0.0,0.0,1758,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
432305060018,DISTILLED WATER  PLANT WITH TWO DETACHABLE HEATING ELEMENTS OF 1500 WATTS WITH FIBRE TANK ....,0.0,0.0,1707,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
539807350018,Track Feed Battery Charger 110V/10AMPS,0.0,0.0,1707,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
539810670016,Power Supply Arrangement for RTU and Battery 12V/42AH( 2Nos) with 10Amps (1 Nos)Charger,0.0,0.0,1703,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
567906810010,WEB Detector 710P ( CEL ),0.0,0.0,1681,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
569894410011,SSDAC FIELD EQUIPMENTS With 8 Cards,0.0,0.0,1681,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
569001170012,CURRENT REGULATOR (CR),0.0,0.0,1662,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
54360031,LAMP 110V-75W-2PIN TYPE BC TO IS 418/1963,0.0,0.0,1651,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
565100010052,Isolation Transformer for LED Signal 110v/110v 50 VA,0.0,0.0,1634,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
72207413,"DRILL TWIST H.S.S. STRAIGHT SHANK JOBBERS"" 7.2 MM TO IS: 5101/1969, 5099/1983.",0.0,0.0,1585,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
56509388,PBT TERMINAL  60MM,0.0,0.0,1585,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
56301704,ROTARY LOCKING TYPE POINT MACHINE GROUND CONNECTION (143mm),0.0,0.0,1580,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
86010050,PORTABLE STORED PRESSURE ABC TYPE DRY CHEMICAL POWDER FIRE EXTINGUISHER OF 6 Kg. CAPACITY ....,0.0,0.0,1563,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
80010714,AXLE OIL MEDIUM TO IS:1628/1986.,0.0,0.0,1548,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
564700020010,Calling On Aspect  Unit ( HOOD ASSEMBLY ),0.0,0.0,1548,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
549006980012,Power Supply Arrangement for RTU and Battery 12V/40AH( 2Nos) with 7Amps (1 Nos)Charger,0.0,0.0,1546,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
567906750013,Class A Lightening Protection.,0.0,0.0,1544,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
569009640017,FIRE ALARM CONDUIT PVC PIPE(25MM 3 MTS LONG),0.0,0.0,1530,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
569011960019,FIRE ALARM MULTI SENSOR DETECTOR DUAL OPTICAL/THERMAL WITH ROTARIES AND BACK BOXES INCLUDI....,0.0,0.0,1530,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
56502540,ND Fuse 6 Amps capacity,0.0,0.0,1511,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
43300339,"CELLS FOR HAND TORCH DRY BATTERIES 1.5 VOLTS,TYPE R:20 METAL/PAPER JACKET AS PER ISS:8144/....",0.0,0.0,1511,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
561300920019,UFSBI Block Instruments,0.0,0.0,1492,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
570123700017,"FAULT ANALYZER ( EQUIPMENT  LAPTOP )WITH ALL ACCESSORIES, MAKE-HP",0.0,0.0,1485,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
567909270014,SMPS BASED IPS FOR STATION     ( 4 Rd ),0.0,0.0,1467,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
539807550019,Digital Multi Meter Rish-15S,0.0,0.0,1462,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
45174404,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FR....,0.0,0.0,1461,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
92111002,"HIGH SPEED DIESEL (HSD): IS:1460-2005 (5th Revision or latest) Amendment No.3, Sept, 12",0.0,0.0,1460,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
560402970013,Reset Box ( CEL Make ),0.0,0.0,1424,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
560408560015,HASSDAC TRACK MARKING JIG & DUMMY WHEEL,0.0,0.0,1413,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
565198330017,INVERTER 24VDC/110VAC/500VA,0.0,0.0,1383,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
564600010017,MULTI LAMP ROUTE INDICATOR (LED MATRIX TYPE ),0.0,0.0,1373,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
567913460010,0145.FIRE ALARM ADDRESSABLE FIRE ALARM  PANEL WITH ALL ACCESSORIES as per RDSO/SPN /217 /2....,0.0,0.0,1357,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
567913470014,FIRE ALARM SOUNDER CUM STROBE 24V as per RDSO/SPN /217 /2018 ver-2 or latest.,0.0,0.0,1357,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
569009630012,FIRE ALARM GSM INTERFACE MODULE FOR INTERFACING WITH CONTROL PANEL as per RDSO/SPN /217 /2....,0.0,0.0,1349,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
569009690010,FIRE ALARM RELAY MODULE WITH BACK BOX as per RDSO/SPN /217 /2018 ver-2 or latest.,0.0,0.0,1349,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
569009700014,0144-FIRE ALARM FAULT ISOLATOR WITH BACK BOX as per RDSO/SPN /217 /2018 ver-2 or latest.,0.0,0.0,1349,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
812000050010,Alcohal based sanitizer,0.0,0.0,1324,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
83904839,TAG COTTON WHITE 30 CMS LONG IN BUNDLES OF 100 NOS. EACH (SHOE LACE PATTERN) CSO/M.077).,0.0,0.0,1324,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
569005400012,SUPPLY OF 1:1 VF ISOLATION TRANSFORMERS (470:600),0.0,0.0,1298,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
563045890010,Tool Kit For IRS Point Machine,0.0,0.0,1291,Dead Stock,SSE/S/SRM/SA067532-S AND T-SR
