PL_Code,Description,Movement_Status,Inventory_Aging_Class,Inventory_Value,Operational_ABC,Source_Universe
56509376,ARA TERMINAL BLOCK (SMALL) M6 PBT MAKE TO DRG  NO.SA.23741A/ALT-4 AND TO SPECN.IRS.S.75/91....,Active,Monitor,106150.0,C,Operational
56509376,ARA TERMINAL BLOCK (SMALL) M6 PBT MAKE TO DRG  NO.SA.23741A/ALT-4 AND TO SPECN.IRS.S.75/91....,Active,Monitor,106150.0,B,Operational
56509388,TERMINAL BLOCK   MADE OF PBT 60MM TO RDSO DRG NO:SA23745 (ALT-5)TO SPECN IRS : S-75/2006 A....,Slow Moving,Very Slow Moving,121917.95,C,Operational
56509388,TERMINAL BLOCK   MADE OF PBT 60MM TO RDSO DRG NO:SA23745 (ALT-5)TO SPECN IRS : S-75/2006 A....,Slow Moving,Very Slow Moving,121917.95,B,Operational
56509388,TERMINAL BLOCK   MADE OF PBT 60MM TO RDSO DRG NO:SA23745 (ALT-5)TO SPECN IRS : S-75/2006 A....,Slow Moving,Very Slow Moving,121917.95,C,Operational
565010000010,PBT Fuse Block 60 mm,Slow Moving,Very Slow Moving,8284.12,C,Operational
565010000010,PBT Fuse Block 60 mm,Slow Moving,Very Slow Moving,8284.12,C,Operational
565010000010,PBT Fuse Block 60 mm,Slow Moving,Very Slow Moving,8284.12,C,Operational
565010000010,PBT Fuse Block 60 mm,Slow Moving,Very Slow Moving,8284.12,C,Operational
565010000010,PBT Fuse Block 60 mm,Slow Moving,Very Slow Moving,8284.12,C,Operational
56119537,CABLE SIZE OF  2C X 2.5 SQ.MM PVC INSULATED CABLE FOR RAILWAY SIGNALLING   HEAVY DUTY UNDE....,Active,Active,0.0,C,Operational
56119537,CABLE SIZE OF  2C X 2.5 SQ.MM PVC INSULATED CABLE FOR RAILWAY SIGNALLING   HEAVY DUTY UNDE....,Active,Active,0.0,C,Operational
56509959,CABLE 12C X 1.5 SQ.MM PVC INSULATING CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNDER GROUND ....,Active,Active,0.0,C,Operational
56509959,CABLE 12C X 1.5 SQ.MM PVC INSULATING CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNDER GROUND ....,Active,Active,0.0,C,Operational
56119033,CABLE SIZE OF 19C X 1.5 SQ.MM PVC INSULATED ARMOURED UNSCREENED RAILWAY SIGNALLING CABLE  ....,Slow Moving,Slow Moving,0.0,C,Operational
56119033,CABLE SIZE OF 19C X 1.5 SQ.MM PVC INSULATED ARMOURED UNSCREENED RAILWAY SIGNALLING CABLE  ....,Slow Moving,Slow Moving,0.0,C,Operational
56501006,CABLE SIZE OF 24C X 1.5 SQ.MM PVC INSULATED CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNDER ....,Active,Active,0.0,C,Operational
56501006,CABLE SIZE OF 24C X 1.5 SQ.MM PVC INSULATED CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNDER ....,Active,Active,0.0,C,Operational
56501018,CABLE SIZE OF 30C X 1.5 SQ.MM PVC INSULATED CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNSCRE....,Active,Active,0.0,C,Operational
56501018,CABLE SIZE OF 30C X 1.5 SQ.MM PVC INSULATED CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNSCRE....,Active,Active,0.0,C,Operational
56509960,CABLE 2C X 25 SQ.MM ( Power Cable ) PVC INSULATED ARMOURED UN SCREENED UNDER GROUND ALUMIN....,Active,Active,0.0,C,Operational
56509960,CABLE 2C X 25 SQ.MM ( Power Cable ) PVC INSULATED ARMOURED UN SCREENED UNDER GROUND ALUMIN....,Active,Active,0.0,C,Operational
56110029,POWER CABLE 3C X 10SQ.MM  PVC INSULATED ARMOURED UNSCREENED UNDERGROUND CABLE.,Slow Moving,Slow Moving,0.0,C,Operational
56110029,POWER CABLE 3C X 10SQ.MM  PVC INSULATED ARMOURED UNSCREENED UNDERGROUND CABLE.,Slow Moving,Slow Moving,0.0,C,Operational
539807240018,TIMER RELAY 30 SECOND,Dead Stock,Dead Stock,53650.0,C,Operational
56985800,Timer relay 60 Second,Dead Stock,Dead Stock,0.0,C,Operational
