PL_Code,Description,FY2020_21,FY2022_23,FY2023_24,FY2024_25,FY2025_26,AAC,EAR_Qty,Pending_Supply,Current_Stock,Unit_Cost
56509376,A.R.A Terminal Block 25mm PBT small,11270.0,9000.0,8400.0,12000.0,10675.0,13500.0,21500.0,6000.0,10200.0,52.42
56509388,A.R.A Terminal Block 60mm PBT,3720.0,3040.0,4450.0,3560.0,3656.0,4550.0,7980.0,2500.0,2800.0,74.34
67900203,Auto Battery  12V X130 AH 19 plate,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0
56500350,Battery charger 110V AC 24V DC 30A,0.0,0.0,0.0,0.0,17.0,43.0,35.0,12.0,21.0,0.0
52156576/56500452,Battery charger 230V AC 110V DC 30A,1.0,25.0,0.0,0.0,18.0,36.0,85.0,20.0,7.0,59590.0
52156618/56509935,Battery charger 230V  AC/24V DC-20A,5.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0
56509959,Cable 12 C x 1.5 Sq.mm,2290.0,18493.0,11885.0,18283.0,51198.0,61300.0,88400.0,10500.0,38752.0,235.99
56501006,Cable 24 C x 1.5 Sq.mm,17940.0,17959.0,11996.0,18335.0,15105.0,17350.0,88700.0,5400.0,6942.0,449.58
56119537,Cable 2 C x 2.5 sq.mm,6106.0,2840.0,17039.0,26075.0,44225.0,53800.0,90800.0,14000.0,43539.0,96.63
56501018,Cable 30 C x 1.5 Sq.mm,11103.0,12215.0,6325.0,31788.0,22513.0,28800.0,36000.0,6000.0,14152.0,581.11
50540324,Lead Acid Stationary Secondary Cells  - 2V/80 AH,1637.0,2443.0,5612.0,4765.0,3924.0,6086.0,11800.0,336.0,4304.0,3449.6
50541523,Lead Acid Stationary Secondary Cells  - 2V/120 AH,195.0,1008.0,660.0,535.0,369.0,575.0,1955.0,321.0,354.0,4497.92
50550081,Lead Acid Stationary Secondary Cells  - 2V/200 AH,545.0,3250.0,5068.0,3070.0,1883.0,2600.0,7620.0,221.0,1532.0,6368.0
