PL_Code,Description,Criticality,Inventory_Status,Movement_Status,Inventory_Action,Inventory_Value,Source_Universe
129801400020,INDICATION PANEL FOR BLOCK WORKING (Single/double line),,,Dead Stock,Dispose,0.0,Operational
305609390040,LOCK ORDINARY,,,Dead Stock,Dispose,60.0,Operational
40070359,Wire coil 3/0 75 mm,S4,Procurement Required,,Monitor,0.0,Strategic
40981381,Wire coil PVC 16/0.2 mm,S3,Procurement Required,Active,Retain,3775.95,Operational
41095066,PVC Insulation TAPE (Mtrs),S4,Procurement Required,Active,Retain,1360.5,Operational
419000010723,Rail Joint Insulation 60 Kg (Nylon),,,Slow Moving,Rationalize,116250.0,Operational
420295636237,Supply of 4 Port KVM Switch,,,Dead Stock,Dispose,0.0,Operational
420501980410,"VOLTAGE  STABILIZERS 5 KVA / 230 V SINGLE PHASE, SHELF MOUNTING, STATIC, FERRO RESONANT T....",,,Slow Moving,Rationalize,0.0,Operational
430199720956,AC/DC DIGITAL CLAMP METER  (Meco3600+)/METRAVI 4673,,,Slow Moving,Rationalize,0.0,Operational
430200027110,Digital Multi-meter MECO 171B+TRMS 10000KHz,,,Slow Moving,Rationalize,0.0,Operational
430200027121,Digital Clamp meter MECO 1008 TRMS,,,Slow Moving,Rationalize,0.0,Operational
430371710010,MULTI METER ( FLUKE),,,Slow Moving,Rationalize,0.0,Operational
430500067070,100V ANALOG INSULATION  TESTER,,,Active,Retain,0.0,Operational
430500088693,DIGITAL EARTH TESTER,,,Active,Retain,16522.46,Operational
430800081515,Handheld Digital Infrared Thermometer MECO (IRT600TC),,,Slow Moving,Rationalize,17500.0,Operational
432000371387,1 KVA on line UPS,,,Active,Retain,8102.0,Operational
432305060018,DISTILLED WATER  PLANT WITH TWO DETACHABLE HEATING ELEMENTS OF 1500 WATTS WITH FIBRE TANK ....,,,Dead Stock,Dispose,0.0,Operational
43300339,"CELLS FOR HAND TORCH DRY BATTERIES 1.5 VOLTS,TYPE R:20 METAL/PAPER JACKET AS PER ISS:8144/....",,,Dead Stock,Dispose,0.0,Operational
45174404,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FR....,,,Dead Stock,Dispose,0.0,Operational
45174404/45174416,Hydro meter complete set,S3,Procurement Required,,Monitor,74690.72,Strategic
45174416,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FRO....,,,Active,Retain,926.21,Operational
459065090063,"Supply of GPS receiver module with antenna of 5mts length with RS232 O/P-1 Nos, USB to ser....",,,Slow Moving,Rationalize,0.0,Operational
459072080079,Transformer 230V/110V/3 KVA,,,Active,Retain,0.0,Operational
469029821314,Cable Termination Box (FRB type),,,Active,Retain,1603261.27,Operational
469039160010,COPPER CATENARY WIRE,,,Slow Moving,Rationalize,465500.0,Operational
469041530014,Measuring tape 15m long,,,Dead Stock,Dispose,250.0,Operational
469043549610,Honda Generator/HONDA GENERATOR FORTABLE (1.4-1.6KVA),,,Dead Stock,Dispose,8000.0,Operational
469056800016,BLOCK INSTRUMENT FM TYPE,,,Slow Moving,Rationalize,0.0,Operational
470500470058,INVERTER 1 KVA for AMARA RAJA IPS,,,Slow Moving,Rationalize,0.0,Operational
47200054,TRANSFORMERS 230/110V 1 KVA TO RDSO SPECIFICATION NO.RDSO/SPECN.262/1981 AND TO DRG NO 262....,,,Dead Stock,Dispose,0.0,Operational
47200054/47200250,Transformer 230/110V  - 1 KVA,S3,Procurement Required,,Monitor,13095.64,Strategic
47200250,TRANSFORMERS 230/110V 1 KVA TO RDSO SPECIFICATION NO.RDSO/SPECN.262/1981 AND TO DRG NO 262....,,,Active,Retain,21831.88,Operational
47200250,TRANSFORMERS 230/110V 1 KVA TO RDSO SPECIFICATION NO.RDSO/SPECN.262/1981 AND TO DRG NO 262....,,,Active,Retain,0.0,Operational
500100160020,Supply of 24V E1 extender at the existing Data logger end,,,Dead Stock,Dispose,87360.0,Operational
500100170024,Supply of 48Volts E1 extender at the OFC end,,,Dead Stock,Dispose,87360.0,Operational
501000184190,SMF BATTERY (Sealed Maintenance Free)  12V 7AH,,,Active,Retain,0.0,Operational
