Location_ID,Facility_Type,Inventory_Value,Operational_ABC,Inventory_Action
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,7000.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,4000.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,15000.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,500.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,500.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,96.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,1402.43,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,100.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,66.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,21531.25,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,3500.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,8000.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,600.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,1500.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,1800.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,500.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,1500.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,55444.86,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,55444.86,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,55444.86,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,55444.86,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,55444.86,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,55444.86,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,55444.86,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,55444.86,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,55444.86,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,1600.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,1500.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,2000.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,100.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,390.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,220.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,700.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,1500.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,1700.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,1320.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,2340.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,3133.55,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,500.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,500.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,6000.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,4000.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,9000.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,200.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,111012.0,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,500.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,100.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,475.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,120.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,50.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,100.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,60.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,324.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,375.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,276.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,2530.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,525.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,900.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,300.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,200.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,18000.0,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,196976.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,500.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,1500.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,1500.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,45.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,40990.24,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,300.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,8772.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,2353.63,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,2353.63,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,2353.63,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,2353.63,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,750.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,500.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,150.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,75.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,200.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,200.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,200.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,200.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,75.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,1000.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,1500.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,2887.65,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,137324.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,137324.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,137324.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,137324.0,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,137324.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,137324.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,137324.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,137324.0,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,137324.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,137324.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,137324.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,137324.0,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,137324.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,137324.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,137324.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,137324.0,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,2740.17,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,888.0,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,800.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,18052.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,4902.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,11745.22,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,5378.46,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,2596.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,170000.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,9246.87,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,24291.9,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,7500.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,115828.8,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,5000.0,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,B,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,B,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,B,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,B,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,B,Retain
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,B,Dispose
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,B,Rationalize
DEP-SSE-S-SRM-TPJ077355-S-AND-T-SR,Depot,0.0,C,Rationalize
