PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Depot,Inventory_Domain,Business_Unit,Division,Snapshot_Date,Pipeline_Version
56110029,CABLE PVC INSULATED ARMOURED UNSCREENED UNDERGROUND POWER CABLE 3C X 10 SQ.MM,1986.0,315774.0,753,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
569003530068,FIRE ALARM AUDIO VISUAL ALARM (HOOTER AND STROBE) WITH BACK BOX AS PER RDSO/SPN/217/2018 V....,18.0,241344.0,797,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
564681510123,Supply of Double Digit Multi Lamp Route Indicator (LED Type). Specification as per Annexur....,5.0,237616.6,922,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
861600990018,CONTROL MODULE ADDRESSABLE RE-717 MC,44.0,220000.0,797,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
539809440023,Multi Lamp Route Indicator LED TYPE,5.0,194669.11,871,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
560408110010,Digital Axle Counter spares,2.0,167560.0,1203,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
567900390011,"Relay Plug-in -type, Style QNA1K 24V DC, 6F/6B Contact.",24.0,165360.0,877,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
567900801023,SURGE PROTECTION DEVICE,14.0,159576.2,1249,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
560408190017,Digital Axle Counter spares,4.0,125080.0,1203,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
560404210071,Supply of Tools Kits and Measuring Instrument set for measuring all the track side and pro....,1.0,124000.0,880,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
565094825890,Tool Kit for HASSDAC,2.0,120000.0,998,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
549007661110,A TYPE FOUNDATION,21.0,115311.0,1171,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
601210080042,MS ANGLE 75X75X6MM,16.0,104000.0,1207,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
560603310016,ISOLATION TRANSFORMER 110/110V,48.0,96768.0,1690,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
722400672758,DRILLING MACHINE HEAVY DUTY,3.0,90273.0,788,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
567917400018,Supply of Display card suitable for Efftronics make Data loggers. Supplied material should....,3.0,86999.04,1034,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
56020790,"- DYNAMIC HANDSET FOR BLOCK INSTRUMENT AS PER SPECIFICATION No.S&T/S.033 OF S&T WOTKSHOPS,....",28.0,84018.76,759,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
567900488679,Battery Charger 230 V AC/ 24 V DV / 50 Amp.,1.0,68067.0,1165,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
560600046685,RELAY RACK TO HOLD 168 RELAYS,2.0,45760.0,883,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
567900080010,Relay QT2,4.0,36000.0,1802,SSE/S/SRM/TPJ077355-S AND T-SR,Railway_Operations,TPJ,Tiruchirappalli,2026-03-31,12.5.0
