PL_Code,Description,Inventory_Action,Normalized_Inventory_Value,Movement_Status,Source_Universe,Inventory_Value,Inventory_Domain,Business_Unit,Division,Depot,Snapshot_Date,Pipeline_Version
10100241011,"PLUNGER,GOVERNOR SPRING OEM:CU Part No:70820 Make:NA",Dispose,28.0,Dead Stock,Operational,28.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
10300601013,Tachometer Meter  OEM:GR Part No:105652090146 Make:NA,Dispose,500.0,Dead Stock,Operational,500.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
185100110017,PVC PIPE 25MM DIA EACH 3METERS LENGTH,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
232600120016,DC-DC CONVERTER,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
237900070815,Indicative Type Surge Protection Device Class D Device For 24 DC Type .,Rationalize,33800.0,Slow Moving,Operational,33800.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
237900070815,Indicative Type Surge Protection Device Class D Device For 24 DC Type .,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
237900070815,Indicative Type Surge Protection Device Class D Device For 24 DC Type .,Retain,0.0,Active,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
29610151,Fire detection unit mother board type-E537-AD2L.,Retain,28000.0,Active,Operational,28000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
30057760,"HEX HEAD BOLT (M20 X 70 mm) WITH  HEX.NUT,SPRING LOCK WASHER AND SPLIT PIN TO  DRG NO.J&TD....",Dispose,15990.0,Dead Stock,Operational,15990.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
305302300014,HEAVY DUTY DRILL BITT (HSS) SIZE 4.00 MM MAKE by: JK/ MIRINDA/I.T (Indian Tools),Dispose,96.0,Dead Stock,Operational,96.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
305702430016,"Petroleum jelly, colour -White applicable for battery terminal",Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
331200520110,ROTARY KEY Transmission (RKT),Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
331200520844,ROTARY KEY Transmission (RKT),Retain,2885707.99,Active,Operational,2885707.99,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
356100660055,YELLOW LED MAIN ASPECT,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
390300140025,". ASTRONOMICAL TIMER SWITCH FOR STREET LIGHT CONTROL SINGLE PHASE, 10KW/73A, 230V50HZ, IP ....",Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
40053982,"FLEXIBLE CORDS WITH COPPER CONDUCTOR FOR VOLTAGE UPTO AND INCLUDING 1100 VOLTS, TWIN CORE ....",Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
40070359,Wire coil 3/0 75 mm,Monitor,0.0,,Strategic,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
40071110,CABLE 3/0.75mm SINGLE CORE PVC INSULATED UNARMOURED RAILWAY SIGNALLING CABLE COMPRISING OF....,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
40071110,CABLE PVC INSULATED UNARMOURED SINGLE CORE MULTI STRAND COPPER CONDUCTOR OF SIZE 1.5 SQMM ....,Dispose,1400.0,Dead Stock,Operational,1400.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
40071110,CABLE 3/0.75mm SINGLE CORE PVC INSULATED UNARMOURED RAILWAY SIGNALLING CABLE NOMINAL CROSS....,Rationalize,50855.64,Slow Moving,Operational,50855.64,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
400784330017,CABLE PVC & POLYTHENE INSULATED.,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
401100050016,Release Copper Cable (Various Type),Rationalize,324.0,Slow Moving,Operational,324.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
401107570017,"PVC Flexible Cable wire 10 sq mm Cross Section Multi stranded wire copper Conductors , of ....",Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
404008912178,Route Arm,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
40402411064,DISTANCE MEASURING WHEEL,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
405000060019,GI Wire,Dispose,3500.0,Dead Stock,Operational,3500.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
409000511438,PEDASTAL FANS,Dispose,1600.0,Dead Stock,Operational,1600.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
409002460100,empty cable drum,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
409002562012,PVC Wire Coil 3/20 0.75 Sq. MM Copper,Rationalize,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
40981381,Wire coil PVC 16/0.2 mm,Monitor,0.0,Slow Moving,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
410100010123,Hylam Sheet OFF SIZE.,Retain,1000.0,Active,Operational,1000.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
41095066,PVC Insulation TAPE (Mtrs),Retain,583465.21,Active,Operational,583465.21,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
411100210019,PVC sleeve 2.5mm dia and 50mm long(SLEEVING OF ALL TYPES).,Rationalize,3600.0,Slow Moving,Operational,3600.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
420296880041,SWITCH CHANGE OVER 63A(CS 292),Dispose,225.0,Dead Stock,Operational,225.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
420423880012,Hand Crimping tool (1.5-10sq mm),Dispose,600.0,Dead Stock,Operational,600.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
420427150016,TERMINAL BOARD,Dispose,0.0,Dead Stock,Operational,0.0,Railway_Operations,MAS,Chennai,,2026-03-31,12.5.0
