PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
56010011,BLOCK INSTT DOUBLE LINE,20.0,3065243.8,236,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
539829440016,CEL MSDAC Center Eveluter unit,6.0,3000000.0,253,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
539829490019,CEL MSDAC PDCU,54.0,2700000.0,253,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
539871620025,PVC Signalling Cable 30 core x 1.5,3985.0,2486903.01,635,Very Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
56301704,ROTARY LOCKING TYPE POINT MACHINE GROUND CONNECTION,85.0,1435801.9,345,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
539829520024,CEL MSDAC Surge arrestor protection devices (SPD),54.0,1350000.0,253,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
560614200094,"Supply, Installation, Transportation, Execution and Commissioning of microprocessor based ....",1.0,1288800.0,423,Very Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
539830190012,CEL MSDAC RX Coil 15 Metre,25.0,1000000.0,253,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
539830200017,CEL MSDAC TX Coil 15 Metre,25.0,1000000.0,253,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
466419090032,M.S ROD 18 FEET,160.0,800000.0,628,Very Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
56500415,RELAY POLARISED 3 POSITION,24.0,763192.01,401,Very Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
539830210011,CEL MSDAC Line Verification box,14.0,700000.0,253,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
560400252472,PD2 Card-GGTronics HASSDAC,15.0,672774.7,193,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
560400252733,PD1 Card-GGTronics FOR HASSDAC,15.0,672774.7,193,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
560404462333,AXLE COUNTER TX COIL ( GGTRONICS ),9.0,411631.2,300,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
567912010019,Battery charger 110/24/15A,9.0,360000.0,503,Very Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
56501018,"UNDERGROUND RAILWAY SIGNALING CABLE, UNSCREENED, PVC INSULATED, PVC INNER SHEATHED, ARMOUR....",500.0,360000.0,228,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
50550081,"Lead Acid cell, Low Maintenance, 2 volt in hard rubber container conforming to IRS:S-88-20....",60.0,265746.18,359,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
56119033,CABLE PVC INSULATED ARMOURED UNSCREENED RAILWAY SIGNALLING CABLE OF SIZE 19C X 1.5 SQMM TO....,487.0,238630.0,221,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
539808581012,SSI PROTOCOL CONVERTER,7.0,237475.0,297,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
861600920016,LINEAR HEAT SENSING CABLE,100.0,230051.0,303,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
542300010038,BOOM LOCKING ARRANGEMENT FOR LIFTING BARRIER GATE,2.0,228000.0,628,Very Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
56468039,LED RED Signal Aspect Main  Unit 110V AC retrofittable in existing CLS Housing and compati....,26.0,221000.0,472,Very Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
539814460132,"Q-Series Twin Neutral Line Relay QNNA1 Type , AC immunised 6F/2B 24V DC .",54.0,210186.79,531,Very Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
539823490010,CLS unit 4 ASPECT,16.0,201344.0,612,Very Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
560404662516,MSDAC CEL High Voltage DC-DC Converter,4.0,200000.0,253,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
56468039,LED RED Signal Aspect Main  Unit 110V AC retrofittable in existing CLS Housing and compati....,27.0,199523.25,348,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
539855730014,Track Shunt Resistance 0.5 Ohms,37.0,196976.0,279,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
