PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
56500142,RELAY QNA1 ACI 8F/8B,2263.0,22885046.89,2,Active,SSE/S/SRM/TPJ077355-S AND T-SR
539829430011,CEL MSDAC Field unit,21.0,8400000.0,23,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56468040,"GREENaspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatible ....",850.0,8118961.99,87,Active,SSE/S/SRM/TPJ077355-S AND T-SR
54900530,EOLB COMPONENT consists of (A) All Gear Drive Mechanism for Electric Lifting Barrier to Dr....,17.0,8071962.92,13,Active,SSE/S/SRM/TPJ077355-S AND T-SR
560604185631,EMERGENCY SLIDING BOOM ASSEMBLY WITH ALL ACCESSORIES,33.0,7917401.25,13,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56468039,"RED aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatible w....",873.0,7470306.09,87,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56468052,"YELLOW aspect Main LED signal, 110 V AC Retrofitable in existing CLS Housing and compatibl....",630.0,5425298.93,87,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56509959,"Supply of  PVC insulated, armoured, unscreened, underground Railway signaling copper cable....",24817.0,5358486.64,36,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56509959,PVC INSULATING CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNDER GROUND UNSCREENED ARMOURED WI....,22157.0,5208667.56,48,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56501006,"SIGNAL CABLE, 24 CORE PVC INSULATED UNDER GROUND UNECRNEED ARMOURED CABLE COPPER CONDUCTOR....",12835.0,4981905.25,46,Active,SSE/S/SRM/TPJ077355-S AND T-SR
50540324,LOW MAINTENANCE LEAD ACID  STATIONARY SECONDARY CELLS  2V/80AH CAPACITY AT  10 HRS RATE OF....,1523.0,4954929.93,17,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56450217,RELAYS -SPECIAL  TYPE- METAL TO  CARBON -QSPAI- CONFIRMATION SPECN. BRS.933A.,442.0,4460672.4,22,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56508116,RELAY QN1 8F/8B PLUG IN TYPE,561.0,4374828.04,5,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56450229,"RELAY AC IMMUNE PLUG IN TYPE STYLE QTA2 CONFORMING TO BRS - 939A,BRS.966 (APPENDIX F-21) &....",475.0,4287720.03,2,Active,SSE/S/SRM/TPJ077355-S AND T-SR
539882500024,REMOTE TERMINAL UNIT (RTU) OF 64 DIGITAL & 16 ANALOG INPUTS WITH ALL ACCESSORIES,16.0,3696000.0,86,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56501006,"CABLE SIGNALING UNDERGROUND, UNSCREENED, PVC INSULATED, PVC INNER SHEATHED, ARMOURED AND P....",9391.0,3645116.65,85,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56509959,PVC INSULATING CABLE FOR RAILWAY SIGNALLING HEAVY DUTY UNDER GROUND UNSCREENED ARMOURED WI....,10638.0,3098387.28,5,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56010011,BLOCK INSTT DOUBLE LINE,20.0,3065243.8,236,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
539829440016,CEL MSDAC Center Eveluter unit,6.0,3000000.0,253,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
331200520844,ROTARY KEY Transmission (RKT),274.0,2885707.99,2,Active,SSE/S/SRM/TPJ077355-S AND T-SR
560632160025,"Supply, installation and commissioning of 85 monitor of 4K resolution with industrial grad....",2.0,2820000.0,134,Monitor,SSE/S/SRM/TPJ077355-S AND T-SR
539829490019,CEL MSDAC PDCU,54.0,2700000.0,253,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
56501006,"CABLE SIGNALING UNDERGROUND, UNSCREENED, PVC INSULATED, PVC INNER SHEATHED, ARMOURED AND P....",4975.0,2577050.0,85,Active,SSE/S/SRM/TPJ077355-S AND T-SR
539871620025,PVC Signalling Cable 30 core x 1.5,3985.0,2486903.01,635,Very Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
56468064,- CALLING ON LED SIGNAL LIGHTING UNIT 100VAC RE-PROFITABLE IN EXISTING CLS HOUSING AND COM....,340.0,2356722.08,117,Monitor,SSE/S/SRM/TPJ077355-S AND T-SR
563048270017,110VDC Motors with gear box IP 67 type (Complete motor should be water proofed) 400 V AC I....,22.0,2138451.0,5,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56468039,LED RED Signal Aspect Main  Unit 110V AC retrofittable in existing CLS Housing and compati....,244.0,1867655.54,41,Active,SSE/S/SRM/TPJ077355-S AND T-SR
539818390010,DIGITAL VOICE ANNOUNCIATOR AMPLIFIER,192.0,1852562.88,24,Active,SSE/S/SRM/TPJ077355-S AND T-SR
542218841167,Aluminum Booms 9.76 mtr for EOLB,23.0,1713551.75,75,Active,SSE/S/SRM/TPJ077355-S AND T-SR
560632160025,"Supply, installation and commissioning of 85 monitor of 4K resolution with industrial grad....",1.0,1520000.0,134,Monitor,SSE/S/SRM/TPJ077355-S AND T-SR
56301704,ROTARY LOCKING TYPE POINT MACHINE GROUND CONNECTION,85.0,1435801.9,345,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
563003040072,Point machine 220mm-IP67- 400V ACI,14.0,1413538.0,24,Active,SSE/S/SRM/TPJ077355-S AND T-SR
50232319,MAGNETIC TELEPHONE WITH ELECTRO DYNAMIC TRANDUCERS CONFIRMING TO RDSO SPECN.NO.IRS-TC-36/9....,269.0,1374540.64,17,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56501006,"CABLE SIGNALING UNDERGROUND, UNSCREENED, PVC INSULATED, PVC INNER SHEATHED, ARMOURED AND P....",2261.0,1356600.0,13,Active,SSE/S/SRM/TPJ077355-S AND T-SR
539829520024,CEL MSDAC Surge arrestor protection devices (SPD),54.0,1350000.0,253,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
560614200094,"Supply, Installation, Transportation, Execution and Commissioning of microprocessor based ....",1.0,1288800.0,423,Very Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
56462050,AC SHUNT SIGNAL (LED) WITH INBUILT CURRENT REGULATOR WITH RDSO INSPECTION. RDSO SPE. NO. R....,192.0,1140782.02,48,Active,SSE/S/SRM/TPJ077355-S AND T-SR
564800230128,IPS SMR MODULE 110V 20AMP,223.0,1070942.11,117,Monitor,SSE/S/SRM/TPJ077355-S AND T-SR
56468052,LED Yellow signal Aspect main 110V AC retrofit table in existing CLS housing and compatibl....,136.0,1044469.39,52,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56119537,PVC INSULATED CABLE FOR RAILWAY SIGNALLING   HEAVY DUTY UNDER GROUND UNSCREENED ARMOUNED W....,10151.0,1011029.45,5,Active,SSE/S/SRM/TPJ077355-S AND T-SR
539830200017,CEL MSDAC TX Coil 15 Metre,25.0,1000000.0,253,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
539830190012,CEL MSDAC RX Coil 15 Metre,25.0,1000000.0,253,Slow Moving,SSE/S/SRM/TPJ077355-S AND T-SR
56119537,PVC INSULATED CABLE FOR RAILWAY SIGNALLING   HEAVY DUTY UNDER GROUND UNSCREENED ARMOUNED W....,7104.0,997903.46,5,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56451027,RELAY AC IMMUNE PLUG IN TYPE STYLE QBCA1  CONFORMING TO BRS - 943 IRS.S.34 & IRS.S.23 OR L....,85.0,993983.37,2,Active,SSE/S/SRM/TPJ077355-S AND T-SR
539802824762,"DWC SPLIT PIPE 120/103mm dia, 2mtr long in already dug cable trenches as per drawing no.SK....",6886.0,964040.0,57,Active,SSE/S/SRM/TPJ077355-S AND T-SR
539808948941,ALLIMINIUM BOOM COMPLETE SET CONSISTING OF 4 SECTION EACH 8 FEET LONG,13.0,954073.72,2,Active,SSE/S/SRM/TPJ077355-S AND T-SR
565300110017,Released IPS Inverter,132.0,938646.85,117,Monitor,SSE/S/SRM/TPJ077355-S AND T-SR
501000260543,GI pipe 100mm dia 6 Mtrs long,1106.0,927712.8,31,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56500026,APPRATUS CASE GRS TYPE,19.0,924027.0,13,Active,SSE/S/SRM/TPJ077355-S AND T-SR
56468064,LED SIGNAL LIGHTING UNIT 110V AC FOR CALLING ON SIGNAL IN RAILWAY SIGNALING AS PER RDSO/SP....,157.0,914526.1,57,Active,SSE/S/SRM/TPJ077355-S AND T-SR
