PL_Code,Description,Current_Stock,Inventory_Value,Days_Since_Movement,Inventory_Aging_Class,Depot
77033255,"ENAMEL, SYNTHETIC,  EXTERIOR, FINISHING 'WHITE' .  SPECIFICATION: - IS.8662/04 & ICF/MD/SP....",0.0,0.0,1801,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
539809231008,Battery Charger 230/60V ; 20Amp,0.0,0.0,1801,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
831500010038,BOX WOODEN OFF SIZES,0.0,0.0,1693,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
721160840011,Files different sizes and varieties.,0.0,0.0,1693,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
783000281273,Rack wooden,0.0,0.0,1692,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
821144170019,wooden cup board (small size),0.0,0.0,1692,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
787900404050,SICKLE,0.0,0.0,1692,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
567900801023,SURGE PROTECTION DEVICE,0.0,0.0,1690,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
900900100264,RELEASED M.S. ANGLE 40X40X6 MM,0.0,0.0,1689,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
902500310010,Revolving Chair,0.0,0.0,1671,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
439000010383,WOODEN TABLE SMALL TEAPOY,0.0,0.0,1671,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
567909680010,Tumbler Spring For E - Type Lock,0.0,0.0,1663,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
561501060058,Secondary Cells 2V-300AH  Un Charged,0.0,0.0,1662,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
470200733647,PORTABLE GENERATOR HIMALAYAN POWER,0.0,0.0,1654,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
83049540,TNPL 80 GSM XEROX SHEETS SIZE A4 (297 X 210 MM) GSM 80.BRIGHTNESS-MILK WHITE. NOTE: 1. FIR....,0.0,0.0,1564,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
560408160013,Digital Axle Counter spares,0.0,0.0,1521,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
569012540014,Miscellaneous.,0.0,0.0,1521,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
560408090011,Digital Axle Counter spares,0.0,0.0,1521,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
560408140014,Digital Axle Counter spares,0.0,0.0,1521,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
560408130010,Digital Axle Counter spares,0.0,0.0,1521,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
560408100016,Digital Axle Counter spares,0.0,0.0,1521,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
560408180012,Digital Axle Counter spares,0.0,0.0,1521,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
560408170018,Digital Axle Counter spares,0.0,0.0,1521,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
560403860010,"DC-DC Converter for MSDAC, Make-CEL",0.0,0.0,1510,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
564682320019,"SIGNALS, COLOUR LIGHT, MULTI UNIT TYPE, SEARCH LIGHT TYPE.",0.0,0.0,1497,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
509000346672,VRLA Battery 200AH / 2V,0.0,0.0,1462,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
465100010014,ANGLE 9037,0.0,0.0,1434,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
67900197,LEAD ACID STORAGE BATTERY FOR MOTOR VEHICLES 17 PLATES DRY UNCHARGED 12 VOLTS/120 AH. CAPA....,0.0,0.0,1434,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
549007220621,CLS HOOD FOR CALLING ON /ROUTE,0.0,0.0,1433,Dead Stock,SSE/S/SRM/TPJ077355-S AND T-SR
